Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index
County Assembly,,,,,85,1
"General administration, planning and support services",,"226,239,780.00","226,239,780.00",100,85,1
,"General administration, planning and
support services","226,239,780.00","226,239,780.00",100,85,1
Legislation and representation,,"312,835,742.00","311,235,729.00",99,85,1
,Legislation and representation,"312,835,742.00","311,235,729.00",99,85,1
Legislative oversight,,"54,179,450.00","54,179,450.00",100,85,1
,Legislative oversight,"54,179,450.00","54,179,450.00",100,85,1
Sub Total for County Assembly,,"593,254,972.00","591,654,959.00",100,85,1
,,,,,85,1
Office of the Governor,,,,,85,1
General administration and support services,,"176,099,179.00","166,492,915.65",95,85,1
,"General administration and support ser-
vices","176,099,179.00","166,492,915.65",95,85,1
Governance,,"49,895,562.00","46,110,888.25",92,85,1
,Governance,"49,895,562.00","46,110,888.25",92,85,1
Sub Total for Office of the Governor,,"225,994,741.00","212,603,803.90",94,85,1
Finance & Economic Planning,,,,,85,1
General administration and support services,,"93,216,406.00","80,108,400.60",86,85,1
,"General administration and support ser-
vices","93,216,406.00","80,108,400.60",86,86,0
Financial Management,,"125,534,976.00","118,476,239.05",94,86,0
,"Monitoring, Evaluation and reporting","2,290,000.00","2,287,070.00",100,86,0
,Economic Planning & Budgeting,"105,541,311.00","99,731,702.80",94,86,0
,Accounting services,"10,044,411.00","9,836,146.25",98,86,0
,Supply Chain Management,"1,724,412.00","1,504,620.00",87,86,0
,Revenue Management Services,"5,934,842.00","5,116,700.00",86,86,0
Sub Total for Finance and Economic Planning,,"218,751,382.00","198,584,639.65",91,86,0
Agriculture and Irrigation,,,,,86,0
General administration and support services,,"93,458,495.00","90,373,718.60",97,86,0
,"General administration and support ser-
vices","93,458,495.00","90,373,718.60",97,86,0
Crop Development,,"552,475,926.00","202,236,863.45",37,86,0
,Cash Crops Development,"26,997,343.00","15,783,089.00",58,86,0
,"Agricultural Extension and Training Ser-
vices","525,478,583.00","186,453,774.45",35,86,0
Soil Conservation,,"12,343,896.00","10,928,658.35",89,86,0
,Soil Conservation,"12,343,896.00","10,928,658.35",89,86,0
Irrigation Development,,"128,402,185.00","71,484,279.60",56,86,0
,Irrigation Development,"128,402,185.00","71,484,279.60",56,86,0
Sub Total for Agriculture and Irrigation,,"786,680,502.00","375,023,520.00",48,86,0
LIVESTOCK AND FISHERIES,,,,,86,0
General administration and support services,,"100,309,765.00","97,049,711.20",97,86,0
,"General administration and support ser-
vices","100,309,765.00","97,049,711.20",97,86,0
Livestock Development,,"81,431,383.00","64,784,170.00",80,86,0
,Livestock Production,"79,511,025.00","64,485,670.00",81,86,0
,"Livestock Extension and Training Ser-
vices","1,920,358.00","298,500.00",16,86,0
Cooperatives development,,"14,406,899.00","8,055,731.00",56,86,0
,Cooperatives development,"14,406,899.00","8,055,731.00",56,86,0
Veterinary Services,,"59,259,680.00","52,261,153.25",88,86,0
,Disease Surveillance and Control,"51,379,680.00","45,197,881.00",88,86,0
,A.I. Services,"7,880,000.00","7,063,272.25",90,86,0
Sub Total for Livestock and Fisheries,,"255,407,727.00","222,150,765.45",87,86,0
TRADE AND TOURISM,,,,,86,0
General administration and support services,,"37,977,361.00","37,090,421.75",98,86,0
,"General administration and support ser-
vices","37,977,361.00","37,090,421.75",98,86,0
Tourism Development,,"6,111,949.00","3,813,629.10",62,86,0
,Tourism Development,"6,111,949.00","3,813,629.10",62,86,0
Trade and enterprise development,,"11,788,780.00","8,183,245.00",69,86,0
,Trade and enterprise development,"11,788,780.00","8,183,245.00",69,86,0
Culture and Heritage Preservation,,"2,450,000.00","1,250,000.00",51,86,0
,Culture and Heritage Preservation,"2,450,000.00","1,250,000.00",51,86,0
Sub Total for Trade and Tourism,,"58,328,090.00","50,337,295.85",86,86,0
"ROADS, PUBLIC WORKS & TRANSPORT",,,,,86,0
General administration and support services,,"114,769,140.00","103,510,743.60",90,86,0
,"General administration and support ser-
vices","114,769,140.00","103,510,743.60",90,86,0
Road Transport,,-,"(1,000.00)",-,86,0
,Construction of Roads and Bridges,-,"(1,000.00)",-,86,0
Road Improvement,,"616,147,747.00","458,379,541.85",74,86,0
,Rural road Works,"616,147,747.00","458,379,541.85",74,86,0
Public works,,"19,587,010.00","12,740,342.40",65,86,0
,Public Works,"19,587,010.00","12,740,342.40",65,86,0
Energy,,"20,100,000.00","17,398,988.70",87,86,0
,Energy,"20,100,000.00","17,398,988.70",87,86,0
Public Service Management,,,,,87,0
General administration and support services,,"128,367,019.00","113,950,905.60",89,87,0
,"General administration and support ser-
vices","128,367,019.00","113,950,905.60",89,87,0
Public Service Management,,"27,042,755.00","21,216,588.80",78,87,0
,SP 4.1 Human Resource Management,"495,000.00","489,260.00",99,87,0
,Coordination of government functions,"25,697,755.00","19,881,238.80",77,87,0
,"Citizen participation and Civic Educa-
tion","850,000.00","846,090.00",100,87,0
Sub Total for Public Service Management,,"155,409,774.00","135,167,494.40",87,87,0
EDUCATION & TECHNICAL TRAINING,,,,,87,0
General administration and support services,,"293,659,070.00","272,887,582.55",93,87,0
,"General administration and support ser-
vices","293,659,070.00","272,887,582.55",93,87,0
Technical Vocational Education & Training,,"28,166,071.00","13,454,121.00",48,87,0
,"Technical Vocational Education & Train-
ing","28,166,071.00","13,454,121.00",48,87,0
Pre-Primary Education,,"173,613,388.00","84,331,815.45",49,87,0
,Pre-Primary Education,"173,613,388.00","84,331,815.45",49,87,0
Sub Total for Education and Technical Training,,"495,438,529.00","370,673,519.00",75,87,0
"SPORTS, YOUTH AND GENDER AFFAIRS",,,,,87,0
General administration and support services,,"44,914,178.00","42,487,800.00",95,87,0
,"General administration and support ser-
vices","44,914,178.00","42,487,800.00",95,87,0
Sports Development,,"28,487,598.00","21,217,884.50",74,87,0
,Sports Infrastructure Development,"14,495,017.00","10,644,245.50",73,87,0
,Sports Talent Development,"13,992,581.00","10,573,639.00",76,87,0
Social Empowerment,,"79,901,975.00","58,112,622.00",73,87,0
,Social Empowerment,"79,901,975.00","58,112,622.00",73,87,0
Social Protection,,"5,770,000.00","5,652,000.00",98,87,0
,Social Protection,"5,770,000.00","5,652,000.00",98,87,0
ICT Services,,"2,940,438.00","2,939,580.00",100,87,0
,ICT Services,"2,940,438.00","2,939,580.00",100,87,0
"Sub Total for Sports, Youth and Gender Affairs",,"162,014,189.00","130,409,886.50",80,87,0
"Water, Lands & Physical Planning",,,,,87,0
General administration and support services,,"95,158,451.00","92,775,246.85",97,87,0
,"General administration and support ser-
vices","95,158,451.00","92,775,246.85",97,87,0
Water & Sanitation Management,,"348,284,867.00","297,129,979.35",85,87,0
,Water Services,"348,284,867.00","297,129,979.35",85,87,0
Environmental Management & Protection,,"1,299,950.00","1,297,950.00",100,87,0
,Environmental conservation,"1,299,950.00","1,297,950.00",100,87,0
Solid waste management,,"500,000.00","500,000.00",100,87,0
,Solid waste management,"500,000.00","500,000.00",100,87,0
"Lands, Physical Planning and Urban Development",,"165,463,536.00","35,814,772.10",22,87,0
,"Lands, Physical Planning and Urban De-
velopment","165,463,536.00","35,814,772.10",22,87,0
"Sub Total for Water, Lands and Physical Planning",,"610,706,804.00","427,517,948.30",70,87,0
County Public Service Board,,,,,87,0
General administration and support services,,"41,583,281.00","28,621,411.00",69,87,0
,"General administration and support ser-
vices","41,583,281.00","28,621,411.00",69,87,0
Sub Total for County Public Service Board,,"41,583,281.00","28,621,411.00",69,87,0
Health and Sanitation,,,,,87,0
General administration and support services,,"1,685,867,002.00","1,603,814,298.25",95,87,0
,Default - Non-Programmatic,"1,685,867,002.00","1,603,814,298.25",95,87,0
Preventive and Promotive Health,,"57,284,046.00","31,705,699.25",55,87,0
,Community and Environmental Health,"57,284,046.00","31,705,699.25",55,87,0
