Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",col_5,"Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)"
"Water Supply and Man-
agement Services",Rural Water Services,"245,730,488","97,365,134",,"148,365,355",40,305,0,
,Urban Water Services,"125,611,327","61,727,290",,"63,884,037",49,305,0,
"Alternative Energy
Technologies",Alternative Energy Technologies,"133,410,472","88,517,132",,"44,893,340",66,305,0,
,Sub Total,"504,752,287","247,609,555",,"257,142,732",49,305,0,
Grand Total,,"10,444,016,812","8,738,656,608",,"1,705,360,204",84,305,0,
3011 The Executive,"Governor's Affairs & Advisory Ser-
vices","116,594,492",,"77,527,103",,33.5,311,1,"39,067,389"
,"Deputy Governor's Affairs & External
Relations","51,274,828",,"37,655,574",,26.6,311,1,"13,619,254"
,"Cabinet Affairs, Policy Research and
Legal Services","57,875,327",,"(3,741,182)",,106.5,311,1,"61,616,509"
,MV 2035 & E-Government,"37,000,000",,"35,019,289",,5.4,311,1,"1,980,711"
,Strategic Delivery Unit,"17,716,961",,"9,132,464",,48.5,311,1,"8,584,497"
"3013 County Public
Service Board",Administration Unit,"87,901,639",,"12,954,093",,85.3,311,1,"74,947,546"
"3014 Finance and
Economic Planning",Administration Unit,"1,860,879,147",,"(328,287,026)",,117.6,311,1,"2,189,166,173"
,Accounting Unit,"52,650,000",,"(1,653,626)",,103.1,311,1,"54,303,626"
,Planning and Monitoring Unit,"58,010,653",,"14,274,235",,75.4,311,1,"43,736,418"
"3015 Energy, Envi-
ronment & Waste
Management","Administration, Planning and Sup-
port Services","533,352,194",,"94,214,954",,82.3,311,1,"439,137,240"
,Waste Management,"93,327,252",,"59,468,253",,36.3,311,1,"33,858,999"
,"Environmental Compliance and
Monitoring","126,960,000",,"64,433,564",,49.2,311,1,"62,526,436"
,Climate Change,"55,239,000",,"52,945,000",,4.2,311,1,"2,294,000"
,Energy,"75,239,000",,"75,239,000",,0.0,311,1,0
"3016 Education, In-
formation Technolo-
gy & MV 2035","General Administration, Planning
and Support Services","234,218,416",,"-55,767,983",,123.8,312,0,"289,986,399"
,Education headquarters,"59,211,170",,"59,211,170",,0.0,312,0,0
,Childcare,"8,500,000",,"8,500,000",,0.0,312,0,0
,Elimu Fund,"161,890,000",,"161,890,000",,0.0,312,0,0
,"Information Technology Headquar-
ters","48,659,356",,"43,888,063",,9.8,312,0,"4,771,293"
3017 Health Services,Administration Unit,"2,900,061,316",,"(615,041,241)",,121.2,312,0,"3,515,102,557"
,Curative/Clinical Health Services,"58,249,239",,"58,249,239",,0.0,312,0,0
,"Preventive and Promotive Services
Unit","222,031,161",,"69,393,114",,68.7,312,0,"152,638,047"
,Special Programs,"48,123,140",,"47,907,562",,0.4,312,0,"215,578"
"3018 Water, Sanita-
tion & Natural Re-
sources",Administration unit,"852,059,919",,"817,947,651",,4.0,312,0,"34,112,268"
,"Sanitation/Sewerage Services Head-
quarters","37,750,000",,"37,750,000",,0.0,312,0,0
,Water Supply Headquarters,"30,450,000",,"(222,296,881)",,830.0,312,0,"252,746,881"
,Natural Resources,"50,230,000",,"50,230,000",,0.0,312,0,0
"3019 Youth, Gender,
Sports and Cultural
Affairs",Administration Unit,"322,701,716",,"43,952,665",,86.4,312,0,"278,749,051"
,Youth Empowerment,"95,480,000",,"83,898,356",,12.1,312,0,"11,581,644"
,"Gender Affairs and Disability Main-
streaming","35,000,000",,"21,843,644",,37.6,312,0,"13,156,356"
,Sports development,-,,-,,-,312,0,-
,Cultural Affairs,"110,000,000",,"84,904,521",,22.8,312,0,"25,095,479"
,Public Recreation and Entertainment,"30,900,000",,"19,823,426",,35.8,312,0,"11,076,574"
"3020 Trade, Tourism
& Investment",Administration Unit,"321,970,982",,"70,794,078",,78.0,312,0,"251,176,905"
,Trade Development,"100,787,810",,"81,112,595",,19.5,312,0,"19,675,215"
,Development of Tourism,"10,159,449",,"3,378,963",,66.7,312,0,"6,780,486"
,"Investment Promotion and Products
Headquarters","33,080,000",,"12,401,365",,62.5,312,0,"20,678,635"
,"Development of County Industrial
Parks","12,000,000",,"891,897",,92.6,312,0,"11,108,103"
,Ease of Doing Business-Headquarters,"23,105,082",,"23,105,082",,0.0,312,0,
"3021 Lands, Housing
and Physical Plan-
ning",Administration Unit,"219,083,825",,"111,746,614",,49.0,312,0,"107,337,211"
,Physical planning,"130,000,000",,"106,664,026",,18.0,312,0,"23,335,974"
,Land Management Unit,"63,566,175",,"19,783,948",,68.9,312,0,"43,782,227"
,Housing Development Unit,"380,501,378",,"371,526,717",,2.4,312,0,"8,974,661"
,Urban Renewal,"32,350,000",,"31,518,586",,2.6,312,0,"831,414"
"3022 Transport, In-
frastructure & Public
Works",Administration Unit,"741,284,162",,"314,038,363",,57.6,312,0,"427,245,800"
,Road and Transport Unit,"776,400,000",,"184,832,271",,76.2,312,0,"591,567,728"
