Programme,Sub Programme,Approved Budget,Expenditure,Variance,"Absorption
(%)",page_number,table_index
,,KShs.,KShs.,KShs.,,421,1
101003260,Administration Planning and Support Services,"80,868,589","24,268,357","56,600,233",30.0,421,1
,Administration Planning and Support Services,"80,868,589","24,268,357","56,600,233",30.0,421,1
102003260,Development programme,"374,943,825","191,080,735","183,863,090",51.0,421,1
,Development programme,"374,943,825","191,080,735","183,863,090",51.0,421,1
104003260,Agricultural Development Programme,"515,608,014","442,978,724","72,629,290",85.9,421,1
,Agricultural Development Programme,"515,608,014","442,978,724","72,629,290",85.9,421,1
105003260,Livestock and Fisheries Development,"26,114,201","20,965,655","5,148,546",80.3,421,1
,Livestock and Fisheries Development,"26,114,201","20,965,655","5,148,546",80.3,421,1
301003260,"General Administration and support services
programme","3,936,897","3,468,540","468,357",88.1,421,1
,"General Administration and support services
programme","3,936,897","3,468,540","468,357",88.1,421,1
302003260,Trade Development programme.,"33,885,468","32,382,481","1,502,987",95.6,421,1
,Trade Development programme.,"33,885,468","32,382,481","1,502,987",95.6,421,1
401003260,Administration and Support Services,"308,024,626","184,542,103","123,482,524",59.9,421,1
,Administration and Support Services,"308,024,626","184,542,103","123,482,524",59.9,421,1
402003260,Health Development Programme,"271,191,087","231,425,782","39,765,305",85.3,421,1
,Health Development Programme,"271,191,087","231,425,782","39,765,305",85.3,421,1
