Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"County Coordination
Services",County Coordination Services,"148,113,284","131,989,001","16,124,283",89.11,157,0
"Public sector advisory
services","Economic and Social Advisory
Service",-,-,-,0.00,157,0
,,"148,113,284","131,989,001","16,124,283",89.11,157,0
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,157,0
"Administration, Planning
and Support Services.",Administration Services.,"450,104,082","291,374,481","158,729,601",64.73,157,0
"Administration, Planning
and Support Services.","Monitoring Budget Implemen-
tation and Reporting","36,075,639","27,938,676","8,136,963",77.44,157,0
"Public Finance Manage-
ment","Budget Formulation coordina-
tion and management","350,511,676","138,580,782","211,930,894",39.54,157,0
Audit Services,County Audit,"9,950,000","7,954,621","1,995,379",79.95,157,0
,,"846,641,397","465,848,561","380,792,836",55.02,157,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND
FISHERIES",,,,,,157,0
"Policy, Strategy and Man-
agement of Agriculture","Development of Agricultur-
al Policy, Legal & Regulatory
framework.","37,452,435","24,305,274","13,147,161",64.90,157,0
"Crop Development and
Management",Agriculture Extension Services,"544,127,994","213,426,554","330,701,440",39.22,157,0
"Livestock Resource Man-
agement and Develop-
ment","Livestock Disease Management
and Control.","11,106,381","9,109,638","1,996,743",82.02,157,0
"Livestock Resource Man-
agement and Develop-
ment","Livestock Production and Ex-
tension Services","52,000,523","32,260,290","19,740,233",62.04,157,0
Fisheries development,"Management and Development
of Capture Fisheries","7,762,998","1,303,642","6,459,356",16.79,157,0
,,"652,450,331","280,405,398","372,044,933",42.98,157,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVI-
RONMENT",,,,,,157,0
"Environment policy de-
velopment and coordina-
tion","Planning Coordination Policy
and Administrative Services","175,418,651","151,499,095","23,919,556",86.36,157,0
Water supply services,Rural Water Supply,"295,382,366","282,122,175","13,260,191",95.51,157,0
,,"470,801,017","433,621,271","37,179,746",92.10,157,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,157,0
"General Administration
& planning services.","Policy Development and Ad-
ministration","272,251,091","257,879,672","14,371,419",94.72,157,0
Basic Education,"Early Childhood Development
Education","171,298,939","171,298,939",-,100.00,157,0
"Gender and Social Devel-
opment","Social Welfare Services/Social
Infrastructure Development","22,799,998","17,669,642","5,130,356",77.50,157,0
"Youth development and
empowerment services","Youth development (YP) Train-
ing","55,909,040","49,136,058","6,772,982",87.89,157,0
,,"522,259,068","495,984,311","26,274,757",94.97,158,0
"DEPARTMENT:
HEALTH SERVICES",,,,,,158,0
Curative Health,Administration and Planning,"1,705,104,024","1,517,965,366","187,138,658",89.02,158,0
Curative Health,Hospital(curative)Services,-,-,-,-,158,0
"Preventive and Promotive
Health","Preventive Medicine and Pro-
motive Health","1,337,816,607","1,258,315,337","79,501,270",94.06,158,0
,,"3,042,920,631","2,776,280,703","266,639,928",91.24,158,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL
PLANNING",,,,,,158,0
"Administration and sup-
port services","General Administration and
Planning","125,563,278","116,737,571","8,825,708",92.97,158,0
"Housing Development
and Human Resource",Housing Development,"47,044,359","40,295,416","6,748,943",85.65,158,0
Land policy and planning,"Development Planning and
Land Reforms","63,900,008","41,634,313","22,265,695",65.16,158,0
Land policy and planning,Land Use Planning,"6,102,443","6,102,443",0,100.00,158,0
,,"242,610,088","204,769,742","37,840,346",84.40,158,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND
TRANSPORT",,,,,,158,0
"Transport Management
and Safety","General Administration Plan-
ning and Support Services","83,550,000","79,669,543","3,880,457",95.36,158,0
"Infrastructure, Roads and
Transport",Rehabilitation of Road,"950,728,395","867,652,024","83,076,371",91.26,158,0
"Infrastructure, Roads and
Transport","Maintenance of Roads and
Bridges/Periodic Maintenance","16,106,317","10,791,534","5,314,783",67.00,158,0
,,"1,050,384,712","958,113,101","92,271,611",91.22,158,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGE-
MENT",,,,,,158,0
"Trade development and
investment","Fairtrade Practices and Con-
sumer Protection (weight &
measures)","73,835,176","69,111,447","4,723,729",93.60,158,0
"Trade development and
investment","Administrative and Support
Services.","18,125,061","11,910,194","6,214,867",65.71,158,0
"Cooperative development
and management","Cooperative Advisory & Exten-
sion Services.","33,966,870","28,500,212","5,466,659",83.91,158,0
"Tourism development
and marketing",Local Tourism Development.,"3,000,000","3,000,000",-,100.00,158,0
,,"128,927,107","112,521,852","16,405,255",87.28,158,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,158,0
"Information & Commu-
nication Service",News and Information Services,"66,216,581","61,227,089","4,989,492",92.46,158,0
"Information & Commu-
nication Service","ICT and BPO development ser-
vices","27,876,262","22,380,298","5,495,964",80.28,158,0
,,"94,092,843","83,607,388","10,485,455",88.86,158,0
DEPARTMENT: COUNTY PUBLIC SERVICE BOARD,,,,,,158,0
