Programs,Sub-Programs,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"Default Value (Non- Depart-
mental)","Default Value (Non- Depart-
mental)",-,"(9,584,351)","9,584,351",0.0,41,1
,,-,"- 9,584,351","9,584,351",0.0,41,1
County Assembly,,"403,014,366","283,061,970","119,952,396",70.2,41,1
,P1 OFFICE OF THE CLERK,-,-,-,0.0,41,1
,,"9,200,000","7,775,753","1,424,247",84.5,41,1
,"General Administration, Plan-
ning and Support Services","393,814,366","275,286,217","118,528,149",69.9,41,1
,General administration,-,-,-,0.0,41,1
Office of the Speaker,,"9,304,000","8,089,630","1,214,370",86.9,41,1
,,"9,304,000","8,089,630","1,214,370",86.9,41,1
,"General Administration, Plan-
ning and Support Services",-,-,-,0.0,41,1
"County Assembly Administra-
tion",,"390,200,654","358,322,796","31,877,858",91.8,41,1
,,"390,200,654","358,322,796","31,877,858",91.8,41,1
"Office of the Governor and
Deputy Governor",,"92,890,850","63,606,965","29,283,885",68.5,41,1
,,"75,429,600","63,422,747","12,006,853",84.1,41,1
,,"17,461,250","184,217","17,277,033",1.1,41,1
,P3 GOVERNORS OFFICE,-,-,-,0.0,41,1
,P4 DEPUTY GOVERNOR,-,-,-,0.0,42,0
"County Executive Administra-
tion",,"3,016,066,167","3,010,804,158","5,262,009",99.8,42,0
,,-,-,-,0.0,42,0
,"Civic Education Development
Services","700,000","700,000",-,100.0,42,0
,General administration,-,-,-,0.0,42,0
,"Inter and Intra -governmen-
tal Relations services","7,000,000","6,998,050","1,950",100.0,42,0
,,"3,008,366,167","3,003,106,108","5,260,059",99.8,42,0
County Secretary,,"213,703,255","202,605,604","11,097,651",94.8,42,0
,County Secretary,-,-,-,0.0,42,0
,,"213,703,255","202,605,604","11,097,651",94.8,42,0
County Public Service Board,,-,-,-,0.0,42,0
,County Public Service Board,-,-,-,0.0,42,0
,,"6,278,159","6,253,400","24,759",99.6,42,0
,"Tiaty Sub-County (Adminis-
tration)",-,-,-,0.0,42,0
,,"6,278,159","6,253,400","24,759",99.6,42,0
,,"6,086,222","6,288,177","(201,955)",103.3,42,0
,,"6,086,222","6,288,177","(201,955)",103.3,42,0
,Baringo North Sub County,-,-,-,0.0,42,0
,,"5,758,027","4,553,120","1,204,907",79.1,42,0
,,"5,758,027","4,553,120","1,204,907",79.1,42,0
,Baringo Central Sub County,-,-,-,0.0,42,0
,,"6,144,000","5,101,596","1,042,404",83.0,42,0
,Baringo South Sub County,-,-,-,0.0,42,0
,,"6,144,000","5,101,596","1,042,404",83.0,42,0
,,"5,862,377","5,032,728","829,649",85.8,42,0
,,"5,862,377","5,032,728","829,649",85.8,42,0
,Mogotio Sub County,-,-,-,0.0,42,0
,,"5,902,412","5,887,000","15,412",99.7,42,0
,,"5,902,412","5,887,000","15,412",99.7,42,0
,Eldama Ravine Sub County,-,-,-,0.0,42,0
Office of the Deputy Governor,,"18,586,339","17,823,092","763,247",95.9,42,0
,P4 DEPUTY GOVERNOR,-,-,-,0.0,42,0
,,"18,586,339","17,823,092","763,247",95.9,42,0
,P3 GOVERNORS OFFICE,-,-,-,0.0,42,0
Headquarters,,-,-,-,0.0,42,0
,Treasury Accounts,-,-,-,0.0,42,0
,"Civic Education Development
Services",-,-,-,0.0,42,0
Finance & Economic Planning,,"517,553,553","259,486,180","258,067,373",50.1,42,0
,"General Administration, Plan-
ning and Support Services","3,963,263","1,936,330","2,026,933",48.9,42,0
,"Revenue Services Development
Services","317,871,487","65,712,913","252,158,574",20.7,42,0
,General administration,"195,718,803","191,836,937","3,881,866",98.0,42,0
,Treasury Accounts,-,-,-,0.0,42,0
,KDS Programme,-,-,-,0.0,42,0
,"Early Childhood Development
Education",-,-,-,0.0,42,0
,"Economic Planning, Budget,
Monitoring and Evaluation
Services",-,-,-,0.0,42,0
Fiscal Planning,,-,-,-,0.0,42,0
,"Tiaty Sub County (Administra-
tion)",-,-,-,0.0,42,0
Budget,,-,-,-,0.0,43,0
,Baringo North Sub County,-,-,-,0.0,43,0
Accounting,,-,-,-,0.0,43,0
,Baringo Central Sub County,-,-,-,0.0,43,0
