Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
CP 14: Fair Trade Practices,"CSP 14.1: Weights and
measures.","3,000,000.00",-,"3,000,000.00",0,76,0
"CP 15: Cooperative devel-
opment","CSP 15.1 Busia county
cooperative enterprise
development fund",-,-,-,0,76,0
,"CSP 15.2: Revitaliza-
tion of cotton ginneries","11,750,000.00",-,"11,750,000.00",0,76,0
,"CSP 15.3: Value ad-
dition",-,-,-,0,76,0
"CP 16: Other Development
Projects","CSP 16.1. Other Devel-
opment projects","121,394,516.00","69,882,109.00","51,512,407.00",58,76,0
Total for Vote,,"318,943,609.17","143,756,060.10","175,187,549.07",45,76,0
FINANCE,,,,,,76,0
"CP 22:General Administra-
tion and Support services","CSP 22.1: Administra-
tive support service","918,537,365.40","877,548,932.13","40,988,433.28",96,76,0
"CP 23: Financial manage-
ment, Control and Devel-
opment services","CSP 23.1: Revenue
generation services","2,000,000.00",-,"2,000,000.00",0,76,0
"CP 24: Information and
Communication Services","CSP 24.1: ICT support
services","2,500,000.00","2,101,131.55","398,868.45",84,76,0
"CP 25: Other Development
Projects","CSP 25.1: Other Devel-
opment projects","22,400,000.00",-,"22,400,000.00",0,76,0
Total for Vote,,"945,437,365.40","879,650,063.68","65,787,301.73",93,76,0
EDUCATION,,,,,,76,0
"CP 17: General Administra-
tion and Support services","CSP 17.1: Administra-
tive support service","425,919,138.24","347,077,703.30","78,841,434.94",81,76,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement
of the infrastructure in
E.C.D.E Centre","51,502,000.00",-,"51,502,000.00",0,76,0
,"CSP 18.2 E.C.D.E
Capitation",-,-,-,0,76,0
,"CSP 18.3: Child Nu-
trition",-,-,-,0,76,0
"CP 19: Tertiary/Vocational
Training Development","CSP 19.1: Infrastruc-
ture development","23,582,126.00",-,"23,582,126.00",0,76,0
CP 20: Education support,"CSP 20.1: Education
support scheme","52,097,410.00","7,303,560.30","44,793,849.70",14,76,0
"CP 21: Other Development
Projects","CSP 21.1 Other Devel-
opment Projects","150,023,826.00","59,372,540.05","90,651,285.95",40,76,0
Total for Vote,,"703,124,500.24","413,753,803.65","289,370,696.59",59,76,0
CULTURE,,,,,,76,0
"CP 26: General Administra-
tion and Support services","CSP 26.1: Administra-
tive support service","95,440,030.36","80,148,468.05","15,291,562.31",84,76,0
CP 27: Social services,"CSP 27.1: Infrastruc-
tural development","3,500,000.00",-,"3,500,000.00",0,76,0
,"CSP 27.2:Community
Support","15,400,000.00","5,982,758.60","9,417,241.40",39,76,0
"CP 28:Youth and Empower-
ment Development","CSP 28.1 Equipping
and Operationalization
of youth empowerment","3,950,000.00",-,"3,950,000.00",0,77,0
"CP 29:Promotion and
development of sports","CSP 29.1: Infrastruc-
tural development","6,000,000.00",-,"6,000,000.00",0,77,0
,"CSP 29.2: Sports pro-
motion",-,-,-,,77,0
"CP 30: Child care and
protection","CSP 30.1: Rehabilita-
tion and custody","5,000,000.00","2,205,788.10","2,794,211.90",44,77,0
"CP 31: Culture Promotion
and Development","CSP 31.1: Cultural
infrastructural devel-
opment",-,-,-,,77,0
"CP 32: Promotion and de-
velopment of Local tourism
in the county","CSP 32.1: Tourism
development",-,-,-,,77,0
"CP 33: Alcoholic Drinks
and Drugs Control","CSP 33.1: Infrastruc-
ture development",-,-,-,0,77,0
"CP 34: Other Development
Projects","CSP 34.1:Other Devel-
opment projects","87,939,982.00","17,165,886.50","70,774,095.50",20,77,0
Total for Vote,,"217,230,012.36","105,502,901.25","111,727,111.11",49,77,0
PUBLIC WORKS,,,,,,77,0
"CP 35: General Administra-
tion and support services","CSP 35.1: Administra-
tive support service","128,583,785.56","100,394,242.20","28,189,543.36",78,77,0
"CP 36:Development and
Maintenance of Roads","CSP 36.1: Routine
maintenance of roads","385,000,000.00","97,077,784.00","287,922,216.00",25,77,0
,"CSP 36.2: Development
of Roads","112,489,285.00","58,604,803.00","53,884,482.00",52,77,0
"CP 37:Building Infrastruc-
ture Development","CSP 37.1: Infrastruc-
ture Development","2,923,010.00",-,"2,923,010.00",0,77,0
CP 38: Energy Development,"CSP 38.1 Energy
Services","9,200,000.00",-,"9,200,000.00",0,77,0
,"CSP 38.2: Solar Energy
Exploration","16,500,000.00",-,"16,500,000.00",0,77,0
,"CSP 38.3: Renewable
energy",-,-,-,0,77,0
"CP 39: Alternative Transport
Infrastructure Development","CSP 39.1: Road safety
campaign","1,000,000.00",-,"1,000,000.00",0,77,0
"CP 40: Other Development
Projects","CSP 40.1: Other Devel-
opment Projects","569,619,323.00","155,442,279.35","414,177,043.65",27,77,0
Total for Vote,,"1,225,315,403.56","411,519,108.55","813,796,295.01",34,77,0
"PUBLIC SERVICE MAN-
AGEMENT",,,,,,77,0
"CP 41: General Adminis-
tration and support services","CSP 41.1: Administra-
tive support services","391,221,339.57","153,123,149.90","238,098,189.67",39,77,0
Total for Vote,,"391,221,339.57","153,123,149.90","238,098,189.67",39,77,0
PUBLIC SERVICE BOARD,"CP 42: General
Administration and
support services",,,,,77,0
"CP 41: General Adminis-
tration and support services","CSP 41.1: Administra-
tive support services","100,036,202.50","74,396,355.15","25,639,847.35",74,77,0
Total for Vote,,"100,036,202.50","74,396,355.15","25,639,847.35",74,77,0
LANDS,,,,,,77,0
"CP 42: General Administra-
tion and support services","CSP 42.1: Administra-
tive support services","130,911,618.86","87,369,467.95","43,542,150.91",67,77,0
"CP 43: County Land Ad-
ministration and Planning","CSP 43.1: Land use
planning","5,503,212.00","500,000.00","5,003,212.00",9,78,0
"CP 44: Housing develop-
ment and management","CSP 44.1: Housing
Development","46,770,752.00",-,"46,770,752.00",0,78,0
"CP 45: County Urban Man-
agement and Development","CSP 45.1: Urban man-
agement","56,298,859.00",-,"56,298,859.00",0,78,0
,"CSP 45.2: Urban
Development (Malaba
Municipalities)","212,531,513.00","40,802,535.05","171,728,977.95",19,78,0
,"CSP 45.3: Urban
Development( Busia
Municipality)","15,000,000.00",-,"15,000,000.00",0,78,0
"CP 46: Other Development
Projects","CSP 46.1:Other Devel-
opment Projects","19,049,760.00","695,000.00","18,354,760.00",4,78,0
Total for Vote,,"486,065,714.86","129,367,003.00","356,698,711.86",27,78,0
WATER,,,,,,78,0
"CP 47: General Administra-
tion and support services","CSP 47.1: Administra-
tive support services","142,603,493.27","78,260,467.65","64,343,025.62",55,78,0
"CP 48: Water Supply Ser-
vices","CSP 48.1: Urban water
supply and sewerage","77,970,555.00","34,255,989.00","43,714,566.00",44,78,0
,"CSP 48.2: Rural water
supply","100,920,218.00","79,656,794.00","21,263,424.00",79,78,0
"CP 49: Environment Man-
agement and Protection","CSP 49.1 Environmen-
tal management","17,500,000.00","7,275,125.00","10,224,875.00",42,78,0
"CP 50:Small Holder Irriga-
tion and Drainage","CSP 50.1: Irrigation
infrastructure develop-
ment",-,-,-,,78,0
"CP 51: Forest development
and management","CSP 51.1:Rehabilita-
tion and restoration of
degraded landscape","10,000,000.00",-,"10,000,000.00",0,78,0
"CP 52: Water Tower Protec-
tion and Climate Change
Mitigation","CSP 52.1: Water Tower
Protection and Climate
Change Mitigation",-,-,-,,78,0
"CP53: Other Development
Projects","CSP 53.1 Other Devel-
opment Projects","330,150,442.00","32,069,052.45","298,081,389.55",10,78,0
Total for Vote,,"679,144,708.27","231,517,428.10","447,627,280.17",34,78,0
HEALTH,,,,,,78,0
"CP 54: General Administra-
tion and support services","CSP 54.1: Administra-
tive support service","1,813,298,516.50","1,745,681,492.35","67,617,024.15",96,78,0
"CP 55: Curative Health
Services","CSP 55.1: Infrastruc-
ture development","303,680,900.60","204,065,677.00","99,615,223.60",67,78,0
,"CSP 55.2: Hospital
equipment","46,625,360.00","19,351,209.80","27,274,150.20",42,78,0
"CP 56: Preventive and Pro-
motive Health services","CSP 56.1: Infrastruc-
ture development","105,838,637.00","49,219,847.00","56,618,790.00",47,78,0
,"CSP 56.2: Lower-level
hospital equipment","1,345,360.00",-,"1,345,360.00",0,78,0
,"CSP 56.3:Preventive
Services","12,000,000.00",-,"12,000,000.00",0,78,0
,"CSP 56.4: Health pro-
motion unit","129,133,623.00","70,269,795.00","58,863,828.00",54,78,0
"CP 57: Other Development
Projects","CSP 57.1: Other Devel-
opment projects","92,970,932.00","51,845,880.00","41,125,052.00",56,78,0
Total for Vote,,"2,504,893,329.10","2,140,433,901.15","364,459,427.95",85,78,0
GOVERNORSHIP,,,,,,78,0
