Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Sub Total,,"235,945,897","213,177,115","22,768,782",90.3,95,0
COUNTY PUBLIC SERVICE BOARD,,,,,,95,0
"P1: Administration of Hu-
man Resources in Public
Service","SP1.1: Performance
Management & Disci-
pline","2,838,227","2,396,193","442,034",84.4,95,0
,"SP1.2: Administration
of board programmes","4,173,863","3,523,813","650,050",84.4,95,0
,"SP1.3: Recruitment and
Selection, Career Man-
agement, HR Policy &
Audit","5,843,408","4,933,338","910,070",84.4,95,0
,"SP1.4 Quality service
delivery in the County
Public Service that is
effective and efficient","3,839,954","3,241,908","598,046",84.4,95,0
"Administration of Human
Resources in Public Service","SP2.1 Recruitment and
Selection, Career Man-
agement, HR Policy &
Audit","5,565,151","4,698,417","866,733",84.4,95,0
,"SP2.2 Administration
of Board programmes/
Agenda","5,565,151","4,698,417","866,733",84.4,95,0
,"SP2.3 Performance
Management & Disci-
pline","5,565,151","4,698,417","866,733",84.4,95,0
Sub Total,,"33,390,903","28,190,503","5,200,400",21.2,95,0
PUBLIC SERVICE AND ADMINISTRATION,,,,,,95,0
"P1: General Administra-
tion Planning and Support
Services","SP1.1: Service Delivery
and Management of
County Affairs","225,531,794","205,352,190","20,179,604",91.1,95,0
P2: Public Service,"SP2.1: Human Re-
source Development
and Culture Change
Management","179,451,480","163,394,942","16,056,538",91.1,95,0
,"SP2.2: Office Infra-
structure Expansion","118,476,350","107,875,601","10,600,749",91.1,95,0
Sub Total,,"523,459,624","476,622,733","46,836,891",91.1,95,0
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,95,0
"P1: Policy and General
Administrative Services","SP1.1: General Admin-
istrative Unit","10,342,310","6,253,129","4,089,181",60.5,95,0
"P2: Gender and Social
Development","SP2.1: Communica-
tion Mobilization and
Development","13,789,747","8,337,505","5,452,242",60.5,95,0
,"SP2.2: Social Welfare
Services","10,342,310","6,253,129","4,089,181",60.5,95,0
,"SP2.3: Vocational Reha-
bilitation and Training","6,894,874","4,168,753","2,726,121",60.5,95,0
,"SP2.4: Gender Main-
streaming and Devel-
opment","10,342,310","6,253,129","4,089,181",60.5,95,0
P3: Children Services,"SP3.1: Child Rehabilita-
tion and Custody","10,342,310","6,253,129","4,089,181",60.5,95,0
"P4: Culture and Cultural
Preservation","SP 4.1 Cultural Preser-
vation","6,894,874","4,168,753","2,726,121",60.5,95,0
Sub Total,,"68,948,735","41,687,526","27,261,209",60.5,95,0
FINANCE AND ECONOMIC PLANNING,,,,,,95,0
"P1: General Administra-
tion Planning and Support
Services","SP1.1: Administration,
Planning and Support
Services","19,727,760","17,213,010","2,514,750",87.3,96,0
"P2: Economic Policy and
County Planning","SP 2.1: Economic
Development Planning
and Coordination","27,618,864","24,098,214","3,520,650",87.3,96,0
"P3: Financial Management
Services","SP3.1: Control and
Management of Public
Finances","12,815,154","11,181,572","1,633,582",87.3,96,0
"P4: Monitoring and Eval-
uation","SP 4.1:Monitoring and
Evaluation of projects","26,458,863","23,086,081","3,372,782",87.3,96,0
P5: Research and Statistics,"SP5.1: County database
and profile","24,486,087","21,364,780","3,121,307",87.3,96,0
Sub Total,,"111,106,728","96,943,656","14,163,072",17.9,96,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,96,0
"P1:Administrative Support
Services","P1.1:Administrative
Support Services","8,403,186","3,463,948","4,939,239",41.2,96,0
"P2: Trade Development
and Promotion","P2.1: Trade Develop-
ment and Promotion","34,029,284","14,027,495","20,001,788",41.2,96,0
"P3:Industrial Development
and Investment","P3.1:Industrial Devel-
opment and Investment","15,558,572","6,413,529","9,145,043",41.2,96,0
P4:Tourism Development,"P4.1:Tourism Devel-
opment","12,729,741","5,247,433","7,482,308",41.2,96,0
Sub Total,,"70,720,783","29,152,405","41,568,378",41.2,96,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,96,0
"P1:Administrative Support
Services","P1.1: Administrative
Support Services","93,729,847","64,829,163","28,900,684",69.2,96,0
"P2:Crop Development and
Management","P2.1:Crop Develop-
ment and Management","334,882,340","231,624,636","103,257,704",69.2,96,0
"P3:Agribusiness and Infor-
mation Management","P3.1:Agribusiness and
Information Manage-
ment","93,357,755","64,571,801","28,785,953",69.2,96,0
"P4:Livestock Resources
Management and Devel-
opment","P4.1:Livestock Resourc-
es Management and
Development","124,352,975","86,009,948","38,343,027",69.2,96,0
P5:Fisheries Development,"P5.1:Fisheries Devel-
opment","71,813,658","49,670,617","22,143,041",69.2,96,0
Sub Total,,"718,136,575","496,706,165","221,430,410",69.2,96,0
HEALTH,,,,,,96,0
"P1: Curative Health
Services","SP1.1: Primary Health
Care","1,173,654,053","995,795,118","177,858,934",84.8,96,0
"P2: Preventive and Promo-
tive Health Services","SP2.1: Health Promo-
tion & Disease Control","483,067,503","409,862,054","73,205,448",84.8,96,0
"P3: General Administra-
tion Planning and Support
Services","SP3.1: General Admin-
istration services","381,172,786","323,408,758","57,764,028",84.8,96,0
Sub Total,,"2,037,894,341","1,729,065,931","308,828,410",84.8,96,0
EMBU LEVEL 5 HOSPITAL,,,,,,96,0
"P1: Curative Health
Services","SP1.1: Primary Health
Care","207,978,515","153,226,859","54,751,657",73.7,96,0
"P2: Preventive and Promo-
tive Health Services","SP2.1: Health Promo-
tion & Disease Control","58,275,818","42,934,341","15,341,477",73.7,96,0
"P3: General Administra-
tion Planning and Support
Services","SP3.1: General Admin-
istration services","42,822,001","31,548,839","11,273,162",73.7,96,0
Sub Total,,"309,076,334","227,710,038","81,366,296",73.7,96,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,97,0
"P1: General Administra-
tion Planning and Support
Services","SP1.1: General Admin-
istration Services","127,800,768","79,091,770","48,708,998",61.9,97,0
P2: Roads Transport,"SP2.1: Road Infrastruc-
ture and Public Works","958,505,762","593,188,276","365,317,486",61.9,97,0
P3: Energy and Housing,"SP3.1: Energy and
Housing","191,701,152","118,637,655","73,063,497",61.9,97,0
Sub Total,,"1,278,007,682","790,917,701","487,089,981",61.9,97,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,97,0
"P1: General Administra-
tion, Planning and Support
Services","SP1.1:General Admin-
istration and Support
Services","202,621,433","160,252,620","42,368,813",79.1,97,0
"P2:Quality Assurance and
Standards","SP2.1: Quality Assur-
ance and standards","101,310,716","80,126,310","21,184,406",79.1,97,0
"P3: ECDE and Tertiary
Education (Polytechnics)","SP3.1: ECDE and
Tertiary Education
(Polytechnics)","202,621,433","160,252,620","42,368,813",79.1,97,0
Sub Total,,"506,553,582","400,631,550","105,922,032",79.1,97,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,97,0
"P1: Physical Planning and
Urban Development","SP1.1: Physical Plan-
ning Services","8,409,570","5,642,632","2,766,938",67.1,97,0
,"SP1.2: Establishment
and Promotion of Land
Policy","11,773,397","7,899,684","3,873,713",67.1,97,0
,"SP1.3: Environmental
conservation","8,409,570","5,642,632","2,766,938",67.1,97,0
"P2: General Administra-
tion, Planning and Support
Services","SP2.1 General Admin-
istration and Support
Services","16,819,139","11,285,263","5,533,876",67.1,97,0
"P3: Water Supply and
Sewerage Services","SP3.1: Domestic water
supply","75,686,128","50,783,686","24,902,442",67.1,97,0
"P4:Irrigation and civil
works","SP4.1: Irrigation and
civil works","47,093,591","31,598,738","15,494,853",67.1,97,0
Sub Total,,"168,191,396","112,852,635","55,338,761",67.1,97,0
EMBU MUNICIPAL BOARD,,,,,,97,0
"P1: General Administra-
tion Planning and Support
Services","SP1.1: General Admin-
istration Services","1,800,000","759,638","1,040,362",42.2,97,0
P2: Roads Transport,"SP2.1: Road Infrastruc-
ture and Public Works","8,200,000","3,460,573","4,739,427",42.2,97,0
Sub Total,,"10,000,000","4,220,211","5,779,789",42.2,97,0
YOUTH EMPOWERMENT AND SPORTS,,,,,,97,0
"P1: Youth Development
and Empowerment Ser-
vices","SP5.1:Youth Develop-
ment and Empower-
ment Services","37,806,074","30,780,418","7,025,655",81.4,97,0
"P2: Management and
Development of Sports and
Sports facilities","SP5.1: Community
Sports programme","30,244,859","24,624,335","5,620,524",81.4,97,0
"P3: General Administra-
tion Planning and Support
Services","SP3.1: General Admin-
istration services","7,561,215","6,156,084","1,405,131",81.4,97,0
Sub Total,,"75,612,147","61,560,836","14,051,311",81.4,97,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,97,0
"P1: Financial Management
Services","SP1.1: Revenue Man-
agement Services","2,736,028","1,776,009","960,019",64.9,97,0
