Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
County Assembly,,"578,000,000.00","346,426,694.20","231,573,305.80",59.9,246,1
"P.1 Administration, plan-
ning and support services.","SP.1.1: Administration,
planning and support ser-
vices.","388,207,120.00","186,096,532.70","202,110,587.30",47.94,246,1
"P.2 Legislation and Over-
sight",SP2.1,"189,792,880.00","160,330,161.50","29,462,718.50",84.48,246,1
County Assembly Total,,"578,000,000.00","346,426,694.20","231,573,305.80",59.94,246,1
County Executive,,"540,502,971.00","484,559,253.85","55,943,717.15",89.65,246,1
P1. Administration Services,SP1.1 Headquarters,"463,820,364.00","450,201,669.10","13,618,694.90",97.06,246,1
,"SP2.1: Office of the Gover-
nor & Deputy Governor","37,682,607.00","34,357,584.75","3,325,022.25",91.18,246,1
,"Disaster Management
Headquarters","1,000,000.00",-,"1,000,000.00",-,246,1
,Fire Fighting Headquarters,"38,000,000.00",-,"38,000,000.00",-,246,1
"Programme 1. Administra-
tion Services Total",,"540,502,971.00","484,559,253.85","55,943,717.15",89.65,246,1
"Finance, Economy and Strategic Planning",,"192,405,262.00","113,305,692.75","79,099,569.25",58.89,246,1
"P2: Public Finance & Ac-
counting","SP2.2: Accounting, Stan-
dards & Reporting","6,940,015.00","6,096,697.45","843,317.55",87.85,246,1
,"SP2.3: Procurement & Sup-
ply Chain management","4,074,209.00","3,218,568.45","855,640.55",79.00,246,1
,"SP2.4: Resource mobilisa-
tion","4,244,409.00","3,811,332.10","433,076.90",89.80,246,1
,SP2.5:Internal Audit,"3,558,909.00","2,959,124.90","599,784.10",83.15,246,1
,"SP2.6:Internal Audit-KDSP
Headquarters","76,534,906.00","3,474,600.00","73,060,306.00",4.54,246,1
"P2: Public Finance & Ac-
counting Total",,"93,352,448.00","19,560,322.90","73,792,125.10",20.95,246,1
P.1. Administration Services,SP1.1 Headquarters,"99,052,814.00","93,745,369.85","5,307,444.15",94.64,246,1
"Programme 1. Administra-
tion Services Total",,"99,052,814.00","93,745,369.85","5,307,444.15",94.64,246,1
Agriculture and Irrigation,,"500,518,785.00","364,106,325.55","136,412,459.45",72.75,246,1
"P2: Promotion of Agro-Pro-
cessing & Value addition
Technologies","Agricultural Technology
Devp Centres (ATDC)","35,000,000.00","35,000,000.00",-,100.00,247,0
,"SP2.1: Plant disease control
Headquarters - 3214000901
Conditional Grants
(KCSAP &
ASDSP)","247,733,640.00","191,353,750.00","56,379,890.00",77.24,247,0
,"SP2.1: Plant disease control
Headquarters - 3214000901
Conditional Grants
(KCSAP &
ASDSP)","52,368,686.00","33,535,218.90","18,833,467.10",64.04,247,0
P2: Total,,"335,102,326.00","259,888,968.90","75,213,357.10",77.56,247,0
"P 1. Administration Ser-
vices","SP1.1 Directorate of Agri-
culture & Extension Ser-
vices","50,780,716.00","44,320,974.00","6,459,742.00",87.28,247,0
,"SP1.7 Crop Management
Headquarters","114,635,743.00","59,896,382.65","54,739,360.35",52.25,247,0
"Programme 1. Administra-
tion Services Total",,"165,416,459.00","104,217,356.65","61,199,102.35",63.00,247,0
"Land, Physical Planning",,"138,504,927.00","81,391,673.40","57,113,253.60",58.76,247,0
P.2. Land Management,SP2: Survey & Planning,"102,542,909.00","56,308,814.10","46,234,094.90",54.91,247,0
P2 Land Management Total,,"102,542,909.00","56,308,814.10","46,234,094.90",54.91,247,0
"P 1: Administration Ser-
vices",SP1.1 Headquarters,"35,962,018.00","25,082,859.30","10,879,158.70",69.75,247,0
"P 1: Administration Ser-
vices Total",,"35,962,018.00","25,082,859.30","10,879,158.70",69.75,247,0
Education,,"390,628,894.00","344,669,696.60","45,959,197.40",88.23,247,0
"P2. Education and Training
Programme",SP2.4: County TVT Grant,"37,000,000.00","36,999,999.95",0.05,100.00,247,0
,SP2.3: Promotion of ECD,"96,115,894.00","57,904,488.15","38,211,405.85",60.24,247,0
,SP2.2: Village Polytechnics,"1,681,000.00","291,380.40","1,389,619.60",17.33,247,0
,SP2.1: Scholarship,"168,681,442.00","168,680,000.00","1,442.00",100.00,247,0
"P2. Education and Training
Programme Total",,"303,478,336.00","263,875,868.50","39,602,467.50",86.95,247,0
"P 1: Administration Ser-
vices",SP1.1 Headquarters,"87,150,558.00","80,793,828.10","6,356,729.90",92.71,247,0
"P 1: Administration Ser-
vices Total",,"87,150,558.00","80,793,828.10","6,356,729.90",92.71,247,0
Medical Services,,"1,427,780,347.00","1,181,105,700.20","246,674,646.80",82.72,247,0
P:2 Primary health services,"SP:2.1 Curative & Rehabili-
tative","409,167,970.00","291,017,783.20","118,150,186.80",71.12,247,0
"P:2 Primary health services
Total",,"409,167,970.00","291,017,783.20","118,150,186.80",71.12,247,0
"P1. General Administra-
tion, Planning, Monitoring
and Support Services","SP:1.1 human resource
management and develop-
ment","823,614,856.00","813,101,095.15","10,513,760.85",98.72,247,0
,"SP4 Preventive and Promo-
tive Services","1,800,000.00","639,000.00","1,161,000.00",35.50,247,0
,"SP4 Preventive and Promo-
tive Services","21,021,358.00","18,646,220.90","2,375,137.10",88.70,247,0
"P1. General Administra-
tion, Planning, Monitoring
and Support Services Total",,"846,436,214.00","832,386,316.05","14,049,897.95",98.34,247,0
"P3: Preventive & Promo-
tive Health
Dept","SP4 Preventive and Pro-
motive Services","172,176,163.00","57,701,600.95","114,474,562.05",33.51,248,0
"P3: Preventive & Promotive
Health
Dept Total",,"172,176,163.00","57,701,600.95","114,474,562.05",33.51,248,0
Trade,,"87,298,305.00","39,394,384.75","47,903,920.25",45.13,248,0
