"Depart-
ment",Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Medical Services and Public Health,,"2,169,799,187","1,827,487,054","342,312,133",84.2,51,1
,Human Resources for Health Services,"1,252,531,842","1,238,911,376","13,620,466",98.9,51,1
,Curative Services,"229,697,381","167,054,895","62,642,486",72.7,51,1
,Health Care Financing,"227,238,000","213,938,050","13,299,950",94.1,51,1
,Health Infrastructure,"225,407,763","30,392,620","195,015,143",13.5,51,1
,Reproductive Health Services,"134,794,849","87,446,496","47,348,353",64.9,51,1
,Preventing and Promotive Services,"100,129,352","89,743,618","10,385,734",89.6,51,1
Public Service,,"1,959,933,665","1,716,805,901","243,127,764",87.6,51,1
,Salaries and Wages,"1,861,933,665","1,623,058,954","238,874,711",87.2,52,0
,Operations and Maintenance,"98,000,000","93,746,947","4,253,053",95.7,52,0
County Assembly of Bomet,,"935,721,526","728,266,905","207,454,621",77.8,52,0
,"General Administration, Human Re-
source and Administrative Services","541,166,494","333,711,873","207,454,621",61.7,52,0
,Legislative Services,"297,442,155","297,442,155",-,100.0,52,0
,Oversight and Representation,"97,112,877","97,112,877",-,100.0,52,0
Roads Public Works and Transport,,"915,517,983","907,396,548","8,121,435",99.1,52,0
,Roads Construction & Maintenance,"655,920,971","655,339,659","581,312",99.9,52,0
,"Development and Maintenance of other
Public works","181,623,240","180,696,686","926,554",99.5,52,0
,Operations and Maintenance,"75,673,772","70,274,283","5,399,489",92.9,52,0
,County Transport Infrastructure,"2,300,000","1,085,920","1,214,080",47.2,52,0
"Agriculture, Livestock and Veterinary Services",,"569,871,931","178,905,902","390,966,029",31.4,52,0
,Crop Development and Management,"508,877,257","149,591,669","359,285,588",29.4,52,0
,"Livestock, Fisheries & Veterinary Ser-
vices","44,404,674","14,038,113","30,366,561",31.6,52,0
,Operations and Maintenance,"16,590,000","15,276,119","1,313,881",92.1,52,0
Finance,,"476,644,029","299,273,549","177,370,480",62.8,52,0
,Financial Management Services,"293,997,469","139,740,392","154,257,077",47.5,52,0
,Operations and Maintenance,"182,646,560","159,533,157","23,113,403",87.3,52,0
"Water, Sanitation and Environment",,"425,126,406","351,202,707","73,923,699",82.6,52,0
,"Development of Water Supply for Do-
mestic and Commercial purposes","277,785,106","270,535,727","7,249,379",97.4,52,0
,Operations and Maintenance,"110,084,100","70,506,160","39,577,940",64.0,52,0
,Environment and Natural Resources,"31,657,200","10,160,820","21,496,380",32.1,52,0
,"Policy planning and administrative ser-
vices","4,500,000",-,"4,500,000",-,52,0
,Irrigation Development,"1,000,000",-,"1,000,000",-,52,0
,Waste water management,"100,000",-,"100,000",-,52,0
Economic Planning,,"336,534,172","185,862,156","150,672,016",55.2,52,0
,KDSP (Level 2 Grant),"171,353,974","29,896,474","141,457,500",17.4,52,0
,Operations and Maintenance,"89,935,065","88,545,577","1,389,488",98.5,52,0
,KDSP (Level 1 Grant),"48,308,859","41,456,605","6,852,254",85.8,52,0
,Planning and Statistics,"13,166,274","13,023,200","143,074",98.9,52,0
,Budget Preparation and Management,"9,770,000","9,290,300","479,700",95.1,52,0
,Monitoring and Evaluation Services,"4,000,000","3,650,000","350,000",91.3,52,0
Education and Vocational Training,,"267,590,451","234,871,696","32,718,755",87.8,52,0
,"Early Childhood Development and Ed-
ucation","136,380,437","133,008,825","3,371,612",97.5,52,0
,"Policy, Planning and General Adminis-
trative Services","123,173,624","94,197,480","28,976,144",76.5,52,0
,Operations and Maintenance,"8,036,390","7,665,391","370,999",95.4,52,0
County Executive,,"250,576,680","214,769,674","35,807,006",85.7,52,0
,Operations and Maintenance,"250,576,680","214,769,674","35,807,006",85.7,52,0
"Lands, Housing and Urban Planning",,"221,871,238","53,797,329","168,073,909",24.2,52,0
,Municipality,"142,307,578","1,955,600","140,351,978",1.4,53,0
,Urban Management,"43,495,000","29,427,957","14,067,043",67.7,53,0
,Lands Development,"20,000,000","16,438,392","3,561,608",82.2,53,0
,Housing Development,"8,688,660","2,542,100","6,146,560",29.3,53,0
,Operations and Maintenance,"7,380,000","3,433,280","3,946,720",46.5,53,0
"Youth, Sports, Gender, and Culture",,"71,924,917","57,447,915","14,477,002",79.9,53,0
,Youth and Sports Development,"41,421,330","33,909,235","7,512,095",81.9,53,0
,"Gender, Children Services and Social
Protection","13,775,500","10,063,800","3,711,700",73.1,53,0
,Operations and Maintenance,"8,180,777","7,721,100","459,677",94.4,53,0
,Culture and library services,"5,600,000","3,754,160","1,845,840",67.0,53,0
,"Policy Development and Administrative
Services","2,947,310","1,999,620","947,690",67.8,53,0
Co-operatives and Enterprise Development,,"51,993,028","19,157,055","32,835,973",36.8,53,0
,"Agribusiness Development and Market-
ing","29,729,728","10,447,080","19,282,648",35.1,53,0
,Operations and Maintenance,"21,510,100","8,709,975","12,800,125",40.5,53,0
,Enterprise Development Fund,"500,000",-,"500,000",-,53,0
,"Policy Formulation, Review and Admin-
istration","253,200",-,"253,200",-,53,0
Administration,,"40,146,942","25,563,260","14,583,682",63.7,53,0
,Operations and Maintenance,"32,446,942","23,779,300","8,667,642",73.3,53,0
,"Infrastructure Development and Equip-
ment","7,500,000","1,783,960","5,716,040",23.8,53,0
,Centre for Devolved Governance,"200,000",-,"200,000",-,53,0
"Trade, Energy, Tourism and Industry, and Invest-
ment",,"40,081,095","23,109,301","16,971,794",57.7,53,0
,Trade Development,"15,042,054","6,480,229","8,561,825",43.1,53,0
,Operations and Maintenance,"11,509,041","9,421,635","2,087,406",81.9,53,0
,Energy Development,"6,000,000","3,014,130","2,985,870",50.2,53,0
,Industry Development,"5,540,000","4,193,307","1,346,693",75.7,53,0
,Tourism Development,"1,990,000",-,"1,990,000",-,53,0
"Information, Communication, and Technology",,"35,391,160","24,252,704","11,138,456",68.5,53,0
,Operations and Maintenance,"23,391,160","21,164,239","2,226,921",90.5,53,0
,"Information Communication Technolo-
gy (ICT) Services","12,000,000","3,088,465","8,911,535",25.7,53,0
County Public Service Board,,"34,519,332","30,404,822","4,114,510",88.1,53,0
,Operations and Maintenance,"34,519,332","30,404,822","4,114,510",-,53,0
Grand Total,,"8,803,243,742","6,878,574,478","1,924,669,263",78.1,53,0
