Programme,"Sub- Pro-
gramme","Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Department of the Office of The Governor,,,,,,217,1
General Administration And Planning,701013710,"1,384,834,632","955,800,437","429,034,195",69.0,217,1
General Administration And Planning,702013710,"70,966,018","59,328,388","11,637,630",83.6,217,1
Office of the County secretary,703013710,"88,129,450","81,192,112","6,937,338",92.1,217,1
Procurement,704023710,"93,293,728","58,232,867","35,060,861",62.4,217,1
Subtotal Office of the Governor,,"1,637,223,828","1,154,553,804","482,670,024",70.5,217,1
Department of the Public Service Management and Administration,,,,,,217,1
Coordination And Administrative Services,705013710,"142,352,229","125,515,779","16,836,450",88.2,217,1
Coordination And Administrative Services,706013710,"211,848,422","201,751,346","10,097,076",95.2,217,1
Coordination And Programmes Tracking,707013710,"17,899,299","11,170,806","6,728,493",62.4,217,1
General Administration And Planning,701013710,"159,305,894","141,491,370","17,814,524",88.8,217,1
"Subtotal Public Service Management and
Administration",,"531,405,844","479,929,301","51,476,543",90.3,217,1
Department of Agriculture Water and Livestock Development,,,,,,217,1
Agriculture,102013710,"481,715,874","201,792,278","279,923,596",41.9,217,1
Agriculture,103013710,"37,177,765","21,017,186","16,160,579",56.5,217,1
Agriculture,103023710,"109,325,157","51,908,957","57,416,200",47.5,217,1
Agriculture,104013710,"4,533,763","2,829,614","1,704,149",62.4,217,1
General Administration And Planning,101013710,"303,038,439","296,912,503","6,125,936",98.0,217,1
Water,101013710,"76,516,299","73,187,496","3,328,803",95.6,217,1
Water,111013710,"389,824,204","352,656,865","37,167,339",90.5,217,1
Water,111023710,"95,230,053","84,780,540","10,449,513",89.0,217,1
"Subtotal Agriculture Water and Livestock
Development",,"1,497,361,554","1,085,085,439","412,276,115",72.5,217,1
"Department of Basic Education, ICT, and Youth Development",,,,,,217,1
Basic Education,502013710,"414,806,720","347,241,124","67,565,596",83.7,217,1
General Administration And Planning,501013710,"150,579,934","143,964,977","6,614,957",95.6,217,1
Internet,505013710,"15,825,722","12,760,564","3,065,158",80.6,217,1
