Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,County Statistics and Data Bank,"6,600,000","6,600,000",-,100.0,382,0
,Monitoring and Evaluation,"9,544,800","9,544,800",-,100.0,382,0
,Economic Modelling and Research,"3,451,700","3,451,700",-,100.0,382,0
,Economic Development Planning,"75,580,068","12,150,000","63,430,068",16.1,382,0
Sub Total,,"504,023,435","438,361,939","65,661,496",87.0,382,0
"Preventive and Promotive
Services",Preventive and Promotive Services,"6,271,274","6,271,274",-,100.0,382,0
Curative Services,Curative Services,"253,199,497","252,799,272","400,225",99.8,382,0
,Universal health care and grants,"399,775,885","150,399,810","249,376,075",37.6,382,0
"General administration,
planning and support ser-
vices",Solid Waste and Cemeteries,"5,200,000","4,200,000","1,000,000",80.8,382,0
,Infrastructure and Equipment,"361,013,156","123,793,624","237,219,532",34.3,382,0
Subtotal,,"1,025,459,812","537,463,980","487,995,832",52.4,382,0
Primary education,ECDE,"75,056,219","58,536,120","16,520,099",78.0,382,0
"Youth training and devel-
opment",The revitalisation of youth polytechnics,"16,717,994","9,112,226","7,605,768",54.5,382,0
Culture,development and promotion of culture,"4,330,000","4,255,043","74,957",98.3,382,0
Arts & Theatre,Arts & Theatre,"46,931,999","11,705,954","35,226,045",24.9,382,0
Sub Total,,"143,036,213","83,609,343","59,426,870",58.5,382,0
"Trade development and
promotion",Financial and Trade Services,"45,640,000","37,758,494","7,881,506",82.7,382,0
"Industrial development
and investment",Industrial and Enterprise Development,"4,314,057","12,583,705","-8,269,648",291.7,382,0
,Weights & Measures,"2,610,000","2,590,217","19,783",99.2,382,0
"Cooperative development
and management",Cooperative advisory services,"18,010,000","18,009,538",462,100.0,383,0
,cooperative audit extension services,"5,120,458","5,119,158","1,300",100.0,383,0
Urban development,Urban development,"106,540,580","38,944,868","67,595,712",36.6,383,0
Ol'kalou municipality,Ol'kalou municipality,"102,026,681","13,421,062","88,605,619",13.2,383,0
Sub Total,,"284,261,776","128,427,042","155,834,734",45.2,383,0
Sports,Sports Development,"80,605,000","45,172,928","35,432,072",56.0,383,0
Youth Affairs,Youth Affairs,"34,500,000","34,499,701",299,100.0,383,0
"Gender Affairs and Social
Services & youth empow-
erment",Social Services,"158,020,000","157,205,771","814,229",99.5,383,0
,Gender Affairs and Social Services,"44,670,098","22,874,603","21,795,495",51.2,383,0
"General administration,
planning and support ser-
vices","Alcohol Drinks Control and Civic Ed-
ucation","6,750,000","6,750,000",-,100.0,383,0
Sub Total,,"324,545,098","266,503,003","58,042,095",82.1,383,0
"Water Resource Develop-
ment.","water resource conservation and pro-
tection, infrastructure and flood con-
trol","237,621,789","81,911,238","155,710,551",34.5,383,0
Environment,"environmental support and manage-
ment","29,504,900","27,061,950","2,442,950",91.7,383,0
,climate change resilience,"18,100,000","7,599,222","10,500,778",42.0,383,0
,natural resource,"1,800,000","999,380","800,620",55.5,383,0
"Tourism development and
promotion",tourism infrastructure development,"248,326,925","42,920,400","205,406,525",17.3,383,0
"Irrigation and Drainage
infrastructure","promotion of irrigation and drainage
development and management","8,400,000","1,898,575","6,501,425",22.6,383,0
Sub Total,,"543,753,614","162,390,765","381,362,849",29.9,383,0
Road transport,"Transport (Including fuel level, Gener-
al Administration & Support Services)","669,696,261","543,346,146","126,350,115",81.1,383,0
,Public Works,"390,587,779","81,183,325","309,404,454",20.8,383,0
"Alternative energy tech-
nologies",alternative energy technologies,"68,997,260","36,390,000","32,607,260",52.7,383,0
"General administration,
planning and support ser-
vices",Emergency Response & Preparedness,"7,000,000","5,099,305","1,900,695",72.8,383,0
Sub Total,,"1,136,281,300","666,018,776","470,262,524",58.6,383,0
Land policy and planning,Physical Planning,"9,810,455","5,645,893","4,164,562",57.5,383,0
,Survey and Mapping,"9,488,000","5,460,915","4,027,085",57.6,383,0
,Land Administration and Management,"30,721,545","10,044,515","20,677,030",32.7,383,0
Housing,Housing,"28,711,080","5,983,275","22,727,805",20.8,383,0
Sub Total,,"78,731,080","27,134,598","51,596,482",34.5,383,0
"Crop development and
management",land and crop development,"537,190,485","198,978,344","338,212,141",37.0,383,0
,"Seed Potato Production Unit (SPPU
Lab)","10,695,804","6,281,240","4,414,564",58.7,383,0
"Livestock resources man-
agement and development",livestock production and management,"9,835,618","8,795,408","1,040,210",89.4,383,0
,Veterinary Services,"15,195,000","14,994,855","200,145",98.7,383,0
"Fisheries Development
and management","fisheries policy, strategy and capacity
building","5,400,000","4,005,977","1,394,023",74.2,383,0
"General administration,
planning and support ser-
vices",Institution Support (ATCs),"13,135,000","8,412,962","4,722,038",64.0,383,0
,Agriculture Mechanisation Services,"6,085,000","5,934,345","150,655",97.5,383,0
,"General administration and Extension
Services","12,550,324","12,247,172","303,152",97.6,383,0
,Subsidised Artificial Insemination,"10,230,000","9,223,901","1,006,099",90.2,383,0
