Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Budget utilisation
difference
(Kshs.)",Absorption (%),page_number,table_index
"Administration, Plan-
ning and Support Service",Administrative Service,"716,904,701","271,627,921","445,276,780",38,484,1
,,"716,904,701","271,627,921","445,276,780",38,484,1
"Livestock Development
and Management","Veterinary Services and
Extension","10,370,357","10,107,257","263,100",97,484,1
,,"10,370,357","10,107,257","263,100",97,484,1
"Fisheries Development
and Management","Promotion of Fish
Farming","9,200,000","7,347,793","1,852,207",80,484,1
,,"9,200,000","7,347,793","1,852,207",80,484,1
"Crop Development and
Management",Crop Extension,"14,700,000","12,622,465","2,077,535",86,484,1
,,"10,000,000","8,625,695","1,374,305",86,484,1
,"Cash Crop Production
and Development","4,700,000","3,996,770","703,230",85,484,1
"Cooperatives Develop-
ment","Cooperative Develop-
ment Services","14,250,000","9,962,074","4,287,926",70,484,1
,,"14,250,000","9,962,074","4,287,926",70,484,1
"Land Survey and Map-
ping Services","Land Survey and Map-
ping","3,000,000","2,186,730","813,270",73,484,1
,,"3,000,000","2,186,730","813,270",73,484,1
"1 Urban and Physical
Planning and Housing
Services","Urban and Physical
Planning","102,217,134","3,335,825","98,881,309",3,485,0
,,"4,000,000","485,200","3,514,800",12,485,0
,"Vihiga Municipality
{KUSP}","98,217,134","2,850,625","95,366,509",3,485,0
"Administration, Plan-
ning and Support Service",Administrative Service,"524,606,284","548,905,062","-24,298,778",105,485,0
,,"524,606,284","548,905,062","-24,298,778",105,485,0
Transport Management,"Transport System Man-
agement","12,666,962","6,253,129","6,413,833",49,485,0
,,"12,666,962","6,253,129","6,413,833",49,485,0
"Infrastructure Develop-
ment",Roads Maintenance,"800,000","34,500","765,500",4,485,0
,,"800,000","34,500","765,500",4,485,0
"Administration, Plan-
ning and Support Service",Administrative Service,"116,434,582","93,226,134","23,208,448",80,485,0
,,"116,434,582","93,226,134","23,208,448",80,485,0
"Trade Development and
Investment","Market Development
and Management","6,200,000","5,985,603","214,397",97,485,0
,,"6,200,000","5,985,603","214,397",97,485,0
,"Business Support and
Consumer Protection",0,0,0,0,485,0
Tourism Development,"Tourism Promotion and
Branding",0,0,0,0,485,0
,,0,0,0,0,485,0
"Administration, Plan-
ning and Support Service",Administrative Service,"1,640,198,559","1,406,797,594","233,400,965",86,485,0
,,"774,417,351","547,475,634","226,941,717",71,485,0
,"Human Resource Man-
agement and Develop-
ment","863,281,208","857,038,961","6,242,247",99,485,0
,Healthcare Financing,"2,500,000","2,283,000","217,000",91,485,0
"Promotive and Preven-
tive Healthcare Services",Public Health Services,"17,386,125","14,540,419","2,845,706",84,485,0
,,"3,500,000","2,886,899","613,101",82,485,0
,"Community Health
Strategy","9,086,125","8,495,320","590,805",93,485,0
,Health Promotion,"1,000,000","983,300","16,700",98,485,0
,Reproductive Healthcare,"3,000,000","1,999,900","1,000,100",67,485,0
,"Disease Surveillance and
Emergency","800,000","175,000","625,000",22,485,0
"Curative And Rehabilita-
tive Health Services",,"105,572,575","105,171,639","400,936",100,485,0
,Medical services,"105,372,575","105,171,639","200,936",100,485,0
,County referral services,"200,000",0,"200,000",0,485,0
"Child and Maternal
Health Care",,"47,362,113","21,262,205","26,099,908",45,485,0
,"Antenatal and Post Natal
healthcare","2,500,000","1,331,748","1,168,252",53,485,0
,"Antenatal and Post Natal
Healthcare","9,700,000","2,478,716","7,221,284",26,485,0
,"Newborn, Child and
Adolescent Health","800,000","74,750","725,250",9,485,0
,Nutrition Services,"34,362,113","17,376,991","16,985,122",51,485,0
"Administration, Plan-
ning and Support Service",Administrative Service,"321,275,197","305,783,829","15,491,369",95,485,0
,,"321,275,197","305,783,829","15,491,369",95,485,0
"Vocational Education
and Training","Youth Polytechnic Devel-
opment","54,208,358","49,788,122","4,420,236",92,485,0
,,"54,208,358","49,788,122","4,420,236",92,485,0
"Early Childhood Devel-
opment",ECD Development,"145,986,291","140,050,411","5,935,880",96,486,0
,,"145,986,291","140,050,411","5,935,880",96,486,0
"Administration, Plan-
ning and Support Service",Administrative Service,"1,409,301,077","1,038,840,012","370,461,065",74,486,0
,,"1,359,413,392","999,306,396","360,106,996",74,486,0
,County Administration,"10,570,000","7,673,681","2,896,319",73,486,0
,"County Radio Informa-
tion Services","39,317,685","31,859,935","7,457,751",81,486,0
"Public Finance Manage-
ment","Public Finance Manage-
ment","44,864,421","36,510,578","8,353,843",81,486,0
,,"6,937,340","6,447,685","489,655",93,486,0
,Accounting Services,"3,053,851","2,848,980","204,871",93,486,0
,Audit Services,"13,512,983","7,142,560","6,370,423",53,486,0
,"Budget Formulation
Coordination","7,544,400","7,118,300","426,100",94,486,0
,Resource Mobilisation,"7,478,312","6,840,590","637,722",91,486,0
,"Budget Expenditure
Management","6,337,535","6,112,463","225,072",96,486,0
"County Planning Ser-
vices","Monitoring and Evalu-
ation","5,142,017","4,729,917","412,100",92,486,0
,,"1,825,000","1,465,700","359,300",80,486,0
,"Coordination of Policy
Formulation and Plans","3,317,017","3,264,217","52,800",98,486,0
"Management and Ad-
ministration of County
Services",County Secretary,"38,617,579","27,938,397","10,679,182",72,486,0
,,0,0,0,0,486,0
,Legal Services,"38,617,579","27,938,397","10,679,182",72,486,0
"Administration, Plan-
ning and Support Service",Administrative Service,"57,171,504","39,061,232","18,110,272",68,486,0
,,"57,171,504","39,061,232","18,110,272",68,486,0
Promotion of Sports,Promotion of Sports,"36,619,329","19,458,627","17,160,702",53,486,0
,,"21,541,200","6,514,250","15,026,950",30,486,0
,"Promotion of Culture
and Heritage","15,078,129","12,944,377","2,133,752",86,486,0
,,"3,484,000","391,940","3,092,060",11,486,0
Social Protection,Social Protection,"150,000",0,"150,000",0,486,0
,"Gender, Children,
Youth and People with
Disability","3,334,000","391,940","2,942,060",12,486,0
"Administration, Plan-
ning and Support Service",Administrative Service,"241,982,456","212,008,956","29,973,500",88,486,0
,,"241,982,456","212,008,956","29,973,500",88,486,0
"Water Supply Manage-
ment","Water Supply Manage-
ment","12,697,054","11,889,710","807,344",94,486,0
,,"6,394,300","6,180,000","214,300",97,486,0
,"Waste Water Manage-
ment","6,302,754","5,709,710","593,044",91,486,0
,,"1,500,000","1,500,000",0,100,486,0
"Environmental Protection
and Conservation","Environmental Protec-
tion and Conservation","1,500,000","1,500,000",0,100,486,0
,,"4,550,000","2,526,300","2,023,700",56,486,0
"Natural Resources man-
agement","Natural Resources Man-
agement","4,550,000","2,526,300","2,023,700",56,486,0
Grand Total,,"5,719,268,675","4,409,844,379","1,309,424,296",77,486,0
