Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
County Executive,,,,,,355,1
"General Administration
and Planning","General Administration
and Support services","638,347,158","613,107,223","25,239,935",96.0,355,1
,Sub total,"638,347,158","613,107,223","25,239,935",96.0,355,1
Physical Infrastructure,Physical Infrastructure,"58,300,000","1,485,178","56,814,822",2.5,355,1
,Sub total,"58,300,000","1,485,178","56,814,822",2.5,355,1
"Finance and Economic Plan-
ning",,,,,,355,1
Finance and Accounting,"General Administration
and Support services","604,888,378","593,248,751","11,639",98.1,355,1
,Sub total,"604,888,378","593,248,751","11,639",98.1,355,1
Revenue,"Revenue Collection and
Management",-,"1,833,493","(1,833,493)",-,355,1
,Sub total,-,"1,833,493","(1,833,493)",-,355,1
"Devolved Units and Special
Programmes",,,,,,355,1
Sub-County Administration,"Administrative & Support
of Human Resources","80,165,685","64,146,540","16,019,145",80.0,355,1
,Sub total,"80,165,685","64,146,540","16,019,145",80.0,355,1
Town Administration Section,"Administration and Sup-
port of Human Services","196,821,516","116,872,449","79,949,067",59.4,355,1
,Sub total,"196,821,516","116,872,449","79,949,067",59.4,355,1
Health and Sanitation,,,,,,355,1
Public Health and Sanitation,"Health Service Delivery
Administration Services","2,863,677,844","2,814,543,357","49,134,517",98.3,355,1
,Sub total,"2,863,677,844","2,814,543,357","49,134,517",98.3,355,1
Curative Health Services,Physical Planning,"539,446,273","344,328,695","195,117,578",63.8,355,1
,Sub total,"539,446,273","344,328,695","195,117,578",63.8,355,1
"Agriculture, Livestock
and Fisheries",,,,,,355,1
"Agriculture and Crop
Production","Administration and Gen-
eral Support services","272,298,844","257,064,395","15,234,449",94.4,356,0
,Sub total,"272,298,844","257,064,395","15,234,449",94.4,356,0
Livestock and Veterinary,"Livestock Resources Man-
agement","720,645,039","327,716,864","392,928,175",45.5,356,0
,Sub total,"720,645,039","327,716,864","392,928,175",45.5,356,0
"Tourism, Culture and Coopera-
tive Development",,,,,,356,0
Tourism,"General Administration
and Support Services","50,844,650","41,977,827","8,266,823",83.5,356,0
,Sub total,"50,844,650","41,977,827","8,266,823",83.5,356,0
Culture,"Development and Promo-
tion of Culture","37,299,290","5,202,196","32,097,094",123.9,356,0
,Sub total,"37,299,290","5,202,196","32,097,094",123.9,356,0
"Youth, Gender and
Social Services",,,,,,356,0
Youth Affairs,"General Administration
and Support Services","115,279,747","116,095,461","(815,714)",100.7,356,0
,Sub total,"115,279,747","116,095,461","(815,714)",100.7,356,0
Sports,Sports Development,"117,897,558","68,429,888","49,467,670",58.0,356,0
,Sub total,"117,897,558","68,429,888","49,467,670",58.0,356,0
"Education, Research and
Vocational Training",,,,,,356,0
"Pre-education and
Care Services","General Administration
and Support Services","376,032,223","349,869,941","26,162,282",93.0,356,0
,Education,"216,878,974","156,504,115","60,374,859",72.2,356,0
,Sub total,"592,911,197","506,374,056","86,537,141",85.4,356,0
"Lands, Environment and Natu-
ral Resources",,,,,,356,0
Natural Resources and Mining,"General Administration
and Support Services","99,469,652","92,516,313","6,953,339",93.0,356,0
,Sub total,"99,469,652","92,516,313","6,953,339",93.0,356,0
Lands,Lands Adjudication,"2,600,000",-,"2,600,000",0.0,356,0
,Sub total,"2,600,000",-,"2,600,000",0.0,356,0
Water,Water Supply,"364,447,634","213,899,234","150,548,400",58.7,356,0
,Sub total,"364,447,634","213,899,234","150,548,400",58.7,356,0
"Roads, Transport and Public
Works",,,,,,356,0
Public Works,"General Administration
and Support Services","154,379,793","121,989,885","32,389,908",79.0,356,0
,Sub total,"154,379,793","121,989,885","32,389,908",79.0,356,0
Roads and Infrastructure,Roads Transport,"574,045,041","511,855,338","62,189,703",89.2,356,0
,Sub total,"574,045,041","511,855,338","62,189,703",89.2,356,0
"Trade and Industrial Develop-
ment",,,,,,356,0
Markets,"General Administration
and Support Services","52,941,161","44,142,668","8,798,493",83.4,356,0
,Sub total,"52,941,161","44,142,668","8,798,493",83.4,356,0
"Industrial, SME Development",Trade Development,"54,968,853","6,001,752","48,967,101",10.9,356,0
,Sub total,"54,968,853","6,001,752","48,967,101",10.9,356,0
Public Service and Labour,,,,,,356,0
,"Administration and Sup-
port of Human Resources","42,421,494","37,392,500","5,228,994",87.7,356,0
