Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"COUNTY EX-
ECUTIVE",,,,,,505,0
,"SP 1 - (General Administra-
tion, planning and Support
Services)","453,940,963.00","362,762,726.95","91,178,236.05",79.91,505,0
,"SP 2 -(County Public service
Board","20,497,120.00","19,086,774.55","1,410,345.45",93.12,505,0
,"SP 3 -(County Executive
Affairs)","34,037,415.00","27,036,818.40","7,000,596.60",79.43,505,0
,"SP 4-(Liasion and Intergov-
ernmental service)","14,473,815.00","14,266,425.00","207,390.00",98.57,505,0
,TOTAL,"522,949,313.00","423,152,744.90","99,796,568.10",80.92,505,0
"FINANCE
&ECONOMIC
PLANNING",,,,,,505,0
,"SP 1(General Administra-
tion, Planning and Support
Services","356,496,444.00","223,793,800.35","132,702,643.65",62.78,505,0
,"SP 2-(Treasury Accounting
Services)","7,659,823.00","7,072,600.00","587,223.00",92.33,505,0
,"SP 3-(Supply Chain Man-
agement Services)","7,938,000.00","6,082,899.65","1,855,100.35",76.63,505,0
,"SP 4-(Resource Mobiliza-
tion)","10,910,000.00","8,916,400.75","1,993,599.25",81.73,505,0
,"SP 5-(Internal Audit Ser-
vices)","6,243,600.00","6,208,239.90","35,360.10",99.43,505,0
,"SP 6-(Budget Formulation
Services)","16,821,282.00","15,474,080.00","1,347,202.00",91.99,505,0
,SP 7-(Economic Planning),"51,718,485.00","40,146,916.60","11,571,568.40",77.63,505,0
,"SP 8-(Monitoring and Eval-
uation )","2,900,000.00","2,899,638.65",361.35,99.99,505,0
,TOTAL,"460,687,634.00","310,594,575.90","150,093,058.10",67.42,505,0
"ROADS, PUB-
LIC WORKS,
TRANSPORT
AND INFRA-
STRUCTURE",,,,,,505,0
,"SP 1(General Administra-
tion, Planning and Support
Services","63,685,590.00","61,886,183.95","1,799,406.05",97.17,505,0
,SP 2(Road Transport),"267,189,628.00","230,179,337.30","37,010,290.70",86.15,505,0
,"SP 3(CONSTRUCTION OF
BRIDGES)","22,080,000.00","12,714,563.90","9,365,436.10",57.58,505,0
,SP 4(Public works),"2,080,000.00","778,600.00","1,301,400.00",37.43,505,0
,"SP 5-(Ward Specific Proj-
ects)","126,564,819.00","96,251,075.70","30,313,743.30",76.05,505,0
,TOTAL,"481,600,037.00","401,809,760.85","79,790,276.15",83.43,505,0
"HEALTH AND
SANITATION",,,,,,505,0
,"SP 1(General Administra-
tion, Planning and Support
Services","1,742,642,577.00","1,728,360,502.70","14,282,074.30",99.18,505,0
,"SP 2-(Preventive Health
Services)","96,166,000.00","95,320,945.15","845,054.85",99.12,505,0
,"SP 3-(Curative Health
Services)","302,815,840.00","203,326,991.00","99,488,849.00",67.15,505,0
,"SP 4-(Kacheliba Sub-county
hospital)","19,980,000.00","18,430,978.20","1,549,021.80",92.25,505,0
,"SP 5-(Sigor Sub-county
hospital)","15,430,000.00","14,462,245.35","967,754.65",93.73,505,0
,"SP 6-(Chepareria Sub-coun-
ty hospital)","16,330,000.00","12,600,984.90","3,729,015.10",77.16,506,0
,"SP 7(Facility Improvement
Fund)","76,800,000.00","72,345,485.10","4,454,514.90",94.20,506,0
,SP 8(Ward Specific),"121,463,042.00","87,164,152.30","34,298,889.70",71.76,506,0
