Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
County Assembly,,,,,,166,1
"Legislation and Oversight
services",,"785,986,944","752,592,130","33,394,814",95.75,166,1
,"Legislation and Oversight
services","785,986,944","752,592,130","33,394,814",95.75,166,1
Representation services,,"153,630,023","142,586,872","11,043,151",92.81,166,1
,Representation services,"153,630,023","142,586,872","11,043,151",92.81,166,1
"General Administration
and support services",,"558,405,027","352,205,422","206,199,605",63.07,166,1
,"General Administration
and support services","558,405,027","352,205,422","206,199,605",63.07,166,1
,Sub-Total,"1,498,021,994","1,247,384,424","250,637,570",83.27,166,1
County Executive,,,,,,166,1
"General Administration
and Support Services",,"326,967,488","241,167,338","85,800,150",73.76,166,1
,"General Administration
Planning and Support Ser-
vices","326,967,488","241,167,338","85,800,150",73.76,166,1
,Representation services,"58,613,503","16,967,708","41,645,795",28.95,167,0
,Sub-Total,"385,580,991","258,135,046","127,445,945",66.95,167,0
County Public Service Board,,,,,,167,0
"Leadership and Admin of HR Management and Devel-
opment in County Public Service",,"62,096,211","34,406,511","27,689,700",55.41,167,0
,"Human Resource devel-
opment and management
services","62,096,211","34,406,511","27,689,700",55.41,167,0
,Sub-Total,"62,096,211","34,406,511","27,689,700",55.41,167,0
Finance & Economic Planning & ICT,,,,,,167,0
"Public Finance Management and Economic Policy and
Strategy",,"2,164,003,233","1,387,163,813","776,839,420",64.10,167,0
,"General Administration
and support services","1,435,721,545","877,844,555","557,876,990",61.14,167,0
,"financial management ser-
vices","720,281,688","504,737,317","215,544,371",70.07,167,0
,"Economic planning ser-
vices","8,000,000","4,581,941","3,418,059",57.27,167,0
,Sub-Total,"2,164,003,233","1,387,163,813","776,839,420",64.10,167,0
Administration & Public Service,,,,,,167,0
"Admin & Co-ord of coun-
ty affairs, HR Dev, Mngt,
Capacity Building",,"19,121,529","7,738,667","11,382,862",40.47,167,0
,"Human resource develop-
ment and management","19,121,529","7,738,667","11,382,862",40.47,167,0
"General Administration
Planning and Support Ser-
vices",,"872,866,812","748,462,177","124,404,635",85.75,167,0
,"Economic Planning Coor-
dination services","872,866,812","748,462,177","124,404,635",85.75,167,0
,Sub-Total,"891,988,341","756,200,844","135,787,497",84.78,167,0
"Agriculture, Livestock and Fisheries",,,,,,167,0
"Crop, Livestock and Fish-
eries Development and
Management",,"1,279,189,749","653,702,722","625,487,027",51.10,167,0
,"General administration and
support services","453,162,497","338,954,054","114,208,443",74.80,167,0
,"Livestock resource manage-
ment and development","74,000,000","49,959,638","24,040,362",67.51,167,0
,Fisheries Development,"9,000,000",-,"9,000,000",-,167,0
,"Crop production and man-
agement","743,027,252","264,789,030","478,238,222",35.64,167,0
,Sub-Total,"1,279,189,749","653,702,722","625,487,027",51.10,167,0
"Water, Environment & Natural Resources",,,,,,167,0
"Water Resources Mngt,
Environment Protection
and Conservation",,"293,000,000","177,761,094","115,238,906",60.67,167,0
,"Environmental & Solid
Waste management","59,000,000","55,504,400","3,495,600",94.08,167,0
,"Water Resource Manage-
ment and Sanitation","224,000,000","120,536,694","103,463,306",53.81,167,0
,"Natural Resources Conser-
vation and Management","5,000,000","1,720,000","3,280,000",34.40,168,0
,"Renewable Energy and Cli-
mate Change","5,000,000",-,"5,000,000",-,168,0
"General Administration
and Support Services",,"371,523,466","254,465,347","117,058,119",68.49,168,0
,"General Administration &
Support Services","371,523,466","254,465,347","117,058,119",68.49,168,0
,Sub-Total,"664,523,466","432,226,441","232,297,025",65.04,168,0
Health Services,,,,,,168,0
Health curative services,,"606,824,220","209,718,718","397,105,502",34.56,168,0
,Health Curative Services,"606,824,220","209,718,718","397,105,502",34.56,168,0
"General Administration
and Support Services",,"4,240,282,316","4,081,494,553","158,787,763",96.26,168,0
,"General Administration
and Support Services","4,240,282,316","4,081,494,553","158,787,763",96.26,168,0
"Community Health Ser-
vices",,"453,407,612","165,728,654","287,678,958",36.55,168,0
,"Community Health Ser-
vices","453,407,612","165,728,654","287,678,958",36.55,168,0
"County Hospital Infra-
structure",,"449,142,334","187,469,603","261,672,731",41.74,168,0
,"County Hospital Infra-
structure","449,142,334","187,469,603","261,672,731",41.74,168,0
"County Pharmaceutical
Services",,"152,000,000","51,168,472","100,831,528",33.66,168,0
,"Pharmaceutical and
Non-Pharmaceutical sup-
plies","152,000,000","51,168,472","100,831,528",33.66,168,0
,Sub-Total,"5,901,656,482","4,695,580,000","1,206,076,482",79.56,168,0
"Education, Culture & Social Services",,,,,,168,0
"Pre-primary education
Promotion of Culture; ICT
and Social Services",,"436,187,527","219,138,528","217,048,999",50.24,168,0
,"Pre-primary education and
youth polytechnics services","436,187,527","219,138,528","217,048,999",50.24,168,0
"General Administration
and Support Services",,"822,681,747","671,361,825","151,319,922",81.61,168,0
,"General Administration
and Support Services","822,681,747","671,361,825","151,319,922",81.61,168,0
"Culture, Gender and So-
cial services",,"6,000,000","2,219,500","3,780,500",36.99,168,0
,"Culture, Gender and Social
services","6,000,000","2,219,500","3,780,500",36.99,168,0
,Sub-Total,"1,264,869,274","892,719,853","372,149,421",70.58,168,0
Youth & Sports,,,,,,168,0
"Development and Man-
agement of Sports Facili-
ties",,"185,538,853","184,806,297","732,556",99.61,168,0
,"Development and Manage-
ment of Sports Facilities","185,538,853","184,806,297","732,556",99.61,168,0
Youth Empowerment,,"142,000,000","50,000,000","92,000,000",35.21,168,0
,Youth Empowerment,"142,000,000","50,000,000","92,000,000",35.21,168,0
