Program,Sub Program,Description,"Approved Bud-
get(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
,704024610,"County Co-ordination Ser-
vices","307,540,000","307,540,000",-,100,366,0
,704034610,Research and Policy,"40,141,288","40,141,288",-,100,366,0
706000000,,"Economic Policy and Nation-
al Planning",-,-,-,0,366,0
,706019999,"Economic Planning Coordina-
tion services",-,-,-,0,366,0
722000000,,Legislative Oversight,-,-,-,0,366,0
,722019999,"Legislation and Representa-
tion",-,-,-,0,366,0
724000000,,"Inter-Governmental Revenue
and Financial Matters",-,-,-,0,366,0
,724029999,Research and Policy,-,-,-,0,366,0
725000000,,"General Administration,
Planning and Support Ser-
vices",-,-,-,0,366,0
,725019999,Administration,-,-,-,0,366,0
,725029999,Board Management Service,-,-,-,0,366,0
729000000,,Audit Services,-,-,-,0,366,0
,729029999,County Governments Audit,-,-,-,0,366,0
901000000,,Sports,-,-,-,0,366,0
,901019999,"Sports Training and competi-
tions",-,-,-,0,366,0
901004610,,"Social Development and
Children Services","445,789,292","430,789,292","15,000,000",97,366,0
,901014610,"Gender and Youth Develop-
ment","129,739,090","119,739,090","10,000,000",92,366,0
,901024610,"Social Assistance to Vulnera-
ble Groups","21,646,436","21,646,436",-,100,366,0
,901034610,"Development and Promotion
of culture","19,710,027","19,710,027",-,100,366,0
,901044610,"Development and Manage-
ment of sports facilities","148,900,562","143,900,562","5,000,000",97,366,0
,901054610,Sports Services,-,-,-,0,366,0
,901064610,Voluntary Training Services,"125,793,177","125,793,177",-,100,366,0
907000000,,"Manpower Development,
Employment and Productiv-
ity Management",-,-,-,0,366,0
,907019999,"Human Resource Planning &
Development",-,-,-,0,366,0
1001000000,,"General Administration,
Planning and Support Ser-
vices",-,-,-,0,366,0
,1001019999,"Environmental Policy Man-
agement",-,-,-,0,366,0
1002004610,,"Environment Management
and Protection","400,226,420","390,226,420","10,000,000",98,366,0
,1002014610,"Forests Conservation and
Management","400,226,420","390,226,420","10,000,000",98,366,0
