Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture, Livestock Development and Fisheries Development",,,,,,301,1
"Agriculture Mechaniza-
tion Services","Agriculture Mechanization Ser-
vices","1,700,000","1,700,000",0,100,301,1
Crop Development,Crop Development,"3,820,400","3,820,000",400,100,301,1
,Crop Development,"49,420,000","49,420,000",0,100,301,1
Fisheries Development,Fisheries Development,"1,860,000","1,860,000",0,100,301,1
,"Fisheries Development and Man-
agement","6,212,000","6,100,000","112,000",98,301,1
,"Aquaculture Development and Ex-
tension Services","22,714,000","3,628,080","19,085,920",16,301,1
"General administration,
planning & support ser-
vice",General administration,"151,011,774","106,862,774","44,149,000",71,301,1
,capacity building and training,"2,419,790","2,400,000","19,790",99,301,1
,"Field Extension Services and Sup-
port Programme","9,947,800","8,826,084","1,121,716",89,301,1
,"Field Extension Services and Sup-
port Programme","9,691,300","1,196,840","8,494,460",12,301,1
,"Field Extension Services and Sup-
port Programme","9,243,150","1,366,000","7,877,150",15,301,1
,"Field Extension Services and Sup-
port Programme","9,296,044","424,491","8,871,553",5,301,1
,"Field Extension Services and Sup-
port Programme","320,000",0,"320,000",0,301,1
,"Field Extension Services and Sup-
port Programme","500,000",0,"500,000",0,301,1
,Donor Fund,"342,397,464","225,846,073","116,551,391",66,301,1
,Donor Fund,"2,596,660","2,590,000","6,660",100,301,1
"Livestock Resources
Management and De-
velopment",Disease control,"1,750,000",0,"1,750,000",0,302,0
,"Feed & livestock products safety,
equipment and laboratory services","4,390,000","4,390,000",0,100,302,0
,"Livestock Breeds Improvement &
Upgrading","50,747,989","50,147,000","600,989",99,302,0
Veterinary services,"Veterinary Public Health Manage-
ment","1,186,000","631,551","554,449",53,302,0
,"Livestock Breeding and Livestock
Products","5,378,500","5,300,000","78,500",99,302,0
,"Livestock Disease Control and
Management","8,600,000","8,600,000",0,100,302,0
,"Veterinary Public Health Manage-
ment","4,000,000","4,000,000",0,100,302,0
,Subtotal,"699,202,871","489,108,893","210,093,978",70,302,0
County Assembly,,,,,,302,0
"General administration
and support services","General Administration & sup-
portive services","701,155,331","619,493,599","81,661,732",88,302,0
"Oversight management
services",Committee management services,"50,738,280","50,738,280",0,100,302,0
Legislative services,"legislation development & approv-
al services","193,254,219","193,254,219",0,100,302,0
,Sub Total,"945,147,830","863,486,098","81,661,732",91,302,0
County Attorney,,,,,,302,0
"Management and ad-
ministration",General administration,"217,151,962","212,945,893","4,206,069",98,302,0
,Total,"217,151,962","212,945,893","4,206,069",98,302,0
County Executive,,,,,,302,0
"Governance and Execu-
tive Management",Citizen Delivery Services,"137,400,000","97,852,978","39,547,022",71,302,0
,Peace Building Initiatives,"3,216,000",0,"3,216,000",0,302,0
,"Governance and Executive man-
agement","97,999,345","68,260,079","29,739,266",70,302,0
,Strategy and advisory,"58,826,999","14,718,495","44,108,504",25,302,0
"General Administration
(Deputy Governors)","General Administration (Deputy
Governors)","20,984,000","20,924,680","59,320",100,302,0
,Subtotal,"318,426,344","201,756,232","116,670,112",63,302,0
"Education, Gender, Sports, Youth Development and Culture",,,,,,302,0
General administration,Donor Fund,"34,727,623","34,298,723","428,900",99,302,0
,General administration,"364,569,462","274,697,701","89,871,761",75,302,0
,Vocational Training Services,"21,000,000","5,999,600","15,000,400",29,302,0
,Child Care Services,"97,079,239","75,061,342","22,017,897",77,302,0
"Sports and Talent De-
velopment",Sports Development,"132,661,725","68,024,960","64,636,765",51,303,0
,"Construction of Cultural Central
and Cultural Activities","2,500,000","2,500,000",0,100,303,0
,Child Care Services,0,0,0,0,303,0
,Culture and Heritage Conservation,"400,000","397,400","2,600",99,303,0
"Education Support Ser-
vices",Bursaries,"57,000,000","21,212,498","35,787,502",37,303,0
"Gender and Equality
Services",Women Empowerment,"1,320,000",0,"1,320,000",0,303,0
"Sports and Talent De-
velopment",Vocational Training Services,"5,000,000","4,971,947","28,053",99,303,0
,Enterprise Development Services,"1,500,000","997,000","503,000",66,303,0
,sub Total,"717,758,049","488,161,171","229,596,878",68,303,0
