Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"County Assem-
bly",Legislation,"482,874,928","482,874,928",-,100.0,176,1
,Oversight,"29,050,000","29,050,000",-,100.0,176,1
,Administration,"389,575,072","353,927,921","35,647,151",90.8,176,1
,Development,"63,500,000","4,855,728","58,644,272",7.6,176,1
,Sub Totals,"965,000,000","870,708,577","94,291,423",90.2,176,1
"Office of the
Governor",Intergovernmental relations,"75,469,651","51,740,049","23,729,602",68.6,176,1
,"Administration, planning and
support services","330,344,731","282,831,504","47,513,227",85.6,176,1
,Sub Totals,"405,814,382","334,571,553","71,242,829",82.4,176,1
County Attorney,"Administration Planning and
Support Services","111,880,767","105,434,164","6,446,603",94.2,176,1
,Sub Totals,"111,880,767","105,434,164","6,446,603",94.2,176,1
Finance,"Administration, Planning and
Support Services","223,000,013","223,000,012",1,100.0,176,1
,"Budget Formulation, Coordina-
tion and Management","74,039,329","38,011,230","36,028,099",51.3,176,1
,Audit Services,"16,366,085","4,986,652","11,379,433",30.5,176,1
,Accounting Services,"9,300,000","5,239,566","4,060,434",56.3,176,1
,"Supply Chain Management
Services","9,852,000","1,820,547","8,031,453",18.5,176,1
,"Resource Mobilisation/Debt
Management","59,608,644","17,716,712","41,891,932",29.7,176,1
,Development,"497,590,267","457,117,822","40,472,445",91.9,176,1
,Sub Totals,"889,756,338","747,892,541","141,863,797",84.1,176,1
"Economic Plan-
ning",County Fiscal Planning,"27,250,000","39,859,732","(12,609,732)",146.3,176,1
,"Statistical Information Services/
Monitoring","33,949,386","23,040,294","10,909,092",67.9,176,1
,Sub Totals,"61,199,386","62,900,026","(1,700,640)",102.8,176,1
Agriculture,"General Administration, Plan-
ning and Support Services","53,507,810","38,192,980","15,314,830",71.4,177,0
,"Crop Production and Manage-
ment","76,119,732","71,922,408","4,197,324",94.5,177,0
,"Agribusiness and Information
Management","288,142,486","82,748,269","205,394,217",28.7,177,0
,"Irrigation and Drainage Infra-
structure","22,865,612","19,294,215","3,571,397",84.4,177,0
,"Sustainable soil and Water
management","317,520",-,,0.0,177,0
,Sub Totals,"440,953,160","212,157,871","228,795,289",48.1,177,0
Livestock,"Administration, Planning and
Support services","20,185,478","11,673,193","8,512,285",57.8,177,0
,"Livestock Policy and Capacity
Development","1,902,465","1,387,352","515,113",72.9,177,0
,"Livestock Production and
Management","8,289,718","6,151,045","2,138,673",74.2,177,0
,"Livestock Value Addition and
Marketing","16,888,039","9,290,509","7,597,530",55.0,177,0
,"Food Safety and Animal Prod-
ucts Development","6,772,179","6,082,685","689,494",89.8,177,0
,"Livestock Disease Management
and Control","3,508,500","3,198,140","310,360",91.2,177,0
,Sub Totals,"57,546,378","37,782,923","19,763,455",65.7,177,0
Fisheries,"Fisheries Policy and Capacity
Development","10,187,656","9,031,313","1,156,343",88.6,177,0
,"Sustainable Fisheries Production
and Management","5,220,410","5,757,469","(537,059)",110.3,177,0
,"Assurance of Fish Safety, Value
Addition and Marketing","61,369,917","17,147,445","44,222,472",27.9,177,0
,"Marine Fisheries Production &
blue economy","2,000,000",-,-,-,177,0
,Sub Totals,"78,777,982","31,936,226","46,841,756",40.5,177,0
"Water & Sanita-
tion","General Administration, Plan-
ning and Support Services","22,395,329","17,296,076","5,099,253",77.2,177,0
,Water Supply Infrastructure,"1,856,173,743","863,168,924","993,004,819",46.5,177,0
,Sub Totals,"1,878,569,072","880,465,000","998,104,072",46.9,177,0
Environment,"County Environment Manage-
ment","234,361,241","206,621,111","27,740,130",88.2,177,0
,Development,"4,250,000",,"4,250,000",-,177,0
,Sub Totals,"238,611,241","206,621,111","31,990,130",86.6,177,0
Education,"General administration, plan-
ning and support services","82,066,496","63,260,999","18,805,497",77.1,177,0
,"Early Childhood development
education","127,196,990","89,328,201","37,868,789",70.2,177,0
,Education support services,"350,000,000","350,000,000",-,100.0,177,0
,Education and training,"37,989,654","6,036,083","31,953,571",15.9,177,0
,Sub Totals,"597,253,140","508,625,284","88,627,856",85.2,177,0
ICT,"Information Communication
Technology","23,962,166","17,655,670","6,306,496",73.7,177,0
,Sub Totals,"23,962,166","17,655,670","6,306,496",73.7,177,0
