Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,Sub total,"90,353,220","44,695,957","45,657,263",49.5,117,0
"Department of Water, Environment and Natural Resources",,,,,,117,0
"General Administrative
services","Administrative
Support Services","71,389,364","69,158,871","2,230,493",96.9,117,0
,"Policy and Planning
Services","43,976,281","34,000,001","9,976,280",77.3,117,0
,Sub total,"115,365,645","103,158,872","12,206,773",89.4,117,0
"Water Supply and Manage-
ment Services","Urban Water Sup-
ply Services","37,297,000","38,200,000","(903,000)",102.4,117,0
,"Rural Water Supply
Services","125,742,776","182,581,162","(56,838,386)",145.2,117,0
,Sub total,"163,039,776","220,781,162","(57,741,386)",135.4,117,0
"Environmental Protection
and Management Services","Pollution and
Waste Management
services","14,703,000","14,703,000",-,100.0,117,0
,"Climate Change
Services","5,000,000","5,000,000",-,100.0,117,0
,Sub total,"19,703,000","19,703,000",-,100.0,117,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,117,0
"General administration and
support services","Staff Remuneration
and Welfare Sup-
port Services","429,763,622","414,232,320","15,531,302",96.4,118,0
,"General Logistics,
Coordination and
Asset Management
Services","23,719,886","20,574,319","3,145,567",86.7,118,0
,"Devolution and
Service Delivery
Support Services","5,533,056","5,533,056",-,100.0,118,0
,Sub total,"459,016,564","440,339,695","18,676,869",95.9,118,0
"Planning, budgeting and
development coordination
services","Economic plan-
ning and develop-
ment services","14,101,158","12,700,000","1,401,158",90.1,118,0
,"Resource Alloca-
tion Services","17,007,346","16,507,812","499,534",97.1,118,0
,"Public Participation
Facilitation Services","39,336,548","28,392,625","10,943,923",72.2,118,0
,Sub total,"70,445,052","57,600,437","12,844,615",81.8,118,0
"Strategy and service delivery
management services","Monitoring and
evaluation services","4,067,225",-,"4,067,225",-,118,0
,"Strategy and service
delivery improve-
ment services","7,331,886",-,"7,331,886",-,118,0
,Sub total,"11,399,111",-,"11,399,111",-,118,0
"Resource mobilisation
services","External Resourc-
es Mobilisation
Services","19,165,878",-,"19,165,878",-,118,0
,"Internal Revenue
Generation Services","56,406,228","10,000,000","46,406,228",17.7,118,0
,Sub total,"75,572,106","10,000,000","65,572,106",13.2,118,0
"Financial management
services","Accounting and
Financial Reporting
Services","28,839,308","24,311,789","4,527,519",84.3,118,0
,"Audit and Adviso-
ry Services","10,034,865",-,"10,034,865",-,118,0
,"Emergency Man-
agement Services","78,765,091",-,"78,765,091",-,118,0
,Sub total,"117,639,264","24,311,789","93,327,475",20.7,118,0
Executive Services (Office of the Governor),,,,,,118,0
"Public service administra-
tion support services","Human resource
management
and development
services","449,020,422","427,781,947","21,238,475",95.3,118,0
,Sub total,"449,020,422","427,781,947","21,238,475",95.3,118,0
"Governance and coordina-
tion services","Executive manage-
ment and liaison
services","115,963,966","109,400,865","6,563,101",94.3,118,0
,"Field coordination
and administration
services","77,285,900","76,312,000","973,900",98.7,118,0
,Sub total,"193,249,866","185,712,865","7,537,001",96.1,118,0
"Strategy and service delivery
improvement services","Strategy and advi-
sory services","1,283,730","1,000,000","283,730",77.9,119,0
,"Efficiency monitor-
ing services","15,600,550","15,000,000","600,550",96.2,119,0
,"Information and
communication
services","9,185,000","9,000,000","185,000",98.0,119,0
,"Disaster manage-
ment services","10,090,100","6,780,138","3,309,962",67.2,119,0
,Sub total,"36,159,380","31,780,138","4,379,242",87.9,119,0
County Public Service Board,,,,,,119,0
"Policy, Planning and Admin-
istration Services","Policy and Planning
Services","2,533,400","2,533,400",-,100.0,119,0
,"Administrative
Support Services","36,502,286","35,221,885","1,280,401",96.5,119,0
,"Facility Improve-
ment & Capacity
Strengthening
Services","1,250,000",-,"1,250,000",-,119,0
,Sub total,"40,285,686","37,755,285","2,530,401",93.7,119,0
"Personnel Sourcing and
Management Services","Recruitment, Selec-
tion and Deploy-
ment Services","9,565,000",-,"9,565,000",-,119,0
,"Human Resource
Advisory Services","1,000,000",-,"1,000,000",-,119,0
,"Capacity Develop-
ment Services","2,000,000","250,000","1,750,000",12.5,119,0
,Sub total,"12,565,000","250,000","12,315,000",2.0,119,0
"Performance Management
Services","Performance
Contracting and
Appraisal Services","785,000",-,"785,000",-,119,0
,Sub total,"785,000",-,"785,000",-,119,0
County Assembly Service Board,,,,,,119,0
Legislative Services,"Members’ welfare
Support services","300,212,940","290,212,920","300,212,940",96.7,119,0
,"Legislative
development and
approval services","105,545,286","103,542,786","105,545,286",98.1,119,0
,Sub total,"405,758,226","393,755,706","405,758,226",97.0,119,0
"Oversight and Control
Services","Capacity building
services","8,000,000","8,000,000","8,000,000",100.0,119,0
,"Report writing
services","25,000,000","25,000,000","25,000,000",100.0,119,0
,"Public participa-
tion and education
services","14,000,000","13,800,000","14,000,000",98.6,119,0
,Sub total,"47,000,000","46,800,000","47,000,000",99.6,119,0
"Ward Representation Ser-
vices","Staff welfare sup-
port services","66,628,836","66,228,800","400,036",99.4,119,0
,"Ward operations
and maintenance","19,661,760","19,661,760",-,100.0,119,0
,Sub total,"86,290,596","85,890,560","400,036",99.5,119,0
