Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
COUNTY ASSEMBLY,,,,,,291,1
"Legislation and Repre-
sentation","Legislation and Rep-
resentation","501,410,701.06","491,482,940.27","9,927,760.79",98.02,291,1
Legislative Oversight,Legislative Oversight,"225,571,489.34","218,852,839.04","6,718,650.30",97.02,291,1
"General Admin, Plan-
ning & Support","General Admin, Plan-
ning & Support","349,678,178.60","250,738,503.69","98,939,674.91",71.71,291,1
,,"1,076,660,369.00","961,074,283.00","115,586,086",89.26,291,1
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,291,1
General Administration,"General Administra-
tion","260,520,561.00","224,865,341.10","35,655,219.90",86.31,291,1
"Governor Press/Com-
munication and Events","Governor Press/
Communication and
Events","29,620,000.00","25,843,910.00","3,776,090.00",87.25,292,0
Efficiency Monitoring,Efficiency Monitoring,"13,376,180.00","11,113,588.00","2,262,592.00",83.08,292,0
Research and Strategy,Research and Strategy,"13,850,000.00","7,569,150.00","6,280,850.00",54.65,292,0
"Disaster Management,
Rescue & Emergency
Services","Disaster Manage-
ment, Rescue & Emer-
gency Services","13,118,766.00","5,779,200.00","7,339,566.00",44.05,292,0
"External Linkages &
Partnership","External Linkages &
Partnership","18,700,000.00","14,956,004.00","3,743,996.00",79.98,292,0
'County Secretary,County Secretary,"18,866,780.00","8,755,590.00","10,111,190.00",46.41,292,0
Total,,"368,052,287.00","298,882,783.10","69,169,503.90",81.21,292,0
General Administration,Administration,"169,703,336.00","160,589,522.72","9,113,813.28",94.63,292,0
"Deputy Governor’s Of-
fice",Office Affairs,"28,290,200.00","25,803,955.00","2,486,245.00",91.21,292,0
Procurement,Procurement,"11,651,412.00","11,254,373.00","397,039.00",96.59,292,0
Internal Audit,Internal Audit,"9,656,600.00","8,372,845.00","1,283,755.00",86.71,292,0
Budget and Policy,Budget and Policy,"31,052,108.00","28,645,297.00","2,406,811.00",92.25,292,0
Accounts,Accounts,"86,908,681.00","71,879,016.20","15,029,664.80",82.71,292,0
"Semi-Autonomous
Agencies: Investment
Corporation","Meru Investment
Corporation","54,803,972.00","52,101,239.25","2,702,732.75",95.07,292,0
"Microfinance Corpora-
tion","Meru Microfinance
Corporation","81,230,864.00","74,000,000.00","7,230,864.00",91.10,292,0
Revenue Board,Meru Revenue Board,"332,144,000.00","330,665,076.51","1,478,923.49",99.55,292,0
ICT Development,ICT Development,"36,720,000.00","34,941,894.60","1,778,105.40",95.16,292,0
"Economic Planning and
Coordination Services","Economic Planning
and Coordination
Services","10,490,800.00","9,122,980.00","1,367,820.00",86.96,292,0
Fleet Management,Fleet Management,"169,804,174.00","81,400,713.43","88,403,460.57",47.94,292,0
Total,,"1,022,456,147.00","888,776,912.71","133,679,234.29",86.93,292,0
General Administration,"General Administra-
tion","854,589,953.00","479,116,357.00","375,473,596.00",56.06,292,0
Livestock,Livestock,"24,151,342.00","6,535,200.00","17,616,142.00",27.06,292,0
Fisheries,Fisheries,"6,592,500.00","2,577,940.00","4,014,560.00",39.10,292,0
Agricultural Services,Agricultural Services,"27,604,485.25","7,618,980.00","19,985,505.25",27.60,292,0
"Animal Disease Manage-
ment","Animal Disease Man-
agement","3,204,500.00","901,450.00","2,303,050.00",28.13,292,0
"Agricultural Training
Centre (ATC) & AMS","Agricultural Training
Centre (ATC)","43,948,486.00","27,629,776.00","16,318,710.00",62.87,292,0
Total,,"960,091,266.25","524,379,703.00","435,711,563.25",54.62,292,0
DEPARTMENT: WATER & IRRIGATION,,,,,,292,0
General Administration,"Administration Ser-
vices","644,832,711.00","615,366,550.10","29,466,160.90",95.43,292,0
Total,,"644,832,711.00","615,366,550.10","29,466,160.90",95.43,292,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,292,0
General Administration,"General Administra-
tion","741,325,548.00","723,266,543.30","18,059,004.70",97.56,292,0
"Early Childhood Devel-
opment Education(EC-
DE)","Early Childhood
Development Educa-
tion(ECDE)","188,171,921.00","104,379,558.20","83,792,362.80",55.47,292,0
"'Gender Mainstreaming
and Social Services","'Gender Mainstream-
ing and Social Ser-
vices","57,531,600.00","16,259,800.00","41,271,800.00",28.26,293,0
PWD Empowerment,PWD Empowerment,"4,500,000.00","4,466,300.00","33,700.00",99.25,293,0
Total,,"1,053,416,443.00","879,397,720.50","174,018,722.50",83.48,293,0
"DEPARTMENT:
HEALTH SERVICES",,,,,,293,0
General Administration,"General Administra-
tion","2,585,182,239.00","2,580,582,234.67","4,600,004.33",99.82,293,0
Curative Health,Curative Health,"741,964,134.00","368,466,163.37","373,497,970.63",49.66,293,0
"Preventive and Promo-
tive Health","Preventive and Pro-
motive Health","207,546,020.00","77,859,091.28","129,686,928.72",37.51,293,0
Total,,"3,534,692,393.00","3,026,907,489.32","507,784,903.68",85.63,293,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,293,0
General Administration,"General Administra-
tion","64,718,847.00","64,718,845.55",1.45,100.00,293,0
Lands & Public Works,Lands & Public Works,"40,204,541.00","31,610,757.00","8,593,784.00",78.62,293,0
"Physical Planning,
House & Urban Devel-
opment","Physical Planning,
House & Urban De-
velopment","443,577,842.00","117,602,265.49","325,975,576.51",26.51,293,0
Meru Municipality,Meru Municipality,"187,459,311.00","27,252,674.00","160,206,637.00",14.54,293,0
Total,,"735,960,541.00","241,184,542.04","494,775,998.96",32.77,293,0
