Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,"Absorption
Rate (%)"
County Assembly,"0707014210 SP1
Legislative and
Oversight","71,513,212","71,413,212","100,000",99.9,406,0,
,"0707024210 SP2
County Assembly
Administration","376,328,872","375,701,582","627,290",99.8,406,0,
,"0707034210 SP3
Representation","225,331,946","225,155,380","176,566",99.9,406,0,
,Subtotal,"673,174,030","672,270,174","903,856",99.9,406,0,
Grand Total,,"7,377,540,024","5,889,035,454","1,488,504,570",79.8,406,0,
COUNTY ASSEMBLY,,,,,,413,0,
Legislation,Legislation,"327,598,807.00","324,570,637.00","3,028,170.00",,413,0,99.1
Oversight,Oversight,"64,343,140.00","64,342,700.00",440.00,,413,0,100.0
"Staff management and
Development","Staff management and
Development","775,845,315.00","488,878,311.55","286,967,003.45",,413,0,63.0
,Sub Total,"1,167,787,262.00","877,791,648.55","289,995,613.45",,413,0,75.2
GOVERNANCE AND ADMINISTRATION,,,,,,413,0,
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services","284,629,988.00","261,806,544.65","22,823,443.35",,413,0,92.0
"The Office of the Gov-
ernor",The Office of the Governor,"73,782,936.00","26,270,426.80","47,512,509.20",,413,0,35.6
"County Public Service
Board","County Public Service
Board","62,911,711.00","12,505,339.10","50,406,371.90",,413,0,19.9
"Fire fighting and disaster
management","Fire fighting and disaster
management","21,266,212.00","13,587,866.65","7,678,345.35",,413,0,63.9
"Sub County Adminis-
tration","Sub County Administra-
tion","47,194,849.00","7,037,164.15","40,157,684.85",,413,0,14.9
"Human Resource Man-
agement","Human Resource Man-
agement","99,970,701.00","23,966,967.40","76,003,733.60",,413,0,24.0
,Sub Total,"589,756,397.00","345,174,308.75","244,582,088.25",,413,0,58.5
FINANCE AND ECONOMIC PLANNING,,,,,,413,0,
Financial services,Financial services,"22,400,506.00","33,498,800.20","-11,098,294.20",,413,0,149.5
"Administration Planning,
Revenue & Accounting","Administration Planning,
Revenue & Accounting","1,196,339,843.00","643,910,388.90","552,429,454.10",,413,0,53.8
Procurement,Procurement,"11,201,194.00","9,468,804.00","1,732,390.00",,413,0,84.5
Budget Services,Budget Services,"33,172,389.00","29,359,094.00","3,813,295.00",,413,0,88.5
Internal Audit,Internal Audit,"9,160,204.00","6,184,963.00","2,975,241.00",,413,0,67.5
"Economic planning
services","Economic planning
services","58,904,760.00","48,074,012.35","10,830,747.65",,413,0,81.6
"Economic planning
services","Economic planning
services","18,675,853.00","19,730,599.60","-1,054,746.60",,413,0,105.6
,Sub Total,"1,349,854,749.00","790,226,662.05","559,628,086.95",,413,0,58.5
"AGRICULTURE, IRRIGATION, FOOD, LIVESTOCK AND FISHERIES",,,,,,413,0,
Administration,Administration,"105,841,550.00","49,518,030.40","56,323,519.60",,413,0,46.8
Veterinary Services,Veterinary Services,"35,911,633.00","15,986,583.00","19,925,050.00",,413,0,44.5
Crop Management,Crop Management,"436,412,463.00","238,615,868.00","197,796,595.00",,413,0,54.7
"Fisheries Development
&Management","Fisheries Development
&Management","47,165,241.00","22,113,633.00","25,051,608.00",,413,0,46.9
,Sub Total,"625,330,887.00","326,234,114.40","299,096,772.60",,413,0,52.2
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,413,0,
Administration,Administration,"35,795,603.00","5,371,891.20","30,423,711.80",,414,0,15.0
Water Services,Water Services,"243,502,444.00","147,415,697.75","96,086,746.25",,414,0,60.5
Forestry,Forestry,"3,874,181.00","1,281,442.40","2,592,738.60",,414,0,33.1
,Sub Total,"283,172,228.00","154,069,031.35","129,103,196.65",,414,0,54.4
"EDUCATION, YOUTH AFFAIRS, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,414,0,
Administration Services,Administration Services,"465,312,563.00","421,389,702.90","43,922,860.10",,414,0,90.6
ECD programmes,ECD programmes,"3,383,087.00","1,839,700.00","1,543,387.00",,414,0,54.4
"Youth Polytechnics and
Youth Training","Youth Polytechnics and
Youth Training","76,493,510.00","61,998,178.95","14,495,331.05",,414,0,81.1
Sports,Sports,"113,717,250.00","104,634,743.45","9,082,506.55",,414,0,92.0
Culture,Culture,"1,170,442.00",0.00,"1,170,442.00",,414,0,-
Social Resources,Social Resources,"33,756,768.00","9,320,641.00","24,436,127.00",,414,0,27.6
,Sub Total,"693,833,620.00","599,182,966.30","94,650,653.70",,414,0,86.4
COUNTY HEALTH SERVICES,,,,,,414,0,
"General administration
and Planning Services","General administration
and Planning Services","1,817,967,480.00","1,610,881,532.50","207,085,947.50",,414,0,88.6
"Curative Health Care
Services","Curative Health Care
Services","74,095,690.00","77,330,197.95","-3,234,507.95",,414,0,104.4
"Preventive, Promotive
and Rehabilitative Health
Services","Preventive, Promotive
and Rehabilitative Health
Services","166,811,341.00","149,148,157.00","17,663,184.00",,414,0,89.4
"Facility Improvement
Fund","Facility Improvement
Fund","71,356,312.00","25,552,906.00","45,803,406.00",,414,0,35.8
HIV Services,HIV Services,"12,832,875.00","3,911,184.45","8,921,690.55",,414,0,30.5
RH Services,RH Services,0,"392,000.00","-392,000.00",,414,0,#DIV/0!
TB Services,TB Services,"105,795,258.00","33,540,653.75","72,254,604.25",,414,0,31.7
Nutrition Services,Nutrition Services,"57,578,536.00","14,010,497.00","43,568,039.00",,414,0,24.3
"Environmental Health
Services","Environmental Health
Services","50,158,116.00","10,692,265.00","39,465,851.00",,414,0,21.3
,Sub Total,"2,356,595,608.00","1,925,459,393.65","431,136,214.35",,414,0,81.7
"LANDS, PHYSICAL PLANNING, HOUSING AND URBAN DEVELOPMENT",,,,,,414,0,
Physical Planning,Physical Planning,"43,947,825.00","9,700,229.10","34,247,595.90",,414,0,22.1
Land Survey & Mapping,Land Survey & Mapping,"60,036,859.00","11,681,513.60","48,355,345.40",,414,0,19.5
Housing,Housing,"1,674,330.00","1,669,512.00","4,818.00",,414,0,99.7
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services","35,348,998.00","28,844,484.00","6,504,514.00",,414,0,81.6
,Sub Total,"141,008,012.00","51,895,738.70","89,112,273.30",,414,0,36.8
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,414,0,
"General Administration
services","General Administration
services","271,800.00","202,005.00","69,795.00",,414,0,74.3
"Road Development,
Maintenance and Man-
agement","Road Development, Main-
tenance and Management","1,414,817,752.00","1,070,452,809.70","344,364,942.30",,414,0,75.7
"County Government
Buildings Services","County Government
Buildings Services","10,010,000.00","2,149,619.90","7,860,380.10",,414,0,21.5
,Sub Total,"1,425,099,552.00","1,072,804,434.60","352,295,117.40",,414,0,75.3
ENTERPRISE AND INDUSTRIAL DEVELOPMENT,,,,,,414,0,
"General Administration
and Planning Services","General Administration
and Planning Services","98,450,773.00","61,732,422.10","36,718,350.90",,414,0,62.7
"Trade Development and
Investment","Trade Development and
Investment","1,495,000.00","840,200.00","654,800.00",,414,0,56.2
"Promotion of Fair Trade
Practices","Promotion of Fair Trade
Practices","1,958,839.00","1,150,906.00","807,933.00",,414,0,58.8
