Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
,County Assembly,"929,317,456","852,010,932","77,306,524",91.7,204,1
101005060,"General Administration
and Planning Services","1,231,881,669","876,827,028","355,054,641",71.2,204,1
,"Planning and Coordination
Services","518,077,505","505,576,157","12,501,348",97.6,204,1
,"Planning and Administra-
tion","713,804,164","371,250,872","342,553,292",52.0,204,1
102005060,County Survey Services,"805,000","530,000","275,000",65.8,204,1
,County Survey,"805,000","530,000","275,000",65.8,204,1
103005060,"Physical Planning &
Housing","2,819,050","1,064,000","1,755,050",37.7,204,1
,Physical planning services,"2,066,050","506,000","1,560,050",24.5,204,1
,"county housing manage-
ment","753,000","558,000","195,000",74.1,204,1
104005060,"Promotion of sustainable
land use","432,555","341,355","91,200",78.9,204,1
,"Promotion of Soil and Wa-
ter Management","432,555","341,355","91,200",78.9,204,1
105005060,"Agriculture Productivity
Improvement","94,960,771","38,149,369","56,811,402",40.2,204,1
,"Management of Agriculture
Advisory services","474,750","333,250","141,500",70.2,205,0
,"Promotion of Crop produc-
tion Value Chains","82,322,939","32,256,409","50,066,530",39.2,205,0
,"Promotion of Livestock
Production Value Chains","2,900,000","200,000","2,700,000",6.9,205,0
,Management of Stations,"8,895,082","5,101,710","3,793,372",57.4,205,0
,"Development of Product
Quality Assurance","368,000","258,000","110,000",70.1,205,0
106005060,"Agricultural Productivity
Improvement","210,000","65,000","145,000",31.0,205,0
,Agriculture Credit Access,"210,000","65,000","145,000",31.0,205,0
,Agriculture input Access,-,-,-,,205,0
107005060,"Promotion of market
access and products devel-
opment","12,422,500","9,502,904","2,919,596",76.5,205,0
,Promotion of Agribusiness,"150,000","50,000","100,000",33.3,205,0
,Promotion value addition,"12,272,500","9,452,904","2,819,596",77.0,205,0
108005060,"Revenue Generation and
Management","25,649,231","25,649,230",1,100.0,205,0
,Local Revenue Mobilisation,"25,649,231","25,649,230",1,100.0,205,0
109005060,"Urban Planning $ Devel-
opment Control","54,964,179","45,588,700","9,375,479",82.9,205,0
,"Urban planning and devel-
opment","54,964,179","45,588,700","9,375,479",82.9,205,0
201005060,"County Roads and Public
Works Management","1,037,084,922","300,642,123","736,442,799",29.0,205,0
,"General administration &
planning","533,160,260","181,477,580","351,682,680",34.0,205,0
,"Road construction and
maintenance services","503,924,662","119,164,543","384,760,119",23.6,205,0
203005060,"Administration, Planning
and Support Services","1,845,216,646","1,456,192,329","389,024,318",78.9,205,0
,Administrative services,"1,845,216,646","1,456,192,329","389,024,318",78.9,205,0
205005060,Energy Production,"70,324,690","52,165,870","18,158,820",74.2,205,0
,,"26,507,200","13,419,249","13,087,951",50.6,205,0
,Climate Change,"600,000","520,000","80,000",86.7,205,0
,Petroleum and Electricity,"43,217,490","38,226,621","4,990,869",88.5,205,0
206005060,Mining Efficiency,"94,443,006","24,044,556","70,398,450",25.5,205,0
,Mining Efficiency,"1,580,800","1,229,343","351,457",77.8,205,0
,Resource Mobilisation,"22,338,330","20,217,416","2,120,914",90.5,205,0
,Green Energy,"70,523,876","2,597,797","67,926,079",3.7,205,0
207005060,"Roads General Adminis-
tration and Planning","33,089,048","23,767,543","9,321,505",71.8,206,0
,Public Works,"1,500,000","1,495,182","4,818",99.7,206,0
,"Mechanical Engineering
Services","31,589,048","22,272,361","9,316,687",70.5,206,0
208005060,ICT Services,"1,360,805","1,064,805","296,000",78.2,206,0
,ICT Services,"1,360,805","1,064,805","296,000",78.2,206,0
301005060,"General Administration
and Policy-making Ser-
vices","39,975,658","13,740,247","26,235,411",34.4,206,0
,Infrastructure Development,"4,426,963","3,734,713","692,250",84.4,206,0
,Trade Support Services,"35,548,695","10,005,534","25,543,161",28.1,206,0
302005060,"Regulation and Verifica-
tion of Weights","6,774,840","117,040","6,657,800",1.7,206,0
,"Verification and Calibration
of Weighing Equipment","6,774,840","117,040","6,657,800",1.7,206,0
303005060,"Tourism Development and
Management","15,630,330","5,070,830","10,559,500",32.4,206,0
,Tourism Development,"8,987,990","2,477,630","6,510,360",27.6,206,0
,Tourism Event Management,"6,642,340","2,593,200","4,049,140",39.0,206,0
304005060,"Administration Planning
and Support","103,187,326","68,092,473","35,094,853",66.0,206,0
,Administration planning,"103,187,326","68,092,473","35,094,853",66.0,206,0
305005060,"Co-Operative Develop-
ment and Management","18,487,785","13,302,960","5,184,825",72.0,206,0
,Extension services,"8,988,690","7,048,640","1,940,050",78.4,206,0
,Co-operative Governance,"9,499,095","6,254,320","3,244,775",65.8,206,0
306005060,Enterprise Development,"53,692,322","319,322","53,373,000",0.6,206,0
,"Business Development
Services","53,692,322","319,322","53,373,000",0.6,206,0
307005060,Industrial Development,"291,000","291,000",-,100.0,206,0
,"Renovation and operation-
alisation of C.I.D.Cs","291,000","291,000",-,100.0,206,0
401005060,"Preventive & Promotive
Health Services","241,974,322","183,784,783","58,189,539",76.0,206,0
,"Environmental health and
sanitation","87,005,269","87,005,268",1,100.0,206,0
,Community health strategy,"500,000",-,"500,000",0.0,206,0
,Disease surveillance,"8,245,000","8,045,000","200,000",97.6,206,0
,Health promotion service,"146,224,053","88,734,515","57,489,538",60.7,206,0
402005060,Health Curative Services,"138,450,529","72,163,511","66,287,018",52.1,207,0
,"Elimination of communica-
ble and non-communicable
diseases","1,150,000","777,400","372,600",67.6,207,0
,Reproductive Health,"137,300,529","71,386,111","65,914,418",52.0,207,0
403005060,"General Administration,
Operational Research and
Planning","3,083,958,072","3,065,340,994","18,617,078",99.4,207,0
,Governance and leadership,"25,662,916","14,259,976","11,402,940",55.6,207,0
,Human resources for Health,"3,058,295,156","1,507,750,206","11,402,940",49.3,207,0
405005060,"Health Sector Support Pro-
gram (DANIDA)","138,044,056","62,994,129","75,049,928",45.6,207,0
,Health Promotive Services,"138,044,056","62,994,129","75,049,928",45.6,207,0
407005060,"Jaramogi Oginga Odinga
Teaching and Referral
Hospital","146,334,964","146,334,964",-,100.0,207,0
,"Jaramogi Oginga Odinga
Teaching and Referral
Hospital","146,334,964","146,334,964",-,100.0,207,0
408005060,"Kisumu County Referral
Hospital","55,000,000","47,895,155","7,104,845",87.1,207,0
,"Kisumu County Referral
Hospital","55,000,000","47,895,155","7,104,845",87.1,207,0
409005060,"Medical and Bio-Medical
Services","234,200,000","128,139,422","106,060,578",54.7,207,0
,"County and Sub-County
Hospital Services","234,200,000","128,139,422","106,060,578",54.7,207,0
501005060,"Early Childhood Develop-
ment.","38,578,941","38,407,684","171,257",99.6,207,0
,"Promotion of early child-
hood education.","38,578,941","38,407,684","171,257",99.6,207,0
502005060,"Youth Training and Devel-
opment","21,310,010","3,562,380","17,747,630",16.7,207,0
,Youth Polytechnics Services,"21,310,010","3,562,380","17,747,630",16.7,207,0
504005060,Gender and Social Dev.,"8,545,700","2,863,700","5,682,000",33.5,207,0
,"Gender & Disability Main-
streaming","7,628,700","2,417,700","5,211,000",31.7,207,0
,Betting Control Services,"917,000","446,000","471,000",48.6,207,0
505005060,"Early Child Education
Management","304,830,800","151,996,000","152,834,800",49.9,207,0
,Early Child Education,"304,830,800","151,996,000","152,834,800",49.9,207,0
506005060,"Sports Management and
Development","49,610,000","18,752,114","30,857,886",37.8,207,0
,Sports Management,"49,610,000","18,752,114","30,857,886",37.8,207,0
507005060,Sports Stadia Development,"4,282,150","1,156,600","3,125,550",27.0,208,0
,Sports Academy,"4,282,150","1,156,600","3,125,550",27.0,208,0
508005060,Alcoholic Drinks,"593,075","379,075","214,000",63.9,208,0
,Alcoholic Drinks,"593,075","379,075","214,000",63.9,208,0
515005060,"Pre-Primary Policy and
Legislation","22,789,300","9,658,895","13,130,405",42.4,208,0
,"Primary Policy and Legis-
lation","22,789,300","9,658,895","13,130,405",42.4,208,0
517005060,"Youth Training and Leg-
islation","90,860,014","72,424,620","18,435,394",79.7,208,0
,"Youth Training and Legis-
lation","90,860,014","72,424,620","18,435,394",79.7,208,0
701005060,"General Administration
and Planning services","348,329,664","266,527,348","81,802,316",76.5,208,0
,"Administration and Formu-
lation of County policy",-,"(478,000)","478,000",,208,0
,"Development and Manage-
ment of County Adminis-
trative systems","321,441,823","243,723,731","77,718,092",75.8,208,0
,"Human Resource develop-
ment services","828,000","492,000","336,000",59.4,208,0
,"Social Responsibility
Including Civic and Public
Engagement","26,059,841","22,789,617","3,270,224",87.5,208,0
702005060,"Management of County
affairs and Special Pro-
grammes","5,189,976","2,399,691","2,790,285",46.2,208,0
,"Inter-Government Coordi-
nation and protocol","5,189,976","2,399,691","2,790,285",46.2,208,0
703005060,"Inter-Governmental rela-
tions, Communication and
Protocol","36,874,588","18,698,261","18,176,327",50.7,208,0
,"Governor’s Press Service
and Communication","27,612,652","11,013,825","16,598,827",39.9,208,0
,Internal Auditing Services,"9,261,936","7,684,436","1,577,500",83.0,208,0
704005060,"County Public Service
Board","1,055,433,436","696,388,283","359,045,153",66.0,208,0
,"General Administration and
Support services","977,907,158","646,705,364","331,201,794",66.1,208,0
,"Human Resource Recruit-
ment and Development","70,788,954","43,819,483","26,969,471",61.9,208,0
,"Human Resource Audit and
Staff Rationalization","770,000","730,435","39,565",94.9,208,0
,"Promotion of Values and
Principles","5,967,324","5,133,001","834,323",86.0,208,0
705005060,"Public Financial Manage-
ment","234,382,143","106,646,997","127,735,146",45.5,208,0
,assets management,"2,437,675","1,728,575","709,100",70.9,209,0
,"management of public
financial resources","4,654,700","2,806,575","1,848,125",60.3,209,0
,"Budget Formulation &
Coordination Services","152,095,534","76,371,737","75,723,797",50.2,209,0
706005060,"County Planning and De-
velopment Coordination
Services","91,919,274","48,922,390","42,996,885",53.2,209,0
,"Policy Formulation &
Planning","65,926,635","32,373,581","33,553,054",49.1,209,0
,Monitoring & Evaluation,"25,992,639","16,548,809","9,443,831",63.7,209,0
707005060,"County Communication &
ICT Services","310,000","193,100","116,900",62.3,209,0
,"Management Information
System","310,000","193,100","116,900",62.3,209,0
709005060,"Representation services &
public participation","4,694,000","570,970","4,123,030",12.2,209,0
,Public participation services,"4,694,000","570,970","4,123,030",12.2,209,0
711005060,"County Planning and De-
velopment Coordination
Services","4,512,050","2,468,200","2,043,850",54.7,209,0
,"County Planning and
Development Coordination
Services","4,512,050","2,468,200","2,043,850",54.7,209,0
902005060,"Conservation and manage-
ment of natural ecosystem","131,062,493","60,777,542","70,284,951",46.4,209,0
,"Sustainable Access to safe
Water","371,199","150,000","221,199",40.4,209,0
,"Water resources & Sewerage
services","130,691,294","60,627,542","70,063,752",46.4,209,0
903005060,"General Administration
and Planning Services",-,-,-,,209,0
,"Policy planning & Admin-
istration",-,-,-,,209,0
904005060,"Environmental Planning
And Management","5,941,400","5,459,900","481,500",91.9,209,0
,"Environment Conservation
Of Natural Resources","945,800","654,200","291,600",69.2,209,0
,Solid Waste Management,"4,995,600","4,805,700","189,900",96.2,209,0
906005060,,"2,920,977","2,192,870","728,107",75.1,209,0
,Pollution Control,"2,920,977","2,192,870","728,107",75.1,209,0
907005060,,"3,899,750","1,229,373","2,670,377",31.5,209,0
,"Culture and Heritage Devel-
opment","3,899,750","1,229,373","2,670,377",31.5,209,0
,Grand Total,"12,177,852,473","7,483,537,756","4,694,314,717",61.5,209,0
