Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agricultural and Livestock
Sector Support",Food security Initiatives,"772,331,827","401,828,545","270,503,282",52.0,274,1
,Sub Total,"772,331,827","401,828,545","270,503,282",52.0,274,1
,Livestock Production,"253,854,158","152,701,708","53,643,610",60.2,274,1
,Sub Total,"253,854,158","152,701,708","53,643,610",60.2,274,1
"General Administration &
Support Services","Administration & Sup-
port Services","702,129,906","631,666,110","10,463,796",90.0,274,1
,,"2,307,913,251","2,066,685,017","41,228,234",89.5,274,1
,Sub Total,"3,010,043,157","2,698,351,128","51,692,029",89.6,274,1
Administration Services,"Administration and
Compensation","2,806,319,287","2,736,030,600","70,288,687",97.5,274,1
,,"206,504,275","197,998,871","8,505,404",95.9,274,1
,Sub Total,"3,012,823,562","2,934,029,471","78,794,091",97.4,274,1
