Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
,A,B,C=A-B,D=B/A*100,457,1
"Adjudication, registry and settlement","15,777,162","3,397,835","12,379,327",21.5,457,1
Delineation & adjudication of community land,"15,777,162","3,397,835","12,379,327",21.5,457,1
Spatial Planning,"20,072,530","9,109,317","10,963,213",45.4,457,1
,"20,072,530","9,109,317","10,963,213",45.4,457,1
"Formulation of community land policy and reg-
ulations","19,815,014","635,646","19,179,369",3.2,457,1
Urban Centre Mgt,"9,580",-,"9,580",-,457,1
,A,B,C=A-B,D=B/A*100,458,0
Urban Centre Mgt,"13,761,901","635,646","13,126,256",4.6,458,0
Kakuma Kalobeyei Municipality,"6,043,534",-,"6,043,534",-,458,0
Compulsory land acquisition for public utilities,"9,088,290","533,880","8,554,410",5.9,458,0
Land acquisition for public utilities,"9,088,290","533,880","8,554,410",5.9,458,0
"Establishment and rehabilitation of public util-
ities in Lodwar","4,081,467","1,475,150","2,606,317",36.1,458,0
Improvement of Moi Garden Stadia,"4,081,467","1,475,150","2,606,317",36.1,458,0
Revival of Turkana Fishermen Co-op. society,"50,909,946","3,194,414","47,715,533",6.3,458,0
Spate Irrigation Technology,"12,960,480","146,892","12,813,588",1.1,458,0
Spate Irrigation Technology,"1,290,355","393,322","897,033",30.5,458,0
Spate Irrigation Technology,"20,213,101",-,"20,213,101",-,458,0
Spate Irrigation Technology,"13,364,451","702,128","12,662,323",5.3,458,0
Rehabilitation,"1,737,440","702,062","1,035,379",40.4,458,0
Soil & Water Conservation,"1,344,120","1,250,010","94,109",93.0,458,0
Fish market infrastructure/ fish value addition,"53,669,546","10,667,788","43,001,758",19.9,458,0
Fish market infrastructure/ fish value addition,"691,795","266,641","425,154",38.5,458,0
Fisheries livelihood support,"47,222,197","9,685,509","37,536,689",20.5,458,0
Fisheries Extension Services,"757,514","10,329","747,185",1.4,458,0
Fisheries resource management,"1,557,882","449,176","1,108,705",28.8,458,0
