Program,Sub-Program,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
%",page_number,table_index,"Approved Budget A
(Kshs.) (","ctual Payments
Kshs.)","ctual Payments
Kshs.) (","Variance
Kshs.)"
ECD,ECD Support Services,"674,919,328.00","648,001,265.40","26,918,062.60",96,495,0,,,,
"Sports promotion
and development","Sports promotion and develop-
ment",-,-,-,,495,0,,,,
Social Services,Social Services,,-,-,,495,0,,,,
,"Sports promotion and develop-
ment","40,044,400.00","37,426,980.00","2,617,420.00",93,495,0,,,,
,"Cultural promotion and pres-
ervation","26,227,800.00","26,491,808.00","(264,008.00)",101,495,0,,,,
Gender,Gender,,-,-,,495,0,,,,
,"Gender, Culture and Social
Services","27,924,100.00","23,671,612.00","4,252,488.00",85,495,0,,,,
"Heritage and Library
Services",Heritage and Library Services,,-,-,,495,0,,,,
,"County Economic Planning
Services","5,000,000.00","5,000,000.00",-,100,495,0,,,,
,TOTAL,"791,768,628.00","763,992,685.40","27,775,942.60",,495,0,,,,
"Agriculture, Livestock and Fisheries",,,,,,495,0,,,,
"Agricultural infra-
structure develop-
ment program","Agricultural infrastructure
development program","41,400,900.00","46,030,883.00","(4,629,983.00)",111,495,0,,,,
"Kenya Climate Smart
Agriculture","Kenya Climate Smart Agricul-
ture","357,281,090.00","245,377,383.80","111,903,706.20",69,495,0,,,,
"Administrative and
support services","Administrative and support
services",,,"28,560,540.75",84,496,0,"177,072,580.00","148,512,039.25",,
"Livestock & Veter-
inary",Livestock & Veterinary,,,-,,496,0,,-,,
,Veterinary Support Services,,,"45,333,532.00",3,496,0,"72,715,000.00","27,381,468.00",,
,"Livestock Infrastructure im-
provement program",,,"98,557,599.30",54,496,0,"215,297,068.00","116,739,468.70",,
Fisheries,Fisheries,,,-,,496,0,,-,,
,"Aquaculture, Inland fisheries
production and Extension
services",,,"5,175,280.00",66,496,0,"15,436,400.00","10,261,120.00",,
Irrigation,Irrigation,,,-,,496,0,,-,,
,Irrigation management services,,,"(11,100,591.90)",122,496,0,"50,734,400.00","61,834,991.90",,
,"Agriculture Sector Development
Support Programme",,,"54,580,823.00",13,496,0,"62,580,823.00","8,000,000.00",,
,,,,"328,380,906.35",66.9,496,0,"992,518,261.00","664,137,354.65",,
"ICT and E-Government, Trade, Industrialization and Cooperative Development",,,,,,496,0,,,,
"Industrial Develop-
ment",Industrial Development,,,-,,496,0,-,-,,
"Co-operative Devel-
opment",Co-operative Development,,,-,,496,0,-,-,,
Trade Services,Trade Services,,,"10,622,061.05",0,496,0,"39,636,540.00","29,014,478.95",,
"Administrative and
Support Services","Administrative and Support
Services",,,"(4,564,874.20)",103,496,0,"170,955,660.00","175,520,534.20",,
Tourism & Wildlife,Tourism & Wildlife,,,-,,496,0,-,-,,
Industrialisation,Industrialisation,,,-,,496,0,,-,,
,Industrial Development,,,"1,000,000.00",67,496,0,"3,000,000.00","2,000,000.00",,
"Co-operative Devel-
opment",Co-operative Development,,,-,,496,0,,-,,
,Capacity Building Services,,,"508,711.65",95,496,0,"10,740,980.00","10,232,268.35",,
,Trade Services,,,"14,100.00",100,496,0,"10,000,000.00","9,985,900.00",,
ICT Services,ICT Services,,,-,,496,0,,-,,
,ICT Infrastructure Services,,,"(7,210,233.90)",132,496,0,"22,190,000.00","29,400,233.90",,
,,,,"369,764.60",132,496,0,"256,523,180.00","256,153,415.40",,
"Public Works, Housing and Physical Planning",,,,,,496,0,,,,
"Housing develop-
ment and Human
Settlement","Housing development and
Human Settlement",,,-,,496,0,-,-,,
"Government Build-
ing Services",Government Building Services,,,"96,240.00",,496,0,-,"(96,240.00)",,
"Administrative and
support services","Administrative and support
services",,,"25,050,042.75",64,496,0,"69,960,621.00","44,910,578.25",,
Housing,Housing,,,-,,496,0,-,-,,
,"Housing development and
Human Settlement",,,-,,496,0,-,-,,
,Government Building Services,,,-,,496,0,-,-,,
Physical Planning,Physical Planning,,,-,,496,0,,-,,
,"Land Policy and Physical
Planning",,,"54,412,785.30",66,496,0,"161,408,600.00","106,995,814.70",,
Public Works,Public Works,,,-,,496,0,,-,,
"Government Build-
ing Services",Government Building Services,,,"570,404.00",29,496,0,"802,400.00","231,996.00",,
,"Housing development and
Human Settlement",,,,92,497,0,"1,646,500.00",,"1,520,825.00","125,675.00"
,Energy Services,,,,,497,0,-,,-,-
,"Enhancement of public roads
transport system",,,,25,497,0,"94,111,000.00",,"23,691,188.15","70,419,811.85"
,,,,,54.1,497,0,"327,929,121.00",,"177,254,162.10","150,674,958.90"
"Public Services, Special Programs and Decentralization Unit",,,,,,497,0,,,,
Public Participation,Public Participation,,,,,497,0,-,,-,-
"Administration of
Human Resources","Administration of Human
Resources",,,,101,497,0,"499,448,217.00",,"505,170,934.80","(5,722,717.80)"
Decentralised Unit,Decentralised Unit,,,,,497,0,,,-,-
,"Administration of Human
Resources",,,,92,497,0,"25,550,640.00",,"23,493,524.10","2,057,115.90"
"Town Administra-
tion",Town Administration,,,,,497,0,,,-,-
,"Engineering, Maintenance and
Physical infrastructure services",,,,65,497,0,"56,500,000.00",,"36,550,495.30","19,949,504.70"
,"Environment, Beautification
and Sanitation services",,,,,497,0,-,,-,-
Special Programs,Special Programs,,,,,497,0,-,,,-
Public Participation,Public Participation,,,,108,497,0,"14,614,000.00",,"15,854,707.50","(1,240,707.50)"
Conflict Resolution,Conflict Resolution,,,,102,497,0,"17,191,851.00",,"17,558,471.00","(366,620.00)"
"Intergovernmental
Relations",Intergovernmental Relations,,,,,497,0,,,-,-
,County Executive Services,,,,98,497,0,"8,636,624.00",,"8,449,100.00","187,524.00"
"Disaster Manage-
ment",Disaster Management,,,,101,497,0,"75,519,800.00",,"76,648,201.00","(1,128,401.00)"
"Service Delivery
and Performance
Contracting","Service Delivery and Perfor-
mance Contracting",,,,83,497,0,"14,808,000.00",,"12,275,064.00","2,532,936.00"
"Governance and
Ethics",Governance and Ethics,,,,82,497,0,"7,337,600.00",,"5,984,040.00","1,353,560.00"
,,,,,,497,0,"719,606,732.00",,"701,984,537.70","17,622,194.30"
CPSB,,,,,,497,0,,,-,-
"General Adminis-
tration and Support
Services","General Administration and
Support Services",,,,84,497,0,"83,595,808.00",,"69,885,410.15","13,710,397.85"
Wajir Municipality,,,,,,497,0,,,-,-
"General Adminis-
tration and Support
Services","General Administration and
Support Services",,,,78,497,0,"357,685,264.00",,"279,445,946.55","78,239,317.45"
,Grand Total,,,,86,497,0,"11,584,955,785.00",,"9,946,529,652.72","1,638,426,132.28"
