Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
"Agriculture, Cooperative and Livestock",,,,,,60,1,,
"Programme 1: General Administration, planning and support services",,,,,,60,1,,
"S.P 1.1 Administrative
and Support Services","S.P 1.1 Administrative and
Support Services","142,448,565","140,224,036","2,224,529",98.4,60,1,,
"S.P 1.2 Human Re-
source Management
and Development","S.P 1.2 Human Resource
Management and Develop-
ment","314,512,616","307,722,984","6,789,632",97.8,60,1,,
"S.P 1.3: Policy, Legal
and Regulatory
Framework","S.P 1.3: Policy, Legal and
Regulatory Framework","7,600,000",-,"7,600,000",0.0,60,1,,
"S.P 1.7: Leadership
and Governance","S.P 1.7: Leadership and
Governance","2,000,000",-,"2,000,000",0.0,60,1,,
"Programme 2: Land
and Crop Develop-
ment and Manage-
ment",,,,,,60,1,,
"S.P 2.1: Agricultural
extension and training
services","S.P 2.1: Agricultural exten-
sion and training services","4,746,821",-,"4,746,821",0.0,60,1,,
"S.P 2.2: Crop produc-
tion and productivity","S.P 2.2: Crop production and
productivity","86,970,400","86,840,085","130,315",99.9,60,1,,
"SP 2.7 Irrigation Ex-
tension and training","SP 2.7 Irrigation Extension
and training","2,540,000",-,"2,540,000",0.0,60,1,,
"Programme 3: Live-
stock development
and management",,,,,,61,0,,
"SP 3.1 Livestock
production extension,
Training and Informa-
tion Services","SP 3.1 Livestock production
extension, Training and
Information Services",,,"5,600,000",0.0,61,0,"5,600,000",-
"SP 3.4 Disease and
Vector Control","SP 3.4 Disease and Vector
Control",,,"7,000,000",0.0,61,0,"7,000,000",-
"SP 3.5 Food Safety
And Quality Control","SP 3.5 Food Safety And
Quality Control",,,"5,500,000",0.0,61,0,"5,500,000",-
"SP 3.8 Breeding and
AI Subsidy pro-
gramme","SP 3.8 Breeding and AI Sub-
sidy programme",,,"3,000,000",0.0,61,0,"3,000,000",-
"Programme 4: Fish-
eries development
and management",,,,,,61,0,,
"SP 4.1 Fisheries
extension service and
training","SP 4.1 Fisheries extension
service and training",,,"3,000,000",0.0,61,0,"3,000,000",-
"SP 4.2 Fisheries
product value-chain
development","SP 4.2 Fisheries product
value-chain development",,,"3,500,000",0.0,61,0,"3,500,000",-
"Programme 5: Coop-
eratives Development
and Management",,,,,,61,0,,
"SP 5.1 Cooperatives
extension service and
training (Co-operative
Governance (Train-
ing))","SP 5.1 Cooperatives exten-
sion service and training
(Co-operative Governance
(Training))",,,"9,800,000",0.0,61,0,"9,800,000",-
"SP 5.2 Cooperatives
Audit Services","SP 5.2 Cooperatives Audit
Services",,,"1,500,000",0.0,61,0,"1,500,000",-
"Programme 6: In-
stitutional Develop-
ment and Manage-
ment",,,,,,61,0,,
"SP 6.3 Infrastructural
development (ATC)","SP 6.3 Infrastructural devel-
opment (ATC)",,,"30,700,000",0.0,61,0,"30,700,000",-
"SP 6.5 Tractor hire
services",SP 6.5 Tractor hire services,,,"5,000,000",0.0,61,0,"5,000,000",-
"SP 6.8 Operational
development (CFF)","SP 6.8 Operational develop-
ment (CFF)",,,"3,240,000",0.0,61,0,"3,240,000",-
ASDSP II,ASDSP II,,,"46,167,495",0.0,61,0,"46,167,495",-
NARIGP,NARIGP,,,"319,782,492",37.9,61,0,"514,946,619","195,164,127"
Ward Based Projects,Ward Based Projects,,,"33,173,328",46.9,61,0,"62,461,000","29,287,672"
Total Expenditure,,,,"502,994,612",60.2,61,0,"1,262,233,516","759,238,904"
HEALTH & SANITATION,,,,,,61,0,,
"Programme1: Gen-
eral Administration
and Planning and
Support Services",,,,-,,61,0,,
"SP 1: Health Admin-
istration Planning and
support services","SP 1: Health Administra-
tion Planning and support
services",,,"402,241,209",40.9,61,0,"680,964,067","278,722,858"
"SP3.Health Infrastruc-
ture",SP3.Health Infrastructure,,,"50,465,431",48.0,62,0,"97,124,894","46,659,463"
"Programme 2: Pre-
ventive Promotive
and Rehabilitative",,,,"104,824,022",0.0,62,0,"104,824,022",-
"SP 2: Communicable
and non-communi-
cable","SP 2: Communicable and
non-communicable",,,"18,005,084",0.0,62,0,"18,005,084",-
"SP 2: Health Promo-
tion services","SP 2: Health Promotion
services",,,"6,000,000",0.0,62,0,"6,000,000",-
"SP 3: Disease surveil-
lance",SP 3: Disease surveillance,,,"2,746,938",0.0,62,0,"2,746,938",-
"SP 4: Community
health services","SP 4: Community health
services",,,"78,072,000",0.0,62,0,"78,072,000",-
"Programme 3:
Curative & Health
Services",,,,,,62,0,,
"SP 3: Routine Medical
Services","SP 3: Routine Medical
Services",,,"338,110,882",20.4,62,0,"424,865,820","86,754,938"
"SP 3: Blood Bank
Services",SP 3: Blood Bank Services,,,"10,000,000",0.0,62,0,"10,000,000",-
"Programme 4: Health
Research",,,,"8,200,000",0.0,62,0,"8,200,000",-
"SP 4: Capacity Devel-
opment",SP 4: Capacity Development,,,"8,200,000",0.0,62,0,"8,200,000",-
"Programme 5: Mater-
nal and Child Health",,,,"54,469,787",0.0,62,0,"54,469,787",-
"SP 5: Maternity
Services",SP 5: Maternity Services,,,"52,969,787",0.0,62,0,"52,969,787",-
"SP 5: Immunisation
Services",SP 5: Immunisation Services,,,"1,500,000",0.0,62,0,"1,500,000",-
Total Expenditure,,,,"1,195,107,120",69.9,62,0,"3,969,205,642","2,774,098,522"
ROADS & PUBLIC WORKS,,,,,,62,0,,
"Transport infrastruc-
ture development and
management","Transport infrastructure de-
velopment and management",,,"600,588,200",61.2,62,0,"1,549,460,621","948,872,421"
"Public safety and
transport operations","Public safety and transport
operations",,,"10,440,000",0.0,62,0,"10,440,000",-
"Building standards
and other civil works","Building standards and other
civil works",,,"3,537,534",0.0,62,0,"3,537,534",-
"General administra-
tion, planning and
support services","General administration,
planning and support ser-
vices",,,"124,457,059",62.9,62,0,"335,894,584","211,437,525"
Total Expenditure,,,,"739,022,793",61.1,62,0,"1,899,332,739","1,160,309,946"
WATER & TOURISM,,,,,,62,0,,
"Programme 1:
General Administra-
tion Planning and
Support Services",,,,,,62,0,,
"SP. Human Resources
Management","SP. Human Resources Man-
agement",,,"4,770,946",91.8,62,0,"58,513,750","53,742,804"
"SP. Policy and Legal
Framework formu-
lation","SP. Policy and Legal Frame-
work formulation",,,"1,000,000",0.0,62,0,"1,000,000",-
"SP. Marking of in-
ternational/national
events","SP. Marking of international/
national events",,,"202,555",95.8,63,0,"4,800,000","4,597,445"
"SP. Annual devolution
conference","SP. Annual devolution con-
ference",,,"3,000,000",0.0,63,0,"3,000,000",-
"Programme 2: Water
and Sewerage Ser-
vices Management",,,,,,63,0,,
"SP Water Services
Provision",SP Water Services Provision,,,"96,819,242",36.6,63,0,"152,668,384","55,849,143"
"SP. Rig operation and
maintenance","SP. Rig operation and mainte-
nance",,,"1,560,513",15.7,63,0,"1,850,705","290,192"
"SP. Stakeholders en-
gagement (water users
association)","SP. Stakeholders engagement
(water users association)",,,"4,800,000",0.0,63,0,"4,800,000",-
"SP. KOICA counter-
part funding","SP. KOICA counterpart
funding",,,"16,553,051",0.0,63,0,"16,553,051",-
"SP. Sub- County oper-
ations",SP. Sub- County operations,,,"3,200,000",0.0,63,0,"3,200,000",-
"SP. Routine Main-
tenance of water
supplies","SP. Routine Maintenance of
water supplies",,,"2,400,000",0.0,63,0,"2,400,000",-
"SP. Office operation
and maintenance","SP. Office operation and
maintenance",,,"15,683,792",88.8,63,0,"140,459,380","124,775,588"
"Programme 3: Inte-
grated Solid Waste
Management",,,,,,63,0,,
"SP. Garbage collection
and transportation","SP. Garbage collection and
transportation",,,"1,034,935",99.5,63,0,"227,942,024","226,907,089"
TOTAL Expenditure,,,,"151,025,033",75.5,63,0,"617,187,294","466,162,261"
EDUCATION AND VOCATIONAL TRAINING,,,,,,63,0,,
"Programme 1:
General Administra-
tion, Planning and
Support Services",,,,,,63,0,,
"SP 1: Salaries and
allowances",SP 1: Salaries and allowances,,,"33,080,412",96.7,63,0,"1,011,120,892","978,040,480"
"SP3: Administration
and support services","SP3: Administration and
support services",,,"1,205,979",97.6,63,0,"49,904,000","48,698,021"
"Programme 2: Early
Childhood Education
Development",,,,,,63,0,,
"SP6: Infrastructure
development","SP6: Infrastructure develop-
ment",,,"33,714,429",70.9,63,0,"115,730,000","82,015,571"
SP9:Pending bills,SP9:Pending bills,,,"32,737,719",0.0,63,0,"32,737,719",-
