Programme,"Sub- Programme
(","Approved Budget
Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,Sub- Programme,"Approved Budget
(Kshs.)"
Agriculture,"Administration, planning support
services","24,193,636.00","10,461,426.65","13,732,209.35",43.24,428,1,,
,"Administration, planning support
services","24,193,636.00","10,461,426.65","13,732,209.35",43.24,428,1,,
,Agricultural Development project,"555,424,314.00","354,533,634.90","200,890,679.10",63.83,428,1,,
,"Agricultural Mechanization Ser-
vices (AMS Garsen station)","18,284,500.00","11,107,753.05","7,176,746.95",60.75,428,1,,
,Minor/Village irrigation schemes,"47,000,000.00","24,160,904.80","22,839,095.20",51.41,428,1,,
,Agricultural Extension Services,"88,523,658.00","77,825,021.00","10,698,637.00",87.91,428,1,,
,Village Irrigation Scheme,"4,738,000.00","2,870,739.00","1,867,261.00",60.59,428,1,,
,"Administration, planning support
services","355,271,550.00","223,172,923.05","132,098,626.95",62.82,428,1,,
,"Agriculture Sector Development
Support Project (ASDSP)","40,286,606.00","14,965,394.00","25,321,212.00",37.15,428,1,,
,"Food and Agriculture Organiza-
tion","1,320,000.00","430,900.00","889,100.00",32.64,428,1,,
,Veterinary Development,"51,736,818.00","38,251,575.80","13,485,242.20",73.93,428,1,,
,,,"631,860.00","3,005,640.00",17.37,429,0,Veterinary extension services,"3,637,500.00"
,,,"936,493.30","1,326,506.70",41.38,429,0,"Artificial insemination (Pilot
scheme)","2,263,000.00"
,,,"2,020,649.80","816,222.20",71.23,429,0,"Buy Tsetse fly traps/Targets (Kipi-
ni, Tarasaa)","2,836,872.00"
,,,"4,785,952.15","2,920,647.85",62.1,429,0,Conduct Disease Surveillance,"7,706,600.00"
,,,"29,613,620.55","3,647,225.45",89.03,429,0,"Artificial insemination (Pilot
scheme)","33,260,846.00"
,,,"263,000.00","1,769,000.00",12.94,429,0,Leather Development Service,"2,032,000.00"
,,,"27,793,340.10","10,134,159.90",73.28,429,0,Livestock Development,"37,927,500.00"
,,,"385,800.00","2,656,700.00",12.68,429,0,"Livestock production extension
services","3,042,500.00"
,,,"27,347,340.10","157,659.90",99.43,429,0,Livestock Development,"27,505,000.00"
,,,-,"980,000.00",0,429,0,Fodder Development,"980,000.00"
,,,"60,200.00","6,339,800.00",0.94,429,0,Irrigation Fodder Production,"6,400,000.00"
,,,-,"34,076,043.00",0,429,0,Fisheries Development,"34,076,043.00"
,,,-,"34,076,043.00",0,429,0,Fisheries development,"34,076,043.00"
"Lands and Physi-
cal Planning",,,"1,970,935.00","-1,970,935.00",-,429,0,County Land Survey Services,-
,,,"1,970,935.00","-1,970,935.00",-,429,0,Surveying and Mapping,-
,,,"10,823,902.40","3,934,928.60",73.34,429,0,Fisheries,"14,758,831.00"
,,,"171,148.00","1,918,852.00",8.19,429,0,"Empowerment of Women and
Youth on Fish Safety and Quality
Assurance","2,090,000.00"
,,,"10,652,754.40","2,016,076.60",84.09,429,0,"Construction of Ice Plant and
Cold Storage","12,668,831.00"
,,,"116,489,411.00","32,748,709.00",78.06,429,0,Land Policy and Planning,"149,238,120.00"
,,,"54,515,179.00","12,545,124.00",81.29,429,0,Physical Planning,"67,060,303.00"
,,,"49,926,532.00","11,251,285.00",81.61,429,0,Land Survey and Mapping,"61,177,817.00"
,,,"12,047,700.00","8,952,300.00",57.37,429,0,Land Administration,"21,000,000.00"
