Department,Programme/ Sub Programme,"FY 2021/22
Budget","FY 2021/22
Expenditure",Absorption,Variance (Kshs.),page_number,table_index
,Programme 1: General administration & planning,,,,,265,1
,P1.1: General administration & planning,"642,410,018","368,656,801",5,"7 273,753,217",265,1
,"Programme 2: Land, Crop development & productivit",,,,y,265,1
,Programme 3: Agribusiness and information management,,,,,266,0
,"SP3.1: Agribusiness and information man-
agement","226,234,168","125,733,598",56,"100,500,570",266,0
,"Programme 4: Livestock Production, Management and Development",,,,,266,0
,"SP4.1: Livestock Production, Management
and Development","63,048,271","27,132,620",43,"35,915,651",266,0
,Total Budget,"1,015,732,890","551,832,853",54,"463,900,037",266,0
"Transport & In-
frastructure",Programme 1: General administration & planning,,,,,266,0
,SP1.1: General administration & planning,"140,610,589","122,919,928",87,"17,690,662",266,0
,Programme 2: Road transport,,,,,266,0
,SP2.1: Road transport,"733,163,986","626,647,155",85,"106,516,832",266,0
,Programme 3: Infrastructure development,,,,,266,0
,SP3.1: Infrastructure development,"33,459,460","22,445,369",67,"11,014,091",266,0
,Programme 4: Energy Infrastructure & development,,,,,266,0
,SP4.1: Energy Infrastructure & development,"165,566,153","110,589,602",67,"54,976,551",266,0
,Total Budget,"1,072,800,188","882,602,053",82,"190,198,136",266,0
"Trade, Industry &
Cooperatives",Programme 1: General administration & planning,,,,,266,0
,SP1.1: General administration & planning,"45,877,893","35,588,772",78,"10,289,121",266,0
,Programme 2: Trade development & promotion,,,,,266,0
,SP2.4: Trade marketing & promotion,"38,670,181","28,770,446",74,"9,899,736",266,0
,Programme 3: Industrial development and promotion,,,,,266,0
,"SP3.1: Industrial development and promo-
tion","4,237,700","2,838,713",67,"1,398,987",266,0
,Programme 4: Tourism development & promotion,,,,,266,0
,SP4.1: Tourism development & promotion,"5,365,500","3,437,960",64,"1,927,540",266,0
,Programme 5: Cooperative development and management,,,,,266,0
,"SP5.1: Cooperative development and man-
agement","8,965,000","7,694,490",86,"1,270,510",266,0
,Total Budget,"103,116,274","78,330,380",76,"24,785,894",266,0
"Land, Physical
Planning & Min-
ing",Programme 1: General administration & planning,,,,,266,0
,SP1.1: General administration & planning,"64,218,560","57,330,478",89,"6,888,082",266,0
,Programme 2: Land Survey & Mapping,,,,,266,0
,SP2.1:: Land Survey & Mapping,"42,087,710","25,307,865",60,"16,779,846",266,0
,Programme 3: Urban planning,,,,,266,0
,SP3.1: Urban planning,"200,850,178","115,898,294",58%,"84,951,884",266,0
,Programme 4: Mining mapping & development,,,,,266,0
,SP4.1: Mining mapping & development,"3,300,000","2,620,447",79,"679,553",266,0
,Programme 5: Environment management and protection,,,,,266,0
,"SP5.1: Environment management and pro-
tection","117,036,829","87,385,641",75,"29,651,188",266,0
,Total Budget,"427,493,277","288,542,725",67,"138,950,552",266,0
"Water, Irrigation
& Environment",Programme 1: General administration & planning,,,,,266,0
,SP1.1 General administration & planning,"142,104,202","109,347,950",77,"32,756,251",266,0
,Programme 2: Water Infrastructure Development,,,,,266,0
,SP 2.1: Water harvesting and storage,"113,659,566","87,140,061",77,"26,519,505",266,0
,SP 2.2: Piped water supply infrastructure,"245,295,550","165,480,125",67,"79,815,426",266,0
,SP 2.3: Groundwater development,"167,572,682","94,836,727",57,"72,735,955",266,0
,Total Budget,"668,632,000","456,804,863",68,"211,827,136",266,0
Sand Authority,Programme 1: General administration & planning,,,,,266,0
,SP1.1: General administration & planning,"83,828,840","19,625,278",23,"64,203,562",266,0
,Total Budget,"83,828,840","19,625,278",23,"64,203,562",266,0
Education & ICT,Programme 1: General administration & planning,,,,,267,0
,SP1.1: General administration & planning,"348,954,834","338,675,968",97,"10,278,866",267,0
,Programme 2: Early childhood education,,,,,267,0
,SP2.1: Early childhood education,"147,627,930","128,253,082",87,"19,374,848",267,0
,Programme 3: Technical training & non-formal education,,,,,267,0
,"SP3.1: Technical training & non-formal ed-
ucation","76,808,762","59,776,557",78,"17,032,205",267,0
,Programme 4: Support for education,,,,,267,0
,SP4.1: Support for education,"119,920,486","104,885,511",87,"15,034,975",267,0
,Programme 5: ICT Infrastructure & Systems Development,,,,,267,0
,"SP5.1: ICT Infrastructure & Systems Devel-
opment","41,455,005","25,112,906",61,"16,342,099",267,0
,Programme 6: Sports Development,,,,,267,0
,SP6.1: Sports Development,"69,852,152","39,544,200",57,"30,307,952",267,0
