Program/Sub Program,"Approved Budget FY
2021/22","Actual Payments FY
2021/22",Variance,Absorption,page_number,table_index
"Agriculture, Livestock and Fisheries","816,556,892","517,385,297","299,171,595",63.4,475,0
Administration-,"254,969,699","240,515,383","14,454,316",94.3,475,0
Crop Development and Management,"9,600,000","7,095,000","2,505,000",73.9,475,0
Administration Support Services,"245,369,699","233,420,383","11,949,316",95.1,475,0
Livestock,"5,000,000","1,118,976","3,881,024",22.4,475,0
Crop Development and Management,"5,000,000","1,118,976","3,881,024",22.4,475,0
Agriculture,"511,684,490","256,279,558","255,404,932",50.1,475,0
Livestock Resource Management and Development,"2,500,000","1,864,600","635,400",74.6,475,0
Crop Development and Management,"509,184,490","254,414,958","254,769,532",50.0,475,0
Chebororwa Training Center,"10,940,423","2,292,944","8,647,479",21.0,475,0
Agricultural Training Services - Chebororwa,"10,940,423","2,292,944","8,647,479",21.0,475,0
,Kshs.,Kshs.,Kshs.,Percentage,476,0
Agricultural Machinery Service,"33,962,280","17,178,435","16,783,845",50.6,476,0
Agricultural Mechanization Services,"33,962,280","17,178,435","16,783,845",50.6,476,0
,,,,,476,0
"Trade, Cooperatives, Tourism and Wildlife","319,694,974","225,128,977","94,565,997",70.4,476,0
Administration-,"103,575,353","95,896,801","7,678,552",92.6,476,0
Administration and Support Services,"103,575,353","95,896,801","7,678,552",92.6,476,0
Trade Department,"216,119,621","129,232,176","86,887,445",59.8,476,0
Trade Development and Investment,"144,721,138","93,346,373","51,374,765",64.5,476,0
Market Services,"71,398,483","35,885,803","35,512,680",50.3,476,0
,,,,,476,0
"Education, Social Cultural, Youth and Sports","700,098,622","576,943,868","123,154,754",82.4,476,0
Administration,"282,527,039","267,580,682","14,946,357",94.7,476,0
Administration and Support Services,"274,527,039","263,580,682","10,946,357",96.0,476,0
Basic Education,"8,000,000","4,000,000","4,000,000",50.0,476,0
Education Department,"367,884,868","270,722,646","97,162,222",73.6,476,0
Basic Education,"356,884,868","263,226,203","93,658,665",73.8,476,0
Early Childhood Education and Training,"11,000,000","7,496,443","3,503,557",68.1,476,0
Department of Culture,"44,186,715","33,140,540","11,046,175",75.0,476,0
Administration and Support Services,"32,000,000","31,991,030","8,970",100.0,476,0
Community Development Services,"12,186,715","1,149,510","11,037,205",9.4,476,0
,"5,500,000","5,500,000",-,100.0,476,0
Social Development Services,"5,500,000","5,500,000",-,100.0,476,0
,,,,,476,0
County Public Service Board,"66,049,506","41,378,986","24,670,520",62.6,476,0
Headquarters,"66,049,506","41,378,986","24,670,520",62.6,476,0
Administration and Support Services,"66,049,506","41,378,986","24,670,520",62.6,476,0
,,,,,476,0
County Assembly,"1,026,425,298","788,910,868","237,514,431",76.9,476,0
Headquarters,"1,026,425,298","788,910,868","237,514,431",76.9,476,0
County Planning and Economic Policy Management,"1,026,425,298","788,910,868","237,514,431",76.9,476,0
,,,,,476,0
Budget and Economic Planning,"195,549,887","182,805,512","12,744,375",93.5,476,0
,"110,563,087","98,013,857","12,549,230",88.6,476,0
County Planning and Economic Policy Management,"110,563,087","98,013,857","12,549,230",88.6,476,0
,"12,288,145","12,093,000","195,145",98.4,476,0
County Planning and Economic Policy Management,"12,288,145","12,093,000","195,145",98.4,476,0
,"40,548,655","40,548,655",-,100.0,476,0
County Planning and Economic Policy Management,"40,548,655","40,548,655",-,100.0,476,0
,"32,150,000","32,150,000",-,100.0,476,0
County Planning and Economic Policy Management,"32,150,000","32,150,000",-,100.0,476,0
,,,,,476,0
Devolution and Public Administration,"424,936,276","253,902,690","171,033,586",59.8,476,0
,"424,936,276","253,902,690","171,033,586",59.8,476,0
Administration Support Services,"180,836,544","138,769,852","42,066,692",76.7,476,0
Administration and Support Services,"244,099,732","115,132,838","128,966,894",47.2,476,0
,,,,,476,0
Youth and Sports Development,"453,364,198","366,669,532","86,694,666",80.9,476,0
Administration,"178,053,283","159,380,022","18,673,261",89.5,476,0
Administration and Support Services,"177,953,283","159,280,022","18,673,261",89.5,476,0
,Kshs.,Kshs.,Kshs.,Percentage,477,0
"Management and Development of Sports and Sports
Facilities","100,000","100,000",-,100.0,477,0
,"146,011,263","121,579,401","24,431,862",83.3,477,0
Administration and Support Services,"93,611,263","70,009,901","23,601,362",74.8,477,0
Youth Training and Development,"52,400,000","51,569,500","830,500",98.4,477,0
,"129,299,652","85,710,109","43,589,543",66.3,477,0
Tourism Development and Marketing,"55,000,000","32,677,163","22,322,837",59.4,477,0
Administration and Support Services,"45,023,638","45,023,638",-,100.0,477,0
"Management and Development Of Sports And Sports
Facilities","29,276,014","8,009,308","21,266,706",27.4,477,0
,,,,,477,0
Cooperatives and Enterprise Development,"174,015,073","167,102,031","6,913,042",96.0,477,0
Administration,"54,115,073","47,202,031","6,913,042",87.2,477,0
