Programme,Sub- Programme,"Approved Budget
(Kshs) (","Actual Payments
Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
County Assembly,Office of the speaker,"6,355,200","1,317,568","5,037,632",20.7,195,1,,
,"Representation, legislative and
oversight services","232,407,914","192,180,784","40,227,130",82.7,195,1,,
,county assembly service board,"862,822,468","767,464,428","95,358,040",88.9,195,1,,
,Sub total,"1,101,585,582","960,962,780","140,622,802",87.2,195,1,,
County Executive,"Administration, planning and
support services","376,287,952","314,744,450","61,543,502",83.6,195,1,,
,office of the county secretary,"21,890,000","14,854,343","7,035,657",67.9,195,1,,
,legal services,"7,320,000","4,126,722","3,193,278",56.4,195,1,,
,communication services,"24,570,000","16,523,757","8,046,243",67.3,195,1,,
,special programmes,"7,950,000","7,101,805","848,195",89.3,195,1,,
,public-private partnership,"6,900,000","3,852,310","3,047,690",55.8,195,1,,
,Advisory services,,,"2,290,758",66.1,196,0,"6,750,000","4,459,242"
,Chief of staff,,,"870,100",81.5,196,0,"4,700,000","3,829,900"
,County public service Board,,,"19,633,491",50.9,196,0,"39,970,000","20,336,509"
,Sub total,,,"106,508,914",78.5,196,0,"496,337,952","389,829,038"
"Administration
and Stakeholder
management","Administration, planning and
support services",,,"27,400,353",94.2,196,0,"472,385,448","444,985,095"
,devolved units services,,,"47,842,457",23.9,196,0,"62,843,694","15,001,237"
,"Human Resource Develop-
ment",,,"7,173,108",28.6,196,0,"10,050,000","2,876,892"
,Enforcement services,,,"3,902,300",55.7,196,0,"8,800,000","4,897,700"
,Stakeholder management,,,"42,133,922",16.3,196,0,"50,309,602","8,175,680"
,"public participation and civic
Education",,,"2,514,660",60.1,196,0,"6,300,000","3,785,340"
,disaster management,,,"4,721,823",62.6,196,0,"12,626,255","7,904,432"
,Fleet Management,,,"1,658,684",76.3,196,0,"7,000,000","5,341,316"
,Sub total,,,"137,347,307",78.2,196,0,"630,314,999","492,967,692"
"Finance & Eco-
nomic planning","Administration, coordination
and support services",,,"102,209,810",90.3,196,0,"1,051,044,503","948,834,693"
,"public financial management
services",,,"27,399,391",65.7,196,0,"79,825,000","52,425,609"
,county planning services,,,"54,758,978",78.3,196,0,"252,835,594","198,076,616"
,Sub total,,,"184,368,179",86.7,196,0,"1,383,705,097","1,199,336,918"
"Agriculture, Live-
stock, Veterinary
& Fisheries","administrative and support
services",,,"308,202,580",35.2,196,0,"475,889,510","167,686,930"
,"crop development and value
addition",,,"(7,221,810)",101.8,196,0,"395,303,675","402,525,485"
,livestock development,,,"2,026,146",96.7,196,0,"60,590,000","58,563,854"
,veterinary services,,,"5,536,688",98.0,196,0,"276,888,980","271,352,292"
,"co-operative development and
management",,,"1,098,115",64.6,196,0,"3,100,000","2,001,885"
,fisheries development,,,"6,620,867",87.2,196,0,"51,751,910","45,131,043"
,"Kisii agricultural training cen-
tre",,,"8,690,789",68.0,196,0,"27,184,180","18,493,391"
,Sub total,,,"324,953,375",74.8,196,0,"1,290,708,255","965,754,880"
"Energy, Environ-
ment And Natural
Resources","administration and planning
services",,,"10,760,764",81.5,196,0,"58,166,331","47,405,567"
,water and sanitation services,,,"150,458,657",52.6,196,0,"317,222,867","166,764,210"
,environment management,,,"9,307,000",31.1,196,0,"13,500,000","4,193,000"
,energy services,,,"5,214,259",10.7,196,0,"5,841,809","627,550"
,Sub total,,,"175,740,680",55.5,196,0,"394,731,007","218,990,327"
"Education, Youth
Affairs & Social
Development","general administration and
planning services",,,"19,579,595",96.0,196,0,"485,517,045","465,937,450"
,"early childhood development
education",,,"83,312,123",3.9,196,0,"86,707,636","3,395,513"
,vocational training,,,"43,876,393",34.7,196,0,"67,179,898","23,303,505"
,Sub total,,,"146,768,111",77.0,196,0,"639,404,579","492,636,468"
"County Health
Services",medical services,,,"602,313,033",84.6,196,0,"3,920,271,432","3,317,958,399"
,public health,,,"26,128,740",42.0,196,0,"45,060,000","18,931,260"
,Sub total,,,"628,441,773",84.2,196,0,"3,965,331,432","3,336,889,659"
