Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
Finance & Economic Planning,,,,,226,1
"Budget formulation, coordination and manage-
ment","216,983,511","216,759,921","223,590",99.90,226,1
Audit Services,"271,044,476","255,614,336","15,430,140",94.31,226,1
General Administration,"640,327,306","559,788,188","80,539,118",87.42,226,1
Revenue Collection Management,"94,399,740","76,513,758","17,885,982",81.05,226,1
Public Finance and Accounting Services,"17,263,209","17,230,103","33,106",99.81,226,1
Procurement Services,"10,267,000","6,867,668","3,399,332",66.89,226,1
Risk Assurance Services,,,,,226,1
Subtotal,"1,250,285,242","1,132,773,974","117,511,268",90.60,227,0
"Agriculture, Livestock and Fisheries",,,,,227,0
General administration and support services,"234,500,815","188,385,377","46,115,438",80.33,227,0
Personnel Services,"148,745,355","148,115,468","629,887",99.58,227,0
Crop Production and Food Security,"338,994,708","7,613,966","331,380,742",2.25,227,0
"Agricultural Extension, Research and Training","5,641,244","5,296,134","345,110",93.88,227,0
"Farm Land Utilisation, Mechanisation and Crop
Storage","37,544,590","33,486,876","4,057,714",89.19,227,0
Dairy and Meat Production,"2,204,736","876,086","1,328,650",39.74,227,0
"Value Addition of Livestock and Livestock Prod-
ucts","24,101,305","19,897,867","4,203,438",82.56,227,0
Livestock Disease Control,"21,463,214","19,099,617","2,363,597",88.99,227,0
Fish production Management,"2,069,096","1,514,098","554,998",73.18,227,0
Value Addition and Marketing,"13,169,000","10,241,039","2,927,961",77.77,227,0
Subtotal,"828,434,063","434,526,528","393,907,535",52.45,227,0
"Land, Environment, Mining and natural re-
sources",,,,,227,0
General administration and support services,"176,881,031","127,985,184","48,895,847",72.36,227,0
Personnel Services,"29,109,681","28,962,844","146,837",99.50,227,0
Urban Development Support Services,"35,272,295","18,262,165","17,010,130",51.77,227,0
Physical development plans,"21,289,161","26,520,107","(5,230,946)",124.57,227,0
Establishment of squatter settlement schemes,"66,117,400","65,474,360","643,040",99.03,227,0
County Environmental Awareness Initiative,"31,552,666","19,530,832","12,021,834",61.90,227,0
"Empowering communities in the extractive in-
dustry","300,000","291,100","8,900",97.03,227,0
Subtotal,"360,522,234","287,026,592","73,495,642",79.61,227,0
Medical and Public Health Services,,,,,227,0
Maternal newborn and child health,"116,947,169","29,702,211","87,244,958",25.40,227,0
Public health Hygiene,"2,495,000","2,379,783","115,217",95.38,227,0
Medical Health Drugs,"425,110,750","425,085,369","25,381",99.99,227,0
General Administration,"789,924,540","632,910,219","157,014,321",80.12,227,0
Personnel Services,"1,697,432,139","1,681,343,137","16,089,002",99.05,227,0
Msambweni hospital,"78,107,710","64,427,784","13,679,926",82.49,227,0
Kinango Hospital,"38,100,000","37,183,464","916,536",97.59,227,0
Kwale Hospital,"37,160,000","23,777,061","13,382,939",63.99,227,0
Tiwi Rural Health Facility,"16,753,554","8,236,167","8,517,387",49.16,227,0
Samburu Hospital,"30,138,000","11,201,630","18,936,370",37.17,227,0
Lunga Lunga Hospital,"30,035,694","19,238,465","10,797,229",64.05,227,0
Rural Health facilities,"366,132,900","105,738,337","260,394,563",28.88,227,0
Diani Health Centre,"2,590,000","2,280,750","309,250",88.06,227,0
Subtotal,"3,630,927,456","3,043,504,377","587,423,079",83.82,227,0
County Assembly,,,,,227,0
Audit Services,"297,089,336","297,089,336",-,100.00,227,0
General Administration,"555,937,666","380,944,541","174,993,125",68.52,227,0
Oversight and legislation of county affairs,"175,259,611","173,210,244","2,049,367",98.83,227,0
Subtotal,"1,028,286,613","851,244,121","177,042,492",82.78,227,0
"Trade, Investment and Co-operative Develop-
ment",,,,,227,0
"Building capacity of traders for better market ac-
cess","9,442,500","8,726,930","715,570",92.42,227,0
Enforcement of Weights & Measures Act,"6,470,000","6,265,355","204,645",96.84,227,0
Investment publicity and promotion,"12,108,666","10,990,709","1,117,957",90.77,227,0
Personnel Services,"38,914,187","38,515,305","398,882",98.97,227,0
Administration Services,"92,855,762","73,480,578","19,375,184",79.13,227,0
Rehabilitation of Existing Markets,"5,590,000","4,588,257","1,001,743",82.08,227,0
,,,"13,381,097",77.17,227,0
Investment Promotion Services,"46,987,038","16,795,712","30,191,326",35.75,228,0
Subtotal,"270,967,948","204,581,544","66,386,404",75.50,228,0
Community Development,,,,,228,0
Social services,"32,349,702","21,602,988","10,746,714",66.78,228,0
Community development,"15,909,464","15,886,580","22,884",99.86,228,0
Drug and substance abuse management,"6,430,000","6,424,446","5,554",99.91,228,0
"Protection and promotion of positive culture and
heritage","22,125,966","22,125,687",279,100.00,228,0
Youth sporting talent search and development,"4,810,000","4,718,192","91,808",98.09,228,0
Sports development program,"61,442,368","52,758,113","8,684,255",85.87,228,0
Youth empowerment program,"39,117,000","39,114,115","2,885",99.99,228,0
Personnel Services,"36,599,694","36,571,118","28,576",99.92,228,0
Administration Services,"118,978,462","84,267,210","34,711,252",70.83,228,0
Subtotal,"337,762,656","283,468,449","54,294,207",83.93,228,0
Executive Services,,,,,228,0
Audit Services,"63,667,334","62,975,189","692,145",98.91,228,0
General Administration,"83,910,770","35,510,122","48,400,648",42.32,228,0
Legal Advisory Services,"1,631,600","1,306,522","325,078",80.08,228,0
Media and Communication Services,"6,499,393","5,076,684","1,422,709",78.11,228,0
Subtotal,"155,709,097","104,868,517","50,840,580",67.35,228,0
Education,,,,,228,0
Early childhood and development,"48,453,856","47,987,396","466,460",99.04,228,0
Infrastructure Development,"378,323,222","225,928,199","152,395,023",59.72,228,0
Administration Planning and support services,"358,421,587","261,364,631","97,056,956",72.92,228,0
Personnel Services,"498,231,871","498,231,169",702,100.00,228,0
Administration,"10,633,300","10,037,095","596,205",94.39,228,0
Infrastructure Development,"79,128,116","11,280,479","67,847,637",14.26,228,0
Scholarship and Bursary,"450,000,000","450,000,000",-,100.00,228,0
Subtotal,"1,823,191,952","1,504,828,969","318,362,983",82.54,228,0
Water Services,,,,,228,0
"Construction and maintenance of water pipeline
supply systems","96,440,569","63,552,165","32,888,404",65.90,228,0
Development of Borehole water supply systems,"132,697,137","82,304,864","50,392,273",62.02,228,0
"Development/Construction of Surface water sup-
ply systems","144,747,984","82,783,627","61,964,357",57.19,228,0
Community Water Project,"77,716,917","57,125,752","20,591,165",73.50,228,0
Personnel Services,"31,125,222","30,935,977","189,245",99.39,228,0
Administration Services,"978,767,166","450,584,409","528,182,757",46.04,228,0
Subtotal,"1,461,494,995","767,286,794","694,208,201",52.50,228,0
Roads and Public Works,,,,,228,0
"Rehabilitation of Roads, Drainage and Bridges","454,630,726","193,829,295","260,801,431",42.63,228,0
Installation of Street Lighting Facilities,"55,093,646","42,621,227","12,472,419",77.36,228,0
Personnel Services,"63,396,057","61,046,318","2,349,739",96.29,228,0
Administration Services,"405,039,363","331,061,267","73,978,096",81.74,228,0
Subtotal,"978,159,792","628,558,107","349,601,685",64.26,228,0
Tourism and ICT,,,,,228,0
Tourism promotion,"32,646,902","28,994,221","3,652,681",88.81,228,0
Personnel Services,"24,653,766","22,762,872","1,890,894",92.33,228,0
Administration Services,"43,897,757","41,120,799","2,776,958",93.67,228,0
