Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Office of the Governor,,,,,,193,1
"Co-ordination and Supervisory
Services","Co-ordination and Supervisory
Services","558,128,499","279,575,323","278,553,176",50.1,193,1
,Sub total,"558,128,499","279,575,323","278,553,176",50.1,193,1
Finance and Revenue Management,,,,,,193,1
Revenue Management,Revenue Management,"186,928,163","63,611,580","123,316,583",34.0,193,1
Financial Management,"Budget Formulation, Coordina-
tion and Implementation","38,652,240","16,882,088","21,770,152",43.7,193,1
Supply Chain Management,Supply Chain Management,"4,271,964",-,"4,271,964",-,193,1
Accounts Services,Accounts Services,"10,735,603","10,727,910","7,693",99.9,193,1
Audit Services,Audit Services,"4,101,320","2,297,730","1,803,590",56.0,193,1
"Human Resource Management
and Support Services","Human Resource Management
and Support Services","282,149,172","145,555,880","136,593,292",51.6,193,1
"County Planning and Statistical
Information Services","County Planning and Statistical
Information Services","43,562,000","7,459,228","36,102,772",17.1,193,1
,Sub total,"570,400,462","246,534,416","323,866,046",43.2,193,1
"Public Service, Quality Management and ICT",,,,,,193,1
"General Administration and Sup-
port Services",Support Services,"621,103,613","1,961,815,220","(1,340,711,606)",315.9,193,1
Quality Management,Quality Management,"950,000",-,"950,000",-,193,1
"Training, Research and Develop-
ment","Human Resource Capacity Devel-
opment","108,995,411","1,983,740","107,011,671",1.8,193,1
ICT Infrastructure,ICT Infrastructure,"83,911,182","15,155,991","68,755,191",18.1,193,1
Closed Circuit Television (CCTV),Closed Circuit Television (CCTV),"2,245,000",-,"2,245,000",-,193,1
,Sub total,"817,205,207","1,978,954,951","(1,161,749,743)",242.2,194,0
County Public Service Board,,,,,,194,0
Human Resource Administration,Human Resource Administration,"62,988,944","13,486,213","49,502,732",21.4,194,0
,Sub total,"62,988,944","13,486,213","49,502,732",21.4,194,0
"Roads, Transport and Public Works",,,,,,194,0
"General Administration and Sup-
port Services",Support Services,"232,336,447","64,868,511","167,467,936",27.9,194,0
"Road Development and Manage-
ment","Road Development and Manage-
ment","763,965,251","314,965,906","448,999,345",41.2,194,0
"County Government Buildings
Services","County Government Buildings
Services","319,048,005","247,922,909","71,125,096",77.7,194,0
County Fleet Management,County Fleet Management,"122,988,387","46,538,580","76,449,807",37.8,194,0
,Sub total,"1,438,338,090","674,295,907","764,042,183",46.9,194,0
Health and Emergency Services,,,,,,194,0
"General Administration And Sup-
port Services",Support Services,"2,923,002,743","1,544,388,129","1,378,614,613",52.8,194,0
Preventive and Promotive Services,Preventive and Promotive Services,"926,013,550","94,292,517","831,721,033",10.2,194,0
