Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),Absorption (%),page_number,table_index
,"Co-operative Development and
Promotion","28,178,850","5,993,130.15",-,21.3,137,0
Public Service Management,Sub total,"443,791,980","232,717,417.00",-,52.4,137,0
,County Secretary,"19,208,122","13,122,900.00",-,68.3,137,0
,"Administration, Planning and
Support Services","551,111,438","391,715,334.50",-,71.1,137,0
,Human resource Management,"8,580,000","1,656,615.00",-,19.3,137,0
,"Strategic Human Resource Man-
agement","2,668,000","1,552,774.00",-,58.2,137,0
,Development,"2,500,000",,-,-,137,0
Water & Sanitation,Sub total,"584,067,560","408,047,623.50",-,69.9,137,0
,"General Administration, Plan-
ning and Support Services","231,930,095","134,378,924","97,551,171",57.9,137,0
,Water Resource management,"1,122,098,708","158,051,856","964,046,852",14.1,137,0
,Sub total,"1,354,028,803","292,430,780","1,061,598,023",21.6,137,0
Public Health,"Health Promotion & Non com-
bative prevention","665,624,896","137,898,056",-,20.7,137,0
,Sub total,"665,624,896","137,898,056",-,20.7,137,0
County Public Service Board,General Administration,"82,345,935","12,412,984",-,15.1,137,0
,Sub total,"82,345,935","12,412,984",-,15.1,137,0
Physical Planning,"Urban Development and Man-
agement","58,000,000","41,750,000",-,72.0,137,0
,Land Use and Planning,"16,399,000","2,591,682",-,15.8,137,0
,"Housing Development and Hu-
man Settlement","2,200,000","1,019,600",-,46.3,137,0
,Government Buildings,"4,476,595","50,000",-,1.1,137,0
,Development,"95,869,941",-,-,-,137,0
,Sub total,"176,945,536","45,411,282.",-,25.7,137,0
