Programme,Sub- Programme,"Approved Budget
(Kshs)",Expenditure (Kshs),Variance (Kshs),Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,90,1
"Policy Planning, General Ad-
ministration and Support Ser-
vices",Policy and Planning Services,"4,000,000",-,"4,000,000",-,90,1
,"General Administration and
Support Services","194,973,123","101,342,909","93,630,214",52.0,90,1
,Sub total,"198,973,123","101,342,909","97,630,214",50.9,90,1
"Crop, Land and Agribusiness
Development Services",Crop Development Services,"17,906,014","15,072,297","2,833,717",84.2,90,1
,"Agribusiness Development Ser-
vices","25,687,000",-,"25,687,000",-,90,1
,Land Development Services,"20,500,000",-,"20,500,000",-,90,1
,"National Agriculture Rural In-
clusive Growth","350,000,000","10,021,200","339,978,800",2.9,90,1
,"Agriculture Sector Development
Support Programme","22,845,232",-,"22,845,232",-,90,1
,Sub total,"436,938,246",-,"411,844,749",-,90,1
"Food Security Enhancement Ser-
vices",Farm Input Access Services,"19,497,000","15,931,777","3,565,223",81.7,90,1
,"Sub Sector Infrastructure Devel-
opment Services","15,000,000",-,"15,000,000",-,90,1
,Sub total,"34,497,000",-,"18,565,223",-,90,1
"Fisheries Resources Develop-
ment Services",Capture Fisheries,"12,442,238",-,"12,442,238",-,90,1
,Farmed Fish Production,"54,581,800",-,"54,581,800",-,90,1
,Sub total,"67,024,038",-,"67,024,038",-,90,1
"Livestock Development Pro-
gramme","Livestock Improvement and De-
velopment","36,352,000",-,"36,352,000",-,90,1
,"Livestock Products Value Addi-
tion and Marketing","36,110,000",-,"36,110,000",-,90,1
,"Livestock Health and Disease
Management","5,613,000",-,"5,613,000",-,90,1
,Sub total,"78,075,000",-,"78,075,000",-,90,1
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,90,1
"Policy, Planning and General
Administration services","General Administration and
Support Services","38,486,669","34,494,999","3,991,670",89.6,90,1
,Policy and Planning Services,"2,000,000",-,"2,000,000",-,90,1
,Sub total,"40,486,669","34,494,999","5,991,670",-,90,1
"Tourism and Culture Develop-
ment Promotion Services","Tourism Development and Pro-
motion Services","12,615,425",-,"12,615,425",-,91,0
,"Cultural Development and Pro-
motion Services","14,000,000",-,"14,000,000",-,91,0
,Sub total,"26,615,425",-,"26,615,425",-,91,0
"Social Development and Em-
powerment Services","Gender and Women Empower-
ment","1,895,000",-,"1,895,000",-,91,0
,"Social Development and Sup-
port Services","16,095,316","3,876,527","12,218,789",24.1,91,0
