Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","I
Variance (Kshs.)
S","mplementation
tatus (%)",page_number,table_index,"Actual Payments
V
(Kshs)","Im
ariance (Kshs.)
St","plementation
atus (%)"
"COUNTY ASSEMBLY
BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMES REPORT AS AT 31ST MARCH, 2019 (FIRST NINE MONTHS, FY2019/20)",,,,,,121,1,,,
Speaker's office,Speaker's office,"386,811,794","289,527,217","97,284,577",74.8,121,1,,,
Clerk's Office,Clerk's Office,"314,250,754","206,394,939","107,855,815",65.7,121,1,,,
County Assembly Service Board,"County Assembly Service
Board","21,762,996","12,950,511","8,812,485",59.5,121,1,,,
,,"722,825,544","508,872,667","213,952,877",70.4,121,1,,,
DEPARTMENT: GOVERNOR'S OFFICE,,,,,,121,1,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMES REPORT AS AT 31ST MARCH, 2019 (FIRST NINE MONTHS, FY2019/20)",,,,,,121,1,,,
County Coordination Services,"County Coordination Ser-
vices","100,596,799","85,427,605","15,169,194",84.9,121,1,,,
Public sector advisory services,"Economic and Social Adviso-
ry Service","23,432,859","22,041,351","1,391,508",94.0,121,1,,,
,,"124,029,658","107,468,956","16,560,702",86.6,121,1,,,
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,121,1,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMES REPORT AS AT 31ST MARCH, 2019 (FIRST NINE MONTHS, FY2019/20)",,,,,,121,1,,,
"Administration, Planning and Support
Services.",Administration Services.,"1,053,915,888","215,262,","082 838,653,806",20.4,121,1,,,
"Administration, Planning and Support
Services.","Monitoring Budget Imple-
mentation and Reporting","20,678,041","11,566,","240 9,111,801",55.9,121,1,,,
Public Finance Management,"Budget Formulation co-or-
dination and management","36,607,709","35,146,","729 1,460,980",96.0,121,1,,,
Audit Services,County Audit,"8,346,980","5,271,","157 3,075,823",63.1,121,1,,,
,,"1,119,548,618","267,246,","208 852,302,410",23.8,121,1,,,
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERI",,,,ES,,121,1,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,121,1,,,
"Policy, Strategy and Management of
Agriculture","Development of Agri-
cultural Policy, Legal &
Regulatory framework.","40,616,334",,,,122,0,"14,586,367","26,029,96",7 35.9
Crop Development and Management,"Agriculture Extension
Services","284,399,792",,,,122,0,"72,552,063","211,847,72",9 25.5
"Livestock Resource Management and
Development","Livestock Disease Manage-
ment and Control.","16,489,873",,,,122,0,"6,800,409","9,689,46",4 41.2
"Livestock Resource Management and
Development","Livestock Production and
Extension Services","64,287,746",,,,122,0,"35,204,208","29,083,53",8 54.7
Fisheries development,"Management and Develop-
ment of Capture Fisheries","11,930,057",,,,122,0,"2,620,400","9,309,65",7 21.9
,,"417,723,802",,,,122,0,"131,763,447","285,960,35",5 31.5
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
"Environment policy development and
coordination","Planning Coordination
Policy and Administrative
Services","160,574,890",,,,122,0,"88,733,222","71,841,66",8 55.2
Water supply services,Rural Water Supply,"381,355,583",,,,122,0,"124,457,027","256,898,55",6 32.6
,,"541,930,473",,,,122,0,"213,190,249","328,740,22",4 39.3
"DEPARTMENT:EDUCATION, YOUTH AFFAIRS, CHILDREN, CULTURE AND SOCIAL SERVICES",,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
"General Administration & planning
services.","Policy Development and
Administration","256,955,668",,,,122,0,"168,661,198","88,294,47",0 65.6
Basic Education,"Early Childhood Develop-
ment Education","469,761,660",,,,122,0,"46,141,667","423,619,99",2 9.8
Gender and Social Development,"Social Welfare Services/
Social Infrastructure Devel-
opment","13,270,000",,,,122,0,"5,481,589","7,788,41",1 41.3
,,"739,987,328",,,,122,0,"220,284,454","519,702,87",4 29.7
DEPARTMENT: HEALTH SERVICES,,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
Curative Health,"Administration and Plan-
ning","967,643,829",,,,122,0,"631,532,545","336,111,284",65.2
Curative Health,Hospital(curative)Services,"140,537,188",,,,122,0,"73,699,872","66,837,316",52.4
Preventive and Promotive Health,"Preventive Medicine and
Promotive Health","1,518,269,245",,,,122,0,"1,014,679,421","503,589,824",66.8
,,"2,626,450,263",,,,122,0,"1,719,911,838","906,538,425",65.4
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
Administration and support services,"General Administration
and Planning","48,728,276",,,,122,0,"25,763,853","22,964,423",52.8
"Housing Development and Human
Resource",Housing Development,"54,628,668",,,,122,0,"28,122,151","26,506,517",51.4
Land policy and planning,"Development Planning
and Land Reforms","346,168,178",,,,122,0,"24,345,731","321,822,447",7.0
Land policy and planning,Land Use Planning,"9,383,798",,,,122,0,"2,423,905","6,959,893",25.8
,,"458,908,920",,,,122,0,"80,655,640","378,253,280",17.5
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
Transport Management and safety,"General Administration
Planning and Support Ser-
vices","41,925,059",,,,122,0,"19,189,567","22,735,492",45.7
"Infrastructure, Roads and Transport",Rehabilitation of Road,"859,616,034",,,,122,0,"434,731,291","424,884,744",50.5
"Infrastructure, Roads and Transport","Maintenance of Roads and
Bridges/Periodic Mainte-
nance","148,065,562",,,,122,0,"30,724,314","117,341,248",20.7
,,"1,049,606,655",,,,122,0,"484,645,171","564,961,484",46.1
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,,122,0,,,
"BUDGET EXECUTION BY PROGRAMMES AND SUB-PROGRAMMESREPORT AS AT 31ST MARCH, 2020 (FIRST NINE MONTHS, FY2019/20)",,,,,,122,0,,,
Trade development and investment,"Fair trade Practices and
Consumer Protection
(weight & measures)","75,684,233",,,,122,0,"43,993,908","31,690,325",58.1
