Programme,Sub- Programme,"Supplementary
Budget (Kshs)","Actual Payment
(Kshs)","s
Variance (Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs)",Variance (Kshs.)
County Executive,,,,,,270,2,,
General Administration and Planning,"General Administra-
tion and Planning","425,402,580",,,55.9,271,0,"237,886,613","187,515,967"
,Sub total,"425,402,580",,,55.9,271,0,"237,886,613","187,515,967"
Physical Infrastructure,"Construction of
Governor's Offices","25,780,655",,,2,271,0,"514,500","25,266,155"
,Sub total,"25,780,655",,,2,271,0,"514,500","25,266,155"
Finance and Economic Planning,,,,,,271,0,,
General Administration and Planning,"General Administra-
tion and Planning","437,422,915",,,78,271,0,"341,218,373","96,204,542"
,Sub total,"437,422,915",,,78,271,0,"341,218,373","96,204,542"
Revenue Enhancement and Infrastructure,"Revenue Collection
and Management
Phase 1","45,639,914",,,54.6,271,0,"24,914,480","20,725,434"
,Sub total,"45,639,914",,,54.6,271,0,"24,914,480","20,725,434"
Devolved Units and Special Programmes,,,,,,271,0,,
Administration and Support of Human Resources,"Administrative Sup-
port Services","704,358,625",,,48.1,271,0,"338,951,430","365,407,195"
,"ICT Support Ser-
vices","9,667,014",,,70.8,271,0,"6,847,168","2,819,846"
,Sub total,"714,025,639",,,48.4,271,0,"345,798,598","368,227,041"
County Administrative Services,"Urban Planning,
Investment and Re-
search","179,383,529",,,5,271,0,"9,012,414","170,371,115"
,Sub total,"179,383,529",,,5,271,0,"9,012,414","170,371,115"
Health and Sanitation,,,,,,271,0,,
Health Service Delivery Administration Services,"Health Service De-
livery Administra-
tion Services","1,401,929,007",,,81.8,271,0,"1,146,474,057","255,454,950"
,"Construction of
building","397,901,930",,,6.9,271,0,"27,494,524","370,407,406"
,Sub total,"1,799,830,937",,,65.2,271,0,"1,173,968,581","625,862,356"
Preventive & Promotive Health Services,"Community Health
Services","554,221,800",,,81.5,271,0,"451,571,316","102,650,484"
,Sub total,"554,221,800",,,81.5,271,0,"451,571,316","102,650,484"
Curative Health Services,"Curative Health
Management Ser-
vices","423,642,186",,,74,271,0,"313,664,854","109,977,332"
,Sub total,"423,642,186",,,74,271,0,"313,664,854","109,977,332"
"Health Sector Programme Support
(DANIDA FUNDS)","County Health Fa-
cilities Support
(DANIDA)","41,692,835",,,40.7,271,0,"16,988,558","24,704,277"
,Sub total,"41,692,835",,,40.7,271,0,"16,988,558","24,704,277"
"Agriculture, Livestock and Fisheries",,,,,,271,0,,
Administration and general support services,"Administration and
support services","280,118,698",,,50.4,271,0,"141,177,593","138,941,105"
,Sub total,"280,118,698",,,50.4,271,0,"141,177,593","138,941,105"
Crop Development and Management,"Land and Crops De-
velopment","367,500,000",,,39.4,271,0,"144,672,555","222,827,445"
,"Value addition to
Agricultural Prod-
ucts","6,000,000",,,-,271,0,-,"6,000,000"
,Sub total,"373,500,000",,,38.7,271,0,"144,672,555","228,827,445"
Livestock Resources Management and Development,"Livestock Produc-
tion and Manage-
ment","398,436,485",,,20.4,271,0,"81,250,206","317,186,279"
,Sub total,"398,436,485",,,20.4,271,0,"81,250,206","317,186,279"
"Tourism, Culture and Cooperative Development",,,,,,271,0,,
Tourism Development and Promotion,"Niche Tourism
Product De-
velopment and
Diversification","2,094,049",,,42.8,272,0,"897,290","1,196,759"
,Sub total,"2,094,049",,,42.8,272,0,"897,290","1,196,759"
General Administration and Planning,"General Administra-
tion and Planning","30,224,961",,,47.1,272,0,"14,234,335","15,990,626"
,Sub total,"30,224,961",,,47.1,272,0,"14,234,335","15,990,626"
Culture,"Conservation of
Heritage","950,000",,,46.3,272,0,"440,300","509,700"
,"Development And
Promotion of Cul-
ture","56,339,479",,,21.1,272,0,"11,894,045","44,445,434"
,Sub total,"57,289,479",,,21.5,272,0,"12,334,345","44,955,134"
"Youth, Gender and Social Services",,,,,,272,0,,
General Administration and Planning,"General Administra-
tion and Planning","50,829,851",,,43.9,272,0,"22,305,290","28,524,561"
,Sub total,"50,829,851",,,43.9,272,0,"22,305,290","28,524,561"
Sports Development,"Sports Activities and
Programs","69,237,355",,,12.9,272,0,"8,958,616","60,278,739"
,Sub total,"69,237,355",,,12.9,272,0,"8,958,616","60,278,739"
Gender,"Gender Main-
streaming, In-
terventions and
Development","7,500,000",,,-,272,0,-,"7,500,000"
,Sub total,"7,500,000",,,-,272,0,-,"7,500,000"
"Education, Research and Vocational Training",,,,,,272,0,,
General Administration and Planning,"General Administra-
tion and Planning","236,483,239",,,58.1,272,0,"137,466,433","99,016,806"
,Sub total,"236,483,239",,,58.1,272,0,"137,466,433","99,016,806"
Education,"Early Child Devel-
opment and Educa-
tion.","209,560,919",,,18.8,272,0,"39,306,384","170,254,535"
,Sub total,"209,560,919",,,18.8,272,0,"39,306,384","170,254,535"
Youth Training and Development,"Revitalization of
Youth Polytechnics","103,339,295",,,16.8,272,0,"17,397,649","85,941,646"
,Sub total,"103,339,295",,,16.8,272,0,"17,397,649","85,941,646"
"Lands, Environment and Natural Resources",,,,,,272,0,,
General Administration and Planning,"General Administra-
tion and Planning","68,029,251",,,53.4,272,0,"36,295,832","31,733,419"
,Sub total,"68,029,251",,,53.4,272,0,"36,295,832","31,733,419"
Land Adjudication,"Demarcation and
Survey of Commu-
nity Land","25,000,000",,,20,272,0,"5,000,000","20,000,000"
,Sub total,"25,000,000",,,20,272,0,"5,000,000","20,000,000"
Environmental Conservation & Protection,"Forests Protec-
tion and Conser-
vation of Swamps
and Wetlands","10,600,000",,,-,272,0,-,"10,600,000"
,Sub total,"10,600,000",,,-,272,0,-,"10,600,000"
Water Supply,"Development
of Water Catch-
ment Areas and
Distribution of Wa-
ter","392,212,131",,,22.7,272,0,"88,942,878","303,269,253"
,Sub total,"392,212,131",,,22.7,272,0,"88,942,878","303,269,253"
"Roads, Transport and Public Works",,,,,,272,0,,
