Program,Sub-Program,Approved Budget (Kshs.),Actual Payments (Kshs.),Variance (Kshs.),Absorption (%),page_number,table_index,Actual Payments (Kshs.,")
Variance (Kshs.)"
County Assembly,,,,,,67,2,,
Legislation and representation,,"291,779,640","210,564,419","81,215,221",72.2,67,2,,
,Legislation and representation,"291,779,640","210,564,419","81,215,221",72.2,67,2,,
Legislative oversight,,"67,661,825","45,922,559","21,739,266",67.9,67,2,,
,Legislative oversight,"67,661,825","45,922,559","21,739,266",67.9,67,2,,
"General administration, planning and Support Services",,"208,431,332","175,349,345","33,081,987",84.1,68,0,,
,"General administration, planning
and Support Services","208,431,332","175,349,345","33,081,987",84.1,68,0,,
Sub-Total,,"567,872,797","431,836,323","136,036,474",76.0,68,0,,
"Office of the Gov-
ernor",,,,,,68,0,,
"Open Governance, Transparency and Accountability",,"57,258,413","31,755,830","25,502,583",55.5,68,0,,
,Governance,"57,258,413","31,755,830","25,502,583",55.5,68,0,,
General administration and support Services,,"119,871,417","83,834,209","36,037,208",69.9,68,0,,
,"General administration and support
Services","119,871,417","83,834,209","36,037,208",69.9,68,0,,
Sub-Total,,"177,129,830","115,590,039","61,539,791",65.3,68,0,,
Finance and Economic Planning,,,,,,68,0,,
General administration and support Services,,"163,106,386","118,256,759","44,849,627",72.5,68,0,,
,"General administration and support
services","163,106,386","118,256,759","44,849,627",72.5,68,0,,
"Financial Manage-
ment",,"51,749,493","28,178,783","23,570,710",54.5,68,0,,
,"Monitoring, Evaluation and report-
ing","15,082,200","10,132,450","4,949,750",67.2,68,0,,
,Economic Planning & Budgeting,"16,965,000","8,744,678","8,220,322",51.5,68,0,,
,Accounting services,"3,389,693","1,239,545","2,150,148",36.6,68,0,,
,Supply Chain Management,"2,655,000","1,275,010","1,379,990",48.0,68,0,,
,Revenue Management Services,"13,657,600","6,787,100","6,870,500",49.7,68,0,,
"General administration, planning and Support Services",,"72,682,223","16,344,128","56,338,095",22.5,68,0,,
,"General administration, planning
and support Services","72,682,223","16,344,128","56,338,095",22.5,68,0,,
Sub-Total,,"287,538,102","162,779,670","124,758,432",56.6,68,0,,
"Agriculture and
Irrigation",,,,,,68,0,,
General administration and support Services,,"98,853,546","68,619,135","30,234,411",69.4,68,0,,
,"General administration and support
services","98,853,546","68,619,135","30,234,411",69.4,68,0,,
Crop Development,,"484,866,111","69,671,677","415,194,434",14.4,68,0,,
,Cash Crops Development,"42,029,354","7,140,896","34,888,458",17.0,68,0,,
,Food Crops Development,"2,756,260",-,"2,756,260",0.0,68,0,,
,"Agricultural Extension and Train-
ing Services","440,080,497","62,530,781","377,549,716",14.2,68,0,,
Soil Conservation,,"1,607,975",-,"1,607,975",0.0,68,0,,
,Soil Conservation,"1,607,975",-,"1,607,975",0.0,68,0,,
"Irrigation Develop-
ment",,"30,018,576","270,000","29,748,576",0.9,68,0,,
