Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorption
(Kshs.)",page_number,table_index
OFFICE OF GOVERNOR,,,,,,75,1
"General Administration Plan-
ning & Support Services","Management of County Affairs
(Office of Governor)","127,578,521","87,014,791","40,563,731",68.2,75,1
"County Leadership and Coor-
dination","Sub-County Administration and
Field Services","42,526,174","29,004,930","13,521,244",68.2,75,1
,"Management of County Exec-
utive Services (Office of County
Secretary)","25,515,704","17,402,958","8,112,746",68.2,75,1
,"Public Sector Advisory Services
(Legal, Political and Economic
Advisors)","17,010,470","11,601,972","5,408,497",68.2,75,1
Sub Total,,"212,630,869","145,024,651","67,606,218",68.2,75,1
COUNTY PUBLIC SERVICE BOARD,,,,,,75,1
"Administration of Human Re-
sources in Public Service","Performance Management & Dis-
cipline","5,530,331","3,316,412","2,213,919",60.0,75,1
,"Administration of Board pro-
grammes","8,132,839","4,877,076","3,255,763",60.0,75,1
,"Recruitment and Selection, Ca-
reer Management, HR Policy and
Audit","11,385,975","6,827,907","4,558,068",60.0,75,1
,"Quality service delivery in the
County Public Service that is ef-
fective and efficient","7,482,212","4,486,910","2,995,302",60.0,75,1
Sub Total,,"32,531,357","19,508,305","13,023,052",60.0,75,1
PUBLIC SERVICE AND ADMINISTRATION,,,,,,75,1
"General Administration Plan-
ning & Support Services","Service delivery and management
of County Affairs","141,839,342","102,803,744","39,035,598",72.5,75,1
Public Service,"Human Resource Development
and Culture Change Management","101,313,816","73,431,246","27,882,570",72.5,75,1
,"Office Infrastructure Develop-
ment","162,102,105","117,489,993","44,612,112",72.5,75,1
Sub Total,,"405,255,262","293,724,982","111,530,280",72.5,75,1
FINANCE AND ECONOMIC PLANNING,,,,,,75,1
"General Administration Plan-
ning & Support Services","Administration, Planning & Sup-
port Services","26,897,818","11,759,093","15,138,725",43.7,75,1
"Economic Policy and County
Planning","Economic Development Planning
and Coordination","25,285,858","11,054,382","14,231,476",43.7,76,0
"Financial Management Ser-
vices",Revenue Management Services,"26,897,818","11,759,093","15,138,725",43.7,76,0
,"Control and Management of Pub-
lic Finances","13,448,909","5,879,546","7,569,363",43.7,76,0
Monitoring and Evaluation,"Monitoring and Evaluation of
Projects","16,138,691","7,055,456","9,083,235",43.7,76,0
Research and Statistics,County Database and Profile,"13,448,909","5,879,546","7,569,363",43.7,76,0
