Programme,Sub- Programme,"Approved Budget
(Kshs.)",Actual Payments (Kshs.),Variance (Kshs.),Absorption (%),page_number,table_index
"Cash Crop Development
and Management","Land and Crops Develop-
ment","3,900,000","1,242,689","2,657,311",31.9,245,1
,Promotion Food Security,"261,069,053","153,505,499","107,563,554",58.8,245,1
,Sub Total,"264,969,053","154,748,188","110,220,865",58.4,245,1
"Livestock and fisheries De-
velopment","Formation of Fisheries and
Cooperatives","5,000,000","1,200,000","3,800,000",24.0,245,1
i,"Value addition and market-
ng of fish products","114,173,298","53,703,610","60,469,688",47.0,245,1
,Local Poultry Development,"2,000,000","1,845,089","154,911",92.3,245,1
,Sub Total,"121,173,298","56,748,699","64,424,599",46.8,245,1
"Land survey, housing and
administration",Land Policy and Planning,"22,500,000",-,"22,500,000",-,245,1
,Land Survey,"10,000,000",-,"10,000,000",-,245,1
,Sub Total,"32,500,000",-,"32,500,000",-,245,1
"Agribusiness and Informa-
tion Management","Agribusiness and Market
Development","4,200,000","577,586","3,622,414",13.8,245,1
,Sub Total,"4,200,000","577,586","3,622,414",13.8,245,1
"Livestock Resources Man-
agement and Development","Livestock Policy Develop-
ment and capacity building
Programme",-,"-166,530","166,530",-,245,1
,"Livestock Diseases Manage-
ment and Control","16,000,000","7,840,877","8,159,123",49.0,245,1
,Sub Total,"16,000,000","7,674,347","8,325,653",48.0,245,1
"Land Administration and
Management","Land Administration and
Management","5,319,000","1,578,555","3,740,445",29.7,245,1
,Sub Total,"5,319,000","1,578,555","3,740,445",29.7,245,1
Road Transport,"Construction of Roads and
Bridges","19,411,500","6,016,104","13,395,396",31.0,245,1
,"General Administration,
Planning and Support Ser-
vices","739,019,018","415,678,542","323,340,476",56.2,246,0
,Sub Total,"758,430,518","421,694,646","336,735,872",55.6,246,0
"ICT Infrastructure Develop-
ment","ICT Infrastructure Connec-
tivity","30,000,000",-,"30,000,000",-,246,0
,Sub Total,"30,000,000",-,"30,000,000",-,246,0
"Information And Commu-
nication Services","Office administration and
support",-,"-52,625","52,625",-,246,0
,Sub Total,-,"-52,625","52,625",-,246,0
"Tourism Development and
Promotion","Tourism Promotion and
Marketing","3,300,000","2,493,544","806,456",75.6,246,0
,Sub Total,"3,300,000","2,493,544","806,456",75.6,246,0
"Trade Promotion and mar-
keting","Domestic Trade Develop-
ment","245,832,114","133,586,960","112,245,154",54.3,246,0
,Sub Total,"245,832,114","133,586,960","112,245,154",54.3,246,0
"Cooperative Development
and Management","Governance and Account-
ability","3,100,000","561,238","2,538,762",18.1,246,0
,"Co-operative Advisory Ser-
vices","20,779,074","2,370,500","18,408,574",11.4,246,0
,Sub Total,"23,879,074","2,931,738","20,947,336",12.3,246,0
"Trade Development and
Promotion","Domestic Trade Develop-
ment","4,600,000","3,249,200","1,350,800",70.6,246,0
,"Fair Trade and Consumer
Protection","3,100,000","527,800","2,572,200",17.0,246,0
,Sub Total,"7,700,000","3,777,000","3,923,000",49.1,246,0
Curative Health Services,Forensic and Diagnostics,"3,000,000","701,205","2,298,795",23.4,246,0
,Free Primary Healthcare,"288,924,209","144,538,654","144,385,555",50.0,246,0
,Sub Total,"291,924,209","145,239,859","146,684,350",49.8,246,0
Treatment and rehabilitation,"Prevention Curriculum De-
velopment","3,000,000","727,710","2,272,290",24.3,246,0
,Sub Total,"3,000,000","727,710","2,272,290",24.3,246,0
Education,"Early Childhood Develop-
ment Education","158,500,000","105,692,572","52,807,428",66.7,246,0
,"Motivation of Primary and
Secondary School","96,000,000","4,376,000","91,624,000",4.6,246,0
,Sub Total,"254,500,000","110,068,572","144,431,428",43.2,246,0
"Technical Vocational Educa-
tion and Training","Infrastructure Development
and Expansion","87,437,600",-,"87,437,600",-,246,0
,Sub Total,"87,437,600",-,"87,437,600",-,246,0
"Youth Training and Devel-
opment","Revitalization of Youth
Polytechnics","112,868,298","17,066,107","95,802,191",15.1,246,0
,Sub Total,"112,868,298","17,066,107","95,802,191",15.1,246,0
"General Administration,
Planning and Support Ser-
vices","County Administrative Ser-
vices","20,000,000","1,188,000","18,812,000",5.9,246,0
,Sub Total,"20,000,000","1,188,000","18,812,000",5.9,246,0
"Legislation, Treaties and Ad-
visory Services","Legislation, Treaties and Ad-
visory Services","323,400,000","215,931,210","107,468,790",66.8,246,0
,"Public Trusts and Estates
Management","7,000,000",-,"7,000,000",-,246,0
,Oversight,"240,750,000","132,777,555","107,972,445",55.2,246,0
,Sub Total,"571,150,000","348,708,765","222,441,235",61.1,246,0
"Human Resource Manage-
ment","Human Resource Manage-
ment","16,198,711","2,468,860","13,729,851",15.2,246,0
,"Staff Training and Capacity
Building","314,123,650","84,300,650","229,823,000",26.8,246,0
,Sub Total,"330,322,361","86,769,510","243,552,851",26.3,246,0
"Budget Formulation Coordi-
nation and Management","Budget Formulation Coor-
dination and Management","4,500,000","3,817,657","682,343",84.8,246,0
,"Economic Planning and
CIDP Review","4,500,000","3,233,477","1,266,523",71.9,246,0
