Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"FY 2019/20 Approved
Budget (Kshs)",Variance (Kshs),"Absorption
rate (%)"
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,316,0,,,
"Water Resources Development and Man-
agement","Water Resources De-
velopment and Man-
agement",,"99,233,906",,,316,0,"490,553,985","391,320,079",20.2
,Sub total,,"99,233,906",,,316,0,"490,553,985","391,320,079",20.2
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"16,142,934",,,316,0,"37,431,930","21,288,996",43.1
,Sub total,,"16,142,934",,,316,0,"37,431,930","21,288,996",43.1
"Environment and Natural Resources Con-
servation and Management","Environment and Nat-
ural Resources Con-
servation and Manage-
ment",,"4,285,232",,,316,0,"8,610,241","4,325,009",49.8
,Sub total,,"4,285,232",,,316,0,"8,610,241","4,325,009",49.8
"EDUCTION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,316,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"154,184,667",,,316,0,"302,381,817","148,197,150",51
,Sub total,,"154,184,667",,,316,0,"302,381,817","148,197,150",51
County Pre Primary Education,"County Pre Primary
Education",,"75,032,105",,,316,0,"423,079,150","348,047,045",17.7
,Sub total,,"75,032,105",,,316,0,"423,079,150","348,047,045",17.7
"Vocational Education and Training Devel-
opment","Vocational Education
and Training Develop-
ment",,"709,230",,,316,0,"2,153,117","1,443,887",32.9
,Sub total,,"709,230",,,316,0,"2,153,117","1,443,887",32.9
County Social Security and Services,"County Social Security
and Services",,"1,184,314",,,317,0,"1,638,681","454,367",72.3
,Sub total,,"1,184,314",,,317,0,"1,638,681","454,367",72.3
COUNTY HEALTH SERVICES,,,,,,317,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"1,054,925,769",,,317,0,"1,594,453,578","539,527,809",66.2
,Sub total,,"1,054,925,769",,,317,0,"1,594,453,578","539,527,809",66.2
"Curative and Rehabilitative Health Care
Services","Curative and Reha-
bilitative Health Care
Services",,"91,825,653",,,317,0,"845,207,036","753,381,383",10.9
,Sub total,,"91,825,653",,,317,0,"845,207,036","753,381,383",10.9
Preventive and Promotive Health Services,"Preventive and Promo-
tive Health Services",,"122,481,234",,,317,0,"173,199,992","50,718,758",70.7
,Sub total,,"122,481,234",,,317,0,"173,199,992","50,718,758",70.7
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,317,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"86,687,239",,,317,0,"231,346,561","144,659,322",37.5
,Sub total,,"86,687,239",,,317,0,"231,346,561","144,659,322",37.5
Land Use Planning,Land Use Planning,,"2,481,850",,,317,0,"3,991,805","1,509,955",62.2
,Sub total,,"2,481,850",,,317,0,"3,991,805","1,509,955",62.2
"County Land Administration and Survey-
ing","County Land Admin-
istration and Survey-
ing",,"1,207,172",,,317,0,"4,028,400","2,821,228",30
,Sub total,,"1,207,172",,,317,0,"4,028,400","2,821,228",30
Housing and Urban Development,"Housing and Urban
Development",,"2,503,000",,,317,0,"53,414,795","50,911,795",4.7
,Sub total,,"2,503,000",,,317,0,"53,414,795","50,911,795",4.7
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,317,0,,,
Transport Infrastructure Development,"Transport Infrastruc-
ture Development",,"314,818,628",,,317,0,"1,082,710,581","767,891,953",29.1
,Sub total,,"314,818,628",,,317,0,"1,082,710,581","767,891,953",29.1
County Government Building Services,"County Government
Building Services",,"749,943",,,317,0,"1,210,930","460,987",61.9
,Sub total,,"749,943",,,317,0,"1,210,930","460,987",61.9
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"3,057,459",,,317,0,"5,917,255","2,859,796",51.7
,Sub total,,"3,057,459",,,317,0,"5,917,255","2,859,796",51.7
ENTERPRISES AND INDUSTRIAL DEVELOPMENT,,,,,,317,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services",,"59,097,523",,,317,0,"118,051,779","58,954,256",50.1
,Sub total,,"59,097,523",,,317,0,"118,051,779","58,954,256",50.1
Trade Development and Promotion,"Trade Development
and Promotion",,"59,246,270",,,317,0,"216,449,919","157,203,649",27.4
,Sub total,,"59,246,270",,,317,0,"216,449,919","157,203,649",27.4
"Fair Trade Practices and Consumer Pro-
tection Services","Fair Trade Practices
and Consumer Protec-
tion Services",,"2,121,612",,,317,0,"3,000,000","878,388",70.7
,Sub total,,"2,121,612",,,317,0,"3,000,000","878,388",70.7
