Programme,Approved Budget (Ksh),"Actual Payments
(Ksh)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Early Childhood Development (0501013060),"59,872,000","11,186,467","48,685,533",18.7,172,0
Sub Total,"2,097,180,741","1,066,635,740","1,030,545,001",50.9,172,0
Water Services,,,,,172,0
"Construction & Maintenance of water pipeline supply systems
(1001023060)","109,300,516",-,"109,300,516",-,172,0
Development of Borehole water supply system (1001033060),"105,963,604",-,"105,963,604",-,172,0
"Development/Construction of surface water supply systems (
1001043060)","162,562,014",-,"162,562,014",-,172,0
Community Water Project ( 1001063060),"27,450,000","11,425,980","16,024,020",41.6,172,0
Personnel Services (1002013060),"30,005,693","20,194,066","9,811,627",67.3,172,0
Administration Services (1002023060),"1,394,157,691","371,486,041","1,022,671,650",26.6,172,0
Sub Total,"1,829,439,518","403,106,087","1,426,333,431",22.0,172,0
Roads and public Works,,,,,172,0
Administration Services (0305023060),"467,361,583","265,899,876","201,461,707",56.9,172,0
"Rehabilitations of Roads, Drainage and bridges (0202013060)","569,530,747","15,380,457","554,150,290",2.7,172,0
Personnel Services (0305013060),"79,298,371","55,619,981","23,678,390",70.1,172,0
Installation of Street Lighting Facilities (0203013060),"36,888,000","4,783,230","32,104,770",13.0,172,0
Sub Total,"1,153,078,701","341,683,544","811,395,157",29.6,172,0
Tourism and ICT,,,,,172,0
Personnel services {0305013060},"20,578,251","18,856,330","1,721,921",91.6,172,0
Administration services {0305023060},"46,942,874","11,869,468","35,073,406",25.3,172,0
Local area network installation and ict support {0308013060},"48,432,568","20,330,238","28,102,330",42.0,172,0
Tourism Promotion {0304013060},"47,125,121","12,027,946","35,097,175",25.5,172,0
Sub Total,"163,078,814","63,083,982","99,994,832",38.7,172,0
Public Service Board,,,,,172,0
Human Resource Planning (706013060),"15,911,156","7,483,100","8,428,056",47.0,172,0
Transformation of Service Delivery In Public Service (706023060),"2,172,000","1,067,780","1,104,220",49.2,172,0
Hr Management and Skill Development (706033060),-,-,-,-,172,0
Compensation to Employees (706043060),"30,800,315","8,292,962","22,507,353",26.9,172,0
Human Resource Planning (706053060),"1,320,000","599,200","720,800",45.4,172,0
Staff Rationalization (706063060),"2,440,000","976,400","1,463,600",40.0,172,0
Sub Total,"52,643,471","18,419,442","34,224,029",35.0,172,0
Public Service & Administration,,,,,172,0
Audit Services0704013060,"158,844,278","134,553,951","24,290,327",84.7,172,0
General Adminstration0704043060,"315,705,652","117,680,159","198,025,493",37.3,172,0
County compliance and enforcement0708033060,"11,949,000","9,066,714","2,882,286",75.9,172,0
Sub County Admin Msambweni0712013060,"8,328,000","4,084,164","4,243,836",49.0,172,0
