Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Implementation Status
(%)",page_number,table_index
"0703004060 Leadership and
Admin of HR management and
development in County Public
Service","Human Resource de-
velopment and man-
agement services","81,962,096","47,742,183","34,219,913",58.2,130,0
Sub Total,,"81,962,096","47,742,183","34,219,913",58.2,130,0
Finance and Economic Planning,,,,,,130,0
"0704004060 Public Finance
Management and Economic Pol-
icy and Strategy","General Administra-
tion and support ser-
vices","1,760,667,075","799,876,193","960,790,882",45.4,130,0
,"financial management
services","231,078,246","208,896,079","22,182,167",90.4,130,0
,"Economic planning
services","26,553,152","23,600,096","2,953,056",88.9,130,0
,,"2,018,298,473","1,032,372,368","985,926,105",51.2,130,0
Sub Total,,"2,018,298,473","1,032,372,368","985,926,105",51.2,130,0
"Administration, and Public Service and Communication",,,,,,130,0
"0705004060 Admin & coordina-
tion of county affairs, HR Dev,
Management, Capacity Building","General administra-
tion and support ser-
vices","781,854,401","511,564,315","270,290,086",65.4,130,0
,"Human resource de-
velopment and man-
agement","56,509,000","35,780,578","20,728,422",63.3,130,0
,,"838,363,401","547,344,893","291,018,508",65.3,130,0
Sub Total,,"838,363,401","547,344,893","291,018,508",65.3,130,0
Youth and Sports,,,,,,130,0
"0901004060 Promotion and de-
velopment of sports; Youth ser-
vices","General administra-
tion and support ser-
vices","285,378,962","126,278,015","159,100,947",44.2,130,0
902004060 ICT Services,ICT Services,"66,249,021","41,752,751","24,496,270",63,130,0
Sub Total,,"351,627,983","168,030,766","183,597,217",47.8,130,0
"Water, Energy, Environment and Natural Resources",,,,,,130,0
"1001004060 Water Resources
Management, Environment Pro-
tection and Conservation","Environmental man-
agement","48,144,735","20,895,277","27,249,458",43.4,130,0
,"Water provision and
management","197,400,000","51,605,781","145,794,219",26.1,130,0
,"Renewable Energy and
Climate Change","2,000,000",-,"2,000,000",-,130,0
,,"247,544,735","72,501,058","175,043,677",29.3,130,0
"1002004060 General Adminis-
tration Planning and Support
Services","General Administra-
tion and Support Ser-
vices","332,991,792","205,629,865","127,361,927",61.8,130,0
Sub Total,,"580,536,527","278,130,923","302,405,604",47.9,130,0
Grand Total,,"17,915,361,767","9,884,133,423","8,031,228,344",55.2,130,0
