Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
"County Assembly Of
Marsabit Operational
And Oversight",Operations & Oversight,"816,944,722","324,435,044","492,509,677",39.7,216,0
"Physical Planning
And Development",Urban Development Services,"252,193,823","52,589,780","199,604,043",20.9,216,0
,"Lands and Physical Planning Ser-
vices","60,000,000","33,790,050","26,209,950",56.3,216,0
,"General administration planning
and Support Services","137,797,500","73,385,117","64,412,383",53.3,216,0
,Sub total,"449,991,323","159,764,947","290,226,376",35.5,216,0
Education,"General Administration, Planning
and Support Services","310,193,916","241,201,207","68,992,709",77.8,216,0
,Pre – Primary Education,"163,283,175","64,731,987","98,551,188",39.6,216,0
,Youth Development,"75,930,000","14,844,700","61,085,300",19.6,216,0
,Vocational Education and Training,"19,058,298",-,"19,058,298",-,216,0
,Sports,"69,110,000","4,453,600","64,656,400",6.4,216,0
,Sub total,"637,575,389","325,231,494","312,343,895",51.0,216,0
Executive Services,"General Administration, Planning
and Support Services","578,869,015","525,435,083","53,433,932",90.8,216,0
,Management of County Affairs,"585,857,842","483,769,989","102,087,853",82.6,216,0
,Public Sector Advisory Services,"59,000,000","51,166,979","7,833,021",86.7,216,0
,Inter/Intra Governmental,"20,000,000","20,000,000",-,100.0,216,0
,County Legal Services,"20,417,773","18,227,200","2,190,573",89.3,216,0
,Sub total,"1,264,144,630","1,098,599,251","165,545,379",86.9,216,0
"Administration And
ICT","General administration planning
and Support Services","305,309,767","203,857,986","101,451,781",66.8,216,0
,ICT infrastructure,"6,200,000","322,000","5,878,000",5.2,216,0
,"Coordination of functions of de-
volved Units","16,500,000","10,191,080","6,308,920",61.8,216,0
,"Public Participation and Civic Edu-
cation","3,000,000","1,074,800","1,925,200",35.8,216,0
,Sub total,"331,009,767","215,445,866","115,563,901",65.1,216,0
"Agriculture and Live-
stock Development","General Administration, Planning
and Support Services","87,330,449","77,770,292","9,560,157",89.1,216,0
,"Livestock Resources Management
and Development","177,086,044","51,211,640","125,874,404",28.9,216,0
,"Fisheries Development and Manage-
ment","81,221,448","9,427,629","71,793,819",11.6,216,0
,"Crop Development and Manage-
ment","377,811,056","103,318,673","274,492,383",27.3,216,0
,Sub total,"723,448,997","241,728,234","481,720,763",33.4,216,0
Health Services,Curative Health Services,"207,000,000","127,494,155","79,505,845",61.6,216,0
,"General Administration, Planning
and Support Services","1,809,065,412","1,079,914,945","729,150,467",59.7,216,0
,Maternal and child health,"10,000,000","9,979,491","20,509",99.8,216,0
,Sub total,"2,026,065,412","1,217,388,591","808,676,821",60.1,216,0
