Department,"Programme/
Sub Programme","Rec Budget
(Kshs)","Dev Budget
(Kshs)","Total Budget Es-
timates (Kshs)","Rec Expendi-
ture (Kshs)","Dev Expendi-
ture (Kshs)","Total Expendi-
ture (Kshs)","Implemen-
tation Status
(%)",page_number,table_index
"Agriculture,
Livestock &
Fisheries","Programme 1:
General admin-
istration & plan-
ning",,,,,,,,201,1
,"SP1. 1 General
administration &
planning","243,395,264","141,986,007","385,381,271","182,129,611","5,173,920","187,303,531",48.6,201,1
,"Programme
2: Land, Crop
development &
productivity",,-,,,,,,201,1
,"SP2. 1Land, Crop
development &
productivity","2,000,000","539,977,726","541,977,726",-,"66,353,546","66,353,546",12.2,201,1
,"P3;Agribusiness
and information
management",,-,,,,,,201,1
,"SP3. 1Agribusi-
ness and infor-
mation manage-
ment","18,775,000","74,257,066","93,032,066","4,258,333","51,515,285","55,773,618",60.0,201,1
,"Programme 4:
Livestock Pro-
duction, Man-
agement and
Development",,-,,,,,,201,1
,"SP4. 1Livestock-
Production,
Management and
Development",-,"86,076,847","86,076,847",-,"17,105,584","17,105,584",19.9,201,1
,Total Budget,"264,170,264","842,297,646","1,106,467,910","186,387,944","140,148,336","326,536,280",29.5,201,1
"Transport &
Infrastruc-
ture","Programme 1:
General admin-
istration & plan-
ning",,-,,,,,,202,0
,"SP1. 1 General
administration &
planning","117,716,861","534,497","118,251,358","70,839,070",-,"70,839,070",59.9,202,0
,"Programme 2:
Road transport",,-,,,,,,202,0
,"SP2. 1Road trans-
port","88,750,000","727,701,537","816,451,537","72,420,119","194,366,282","266,786,401",32.7,202,0
,"P3;Infrastruc-
ture develop-
ment",,-,,,,,,202,0
,"SP3. 1Infrastruc-
ture development","3,000,000","66,409,671","69,409,671","2,053,103","41,695,942","43,749,045",63.0,202,0
,"Programme 2:
Energy Infra-
structure & de-
velopment",,-,,,,,,202,0
,"SP4. 1Energy
Infrastructure &
development","17,400,000","3,873,771","21,273,771","7,003,012","197,120","7,200,132",33.8,202,0
,Total Budget,"226,866,861","798,519,477","1,025,386,338","152,315,303","236,259,344","388,574,647",37.9,202,0
"Trade,
Industry &
Coopera-
tives","Programme 1:
General admin-
istration & plan-
ning",,-,,,,,,202,0
,"SP1. 1 General
administration &
planning","44,536,509",-,"44,536,509","26,957,435",-,"26,957,435",60.5,202,0
,"Programme 2:
Trade develop-
ment & promo-
tion",,-,,,,,,202,0
,"SP2.4; Trade
marketing & pro-
motion","2,770,000","40,968,120","43,738,120","1,250,000","6,466,346","7,716,346",17.6,202,0
,"P3; Industrial
development
and promotion",,-,,,,,,202,0
,"SP3. 1 Industrial
development and
promotion","1,160,000","2,500,000","3,660,000","950,000","500,000","1,450,000",39.6,202,0
,"Programme 4:
Tourism devel-
opment & pro-
motion",,-,,,-,,,202,0
,"SP4. 1Tourism
development &
promotion","1,160,000","7,320,131","8,480,131","950,000","4,973,620","5,923,620",69.9,202,0
,"Programme 5:
Cooperative de-
velopment and
management",,-,,,-,,,202,0
,"SP4. 1Coopera-
tive development
and management","1,160,000","9,225,168","10,385,168","950,000","5,129,115","6,079,115",58.5,202,0
,Total Budget,"50,786,509","60,013,418","110,799,928","31,057,435","17,069,081","48,126,515",43.4,202,0
,"Programme 1:
General admin-
istration & plan-
ning",,-,,,-,,,202,0
,"SP1. 1 General
administration &
planning","53,603,906",-,"53,603,906","24,022,211",-,"24,022,211",44.8,202,0
,"Programme 2: :
Land Survey &
Mapping",,-,,,-,,,202,0
"Land, Physi-
cal Planning
& Mining","SP2. 1: Land Sur-
vey & Mapping","1,972,737","39,526,939","41,499,676","1,642,188","13,905,980","15,548,168",37.5,203,0
,"P3;Urban plan-
ning",,-,,,-,,,203,0
,"SP3. 1Urban
planning","2,692,000","253,206,302","255,898,302","1,649,320","58,679,556","60,328,876",23.6,203,0
,"Programme 2:
Mining mapping
& development",,-,,,-,,,203,0
,"SP4. 1Mining
mapping & de-
velopment","1,430,000","341,100","1,771,100","994,000","341,100","1,335,100",75.4,203,0
,Total Budget,"59,698,643","293,074,341","352,772,985","28,307,719","72,926,636","101,234,355",28.7,203,0
,"Programme 1:
General admin-
istration & plan-
ning",,-,,,-,,,203,0
,"SP1. 1 General
administration &
planning","173,758,577","12,780,770","186,539,346","115,993,249","7,996,729","123,989,978",66.5,203,0
,"Programme 2:
Water infra-
structure Devel-
opment",,-,,,-,,,203,0
"Water,
Irrigation
& Environ-
ment","SP 2.1 Water
harvesting and
storage","8,300,000","274,686,471","282,986,471","2,460,570","41,525,501","43,986,071",15.5,203,0
,"SP 2.2.Piped wa-
ter supply infra-
structure","2,500,000","430,754,474","433,254,474","1,100,000","58,832,796","59,932,796",13.8,203,0
,"SP2.3 Ground
water develop-
ment","1,800,000","292,157,196","293,957,196","1,600,000","48,857,165","50,457,165",17.2,203,0
,"P3; Irrigation
infrastructure
development","32,346,000","105,345,919","137,691,919","4,667,815","29,643,588","34,311,403",24.9,203,0
,"SP3. 1 Irrigation
infrastructure
development","218,704,577","1,115,724,830","1,334,429,407","125,821,634","186,855,778","312,677,413",23.4,203,0
,"Programme 4:
Environment
management
and protection",,-,,,-,,,203,0
,"SP4. 1Environ-
ment manage-
ment and protec-
tion","271,297,447",-,"271,297,447","199,053,559",-,"199,053,559",73.4,203,0
,Total Budget,,-,,,-,,,203,0
,"Programme 1:
General admin-
istration & plan-
ning","35,606,909","109,622,501","145,229,410","7,089,809","15,308,597","22,398,406",15.4,203,0
,"SP1. 1 General
administration &
planning",,-,,,-,,,203,0
,"Programme 2:
Early childhood
education","12,356,629","112,447,938","124,804,568","1,931,826","41,916,030","43,847,856",35.1,203,0
"Education &
ICT","SP1. 1 Early
childhood edu-
cation",,-,,,-,,,203,0
,"Programme 3:
Technical train-
ing & non formal
education","59,226,629","3,507,562","62,734,191","51,888,553",-,"51,888,553",82.7,203,0
,"SP1. 1 Technical
training & non
formal education",,-,,,-,,,203,0
,"Programme 4:
Support to edu-
cation","13,786,629","24,911,374","38,698,004","4,825,380",-,"4,825,380",12.5,204,0
,"SP1. 1 Support to
education",,-,,,-,,,204,0
,"Programme
5;ICT Infra-
structure & Sys-
tems Develop-
ment","3,442,629",-,"3,442,629","2,290,541",-,"2,290,541",66.5,204,0
,"SP3. 1ICT In-
frastructure &
Systems Develop-
ment",,-,,,-,,,204,0
,"Programme 6;
Youth Develop-
ment support&
Empowerment","7,864,344","97,822,311","105,686,654","6,872,455","21,690,910","28,563,365",27.0,204,0
,"SP6. 1 Youth De-
velopment","403,581,217","348,311,686","751,892,903","273,952,124","78,915,537","352,867,661",46.9,204,0
,"Programme 7:
Sports Develop-
ment",,-,,,-,,,204,0
,"SP7. 1Sports De-
velopment","2,391,445,874","665,913,017","3,057,358,890","1,625,840,534","302,842,259","1,928,682,793",63.1,204,0
,Total Budget,,-,,,-,,,204,0
,"Programme 1:
General admin-
istration & plan-
ning","310,833,333",-,"310,833,333","188,762,448",-,"188,762,448",60.7,204,0
,"SP1. 1 General
administration &
planning",,-,,,-,,,204,0
,"Programme 2:
Curative health
care services","70,662,182",-,"70,662,182","22,958,239",-,"22,958,239",32.5,204,0
Health,"SP2. 1:Curative
health care ser-
vices","2,772,941,389","665,913,017","3,438,854,405","1,837,561,220","302,842,259","2,140,403,479",62.2,204,0
,"Programme
3; Preventive
and promotive
health care ser-
vices",,-,,,-,,,204,0
