Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs) (","Variance
Kshs.)","Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)","Variance
(Kshs.)"
COUNTY EXECUTIVE,,,,,,306,2,,
"0701004210 P1 Manage-
ment of County Affairs","0701014210 SP1 General Administration and Support
Services (Governor, Deputy Governor)","218,324,512","134,249,212","84,075,300",61.5,306,2,,
,"0704014210 SP2 Administration of Human Resources in
County Public Service","66,354,595",,,55.2,307,0,"36,609,198","29,745,397"
,0701034210 SP3 Sub County Administration,"170,868,388",,,76.1,307,0,"129,989,113","40,879,275"
,"0701044210 SP4 Coordination, Supervision and Human
Resource services (C S)","37,421,177",,,83.3,307,0,"31,163,896","6,257,281"
,Sub total,"492,968,672",,,67.4,307,0,"332,011,419","160,957,253"
"FINANCE, ECONOMIC PLANNING & ICT",,,,,,307,0,,
"0705004210 P1 General
Administration Planning
and Support Services",0705014210 SP1 Administration Services,"496,099,408",,,31,307,0,"153,926,830","342,172,578"
,0705024210 SP2 ICT Services,"68,039,343",,,12.4,307,0,"8,417,171","59,622,172"
,Sub total,"564,138,751",,,28.8,307,0,"162,344,001","401,794,750"
"0706004210 P2 Public Fi-
nance Management",0706054210 SP5 Accounting Services,"33,881,646",,,85.5,307,0,"28,956,041","4,925,605"
,0706024210 SP2 Resource Mobilization,"62,385,301",,,80.7,307,0,"50,367,670","12,017,631"
,0706034210 SP3 Internal Audit,"24,079,558",,,38.8,307,0,"9,348,815","14,730,743"
,0706044210 SP4 Supply Chain Management,"21,125,208",,,71.2,307,0,"15,038,682","6,086,526"
,"0706014210 SP1 Budget Formulation Coordination and
Management","10,579,310",,,91.6,307,0,"9,689,391","889,919"
,0706064210 SP6 Fiscal Planning,"66,706,152",,,26.4,307,0,"17,570,344","49,135,808"
,Sub total,"218,757,175",,,59.9,307,0,"130,970,943","87,786,232"
"0713004210 P3 General
Administration Planning
and Support Services","0713014210 SP1 General Administration Planning and
Support Services","6,890,240",,,62.7,307,0,"4,322,207","2,568,033"
,Sub total,"6,890,240",,,62.7,307,0,"4,322,207","2,568,033"
"0712004210 P4 Special
Programs",0712014210 SP 1 Special Programs,"14,531,022",,,80.3,307,0,"11,663,766","2,867,256"
,Sub total,"14,531,022",,,80.3,307,0,"11,663,766","2,867,256"
"AGRICULTURE, LIVESTOCK DEVELOPMENT, VETERINARY SERVICES & FISHERIES",,,,,,307,0,,
"0101004210 P1 General
Administration Planning
and Support Services","0101014210 SP1 Administration, Planning and Support
Services","412,577,318",,,19.1,307,0,"78,652,225","333,925,093"
,Sub total,"412,577,318",,,19.1,307,0,"78,652,225","333,925,093"
"0103004210 P2 Livestock
Resource Management
and Development","0103014210 SP1 Livestock policy development and ca-
pacity building","15,943,416",,,61.9,307,0,"9,875,142","6,068,274"
,0103024210 SP2 Livestock Production and Management,"167,429,252",,,22,307,0,"36,830,702","130,598,550"
,"0103034210 SP3 Livestock Diseases management and
control","50,546,262",,,15.8,307,0,"7,972,331","42,573,931"
,"0103044210 SP4 Livestock marketing and rangeland
management","9,280,755",,,63.3,307,0,"5,870,582","3,410,173"
