Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),"Implementa-
tion Status (%)",page_number,table_index
,,"1,530,781,160","415,847,530","1,114,933,630",27.2,255,0
"0212005310 P6:Road Safety
Interventions","0212015310 sp 6.1 Trans-
port Facilities & Traffic
Management","187,620,000","32,137,805","155,482,195",17.1,255,0
"0213005310 P7: Institutional
Buildings & Maintenance","0213015310 sp 7.1 Public
street lighting Installations
& Maintenances","230,000,000","60,162,242","169,837,758",26.2,255,0
,"0213025310 sp 7.2 Mo-
tor Vehicle, Machinery &
Plant Maintenance","11,200,000",-,"11,200,000",0.0,255,0
,"0213035310 sp 7.3 Institu-
tional Buildings Mainte-
nance","14,500,000",-,"14,500,000",0.0,255,0
"Total 5317000000 PUBLIC
WORKS ,TRANSPORT &
INFRASTRUCTURE",,"4,779,277,939","1,223,343,605","3,555,934,334",25.6,255,0
"0508005310 General adminis-
tration, planning and support
services","0508025310 sp 8.2 General
Administration & Support
Services","1,149,631,494","431,805,115","717,826,379",37.6,255,0
"0509005310 P9 Education
services","0509015310 sp 9.1 Quality
Assurance and Co-curric-
ulum","1,000,000","267,200","732,800",26.7,255,0
,"0509025310 sp 9.2 Early
Childhood Development
Centres","148,400,000","7,754,008","140,645,992",5.2,255,0
,"0509035310 sp 9.3 Techni-
cal and Vocational Train-
ing","88,904,947","2,203,200","86,701,747",2.5,255,0
0902005310 2.1 Social Services,"0902015310 General Ad-
ministration & Support
Services","178,773,527","95,823,783","82,949,744",53.6,256,0
,"0902025310 Sp.2.2 Gender
and Community Empow-
erment","30,800,000","424,000","30,376,000",1.4,256,0
,"0902035310 Sp2.3 Devel-
opment and promotion of
culture/ heritage","38,150,000","674,200","37,475,800",1.8,256,0
,"0902045310 Sp2.4 Devel-
opment and promotion of
sports","239,000,000","23,678,122","215,321,878",9.9,256,0
,"0902055310 Sp2.5 Youth
Empowerment and Pro-
motion","26,300,000","13,834,642","12,465,358",52.6,256,0
,"0902065310 Sp 2.6 Social
welfare and care for the
Aged","30,000,000","1,714,800","28,285,200",5.7,256,0
,"0902075310 Sp 2.7 Promo-
tion of Library and Infor-
mation Services","4,300,000","377,105","3,922,895",8.8,256,0
,"0902085310 Sp.2 8 Rescue
and Rehabilitation of Chil-
dren Services","41,200,000","975,250","40,224,750",2.4,256,0
"Total 5318000000 EDUCA-
TION,YOUTH AFFAIRS,
SPORTS, CULTURE &
SOCIAL SERVICES",,"1,976,459,968","579,531,425","1,396,928,543",29.3,256,0
"0301000 P.1 General Adminis-
tration Planning and Support
Services","0301010 SP1 General Ad-
ministration Planning and
Support Services","428,123,278","233,970,793","194,152,485",54.7,256,0
"0310005310 P.10 Co-opera-
tive Development and Audit
Services","0310015310 sp 10.1 Co-
operative Development
Services","34,000,000","6,938,717","27,061,283",20.4,256,0
,"0310025310 sp 10.2 Coop-
erative Audit Services","12,281,300","205,000","12,076,300",1.7,256,0
"0311005310 P.11 Tourism
Promotion and Marketing","0311015310 sp 11.1 Tour-
ism Development","43,000,000","1,153,900","41,846,100",2.7,256,0
"0312005310 P.12 Trade devel-
opment and Market Services","0312015310 sp 12.1 Trade
Development","170,000,000","2,296,201","167,703,799",1.4,256,0
,"0312025310 sp 12.2 Market
Services","280,000,000","417,870","279,582,130",0.1,256,0
,"0313025310 sp 13.2
Weights & Measures Ser-
vices","62,000,000",-,"62,000,000",0.0,256,0
,"0313035310 sp 13.3 Trade
Licensing Services","35,000,000",-,"35,000,000",0.0,256,0
,"0313045310 sp 13.4 Betting
& Gaming Services","21,000,000","412,449","20,587,551",2.0,256,0
"Total 5319000000
TRADE,COMMERCE,TOUR-
ISM & COOPERATIVES",,"1,085,404,578","245,394,930","840,009,648",22.6,256,0
"0701000 P1 General Adminis-
tration Planning and Support
Services","0701010 SP.1.1 General
Administration Planning
and Support Services","297,662,603","118,575,578","179,087,025",39.8,257,0
"0710000 P 5: Public Service
Transformation","0710010 S.P.5.1 Human
Resource Management","701,000,000","650,630,999","50,369,001",92.8,257,0
,"0710020 S.P.5.2 Human
Resource Development","74,785,035","21,575,612","53,209,423",28.9,257,0
"0723005310 P 23 Performance
Management and Public Ser-
vice Delivery","0723015310 sp 23.1 Perfor-
mance Contracting man-
agement","10,000,000","1,745,758","8,254,242",17.5,257,0
,"0723025310 sp 23.2 Gov-
ernance Monitoring and
Evaluation","25,000,000","1,725,348","23,274,652",6.9,257,0
,"0723035310 sp 23.3 Qual-
ity Management Systems
and ISO certification","9,000,000","212,599","8,787,401",2.4,257,0
"Total 5320000000 PUBLIC
SERVICE MANAGEMENT",,"1,117,447,638","794,465,895","322,981,743",71.1,257,0
"0106000 P 6 General Adminis-
tration Planning and Support
Services","0106010 SP.6.1 Adminis-
tration, Planning & Sup-
port Services","231,481,909","137,961,515","93,520,394",59.6,257,0
"0108000 P2: Crop Develop-
ment and Management","0108055310 SP5 Crop
Production, Marketing &
Research","38,494,806","3,046,284","35,448,522",7.9,257,0
"0111000 P5: Fisheries Develop-
ment and Management","0111020 SP 5.2 Aquacul-
ture Development Market-
ing & Research","31,509,644","681,984","30,827,660",2.2,257,0
"0112000 P 6: Livestock
Resources Management and
Development","0112065310 Promotion of
Dairy Production, Exten-
sion & Research","31,533,999",-,"31,533,999",0.0,257,0
"0116005310 P.10:Animal
Health, Safety and Quality
Assurance","0116015310 sp 10.1 An-
imal Research, Diseases,
Pest Control & Quality As-
surance","55,152,413",-,"55,152,413",0.0,257,0
0117005310 P.11:Aforestation,"0117015310 sp 11.1 Forest-
ry Services","24,532,637",-,"24,532,637",0.0,257,0
"0118015310 Food Systems and
Surveillance","0118015310 sp18:1 Food
Systems and Surveillance
Services","26,830,000",-,"26,830,000",0.0,257,0
"5321000801 Agricultural De-
velopment Support Project","5321000801 Agricultur-
al Development Support
Project","47,025,760",-,"47,025,760",0.0,257,0
"Total 5321000000 AGRI-
CULTURE, LIVESTOCK
DEVELOPMENT, FISHERIES
& FORESTRY",,"486,561,168","141,689,783","344,871,385",29.1,257,0
"1001005310 P1 General
Administration & Support
Services","1001015310 Sp1 General
Administration & Support
Services","567,476,815","328,277,493","239,199,322",57.8,257,0
