Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
"General Administration,
Planning and Support Ser-
vices",Sub Total,"436,959,593","72,200,476","364,759,117",16.5,106,0
,Headquarters Administrative Services,-,-,-,-,106,0
,"General Administration and Support
Services","436,959,593","72,200,476","364,759,117",16.5,106,0
Crop and Plant Husbandry,Sub Total,-,-,-,-,106,0
,Crop Development and Management.,-,-,-,-,106,0
,"Plant Diseases Management and Con-
trol",-,-,-,-,106,0
"Livestock Recourses Manage-
ment and Development",Sub Total,"2,741,900","108,500","2,633,400",4.0,106,0
,Animal Husbandry Management,-,-,-,-,106,0
,"Livestock Sale Yard and Abattoirs De-
velopment",-,-,-,-,106,0
,Veterinary Services,"2,741,900","108,500","2,633,400",4.0,106,0
"Fisheries Development and
Management",Sub Total,"3,822,078","1,010,830","2,811,248",26.4,106,0
,"Fisheries Policy Strategy and Capacity
Building",-,-,-,-,106,0
,Fisheries,"3,822,078","1,010,830","2,811,248",26.4,106,0
Land Policy and Planning,Sub Total,"155,609,900","59,440,062","96,169,838",38.2,106,0
,Land Survey,-,-,-,-,106,0
,Boundaries and Fencing Services,-,-,-,-,106,0
,Physical Planning,"82,121,900","4,303,911","77,817,989",5.2,106,0
,Land Survey and Mapping,"11,686,000","2,620,617","9,065,383",22.4,106,0
,Housing,-,-,-,-,106,0
,,"7,102,000","2,005,100","5,096,900",28.2,106,0
,,"54,700,000","50,510,434","4,189,566",92.3,106,0
"Animal Husbandry Livestock
Resource Management and
Development",Sub Total,"89,289,241","31,945,529","57,343,712",35.8,106,0
,Animal Husbandry,"27,371,422","5,941,592","21,429,831",21.7,106,0
,County Abattoirs,"1,979,284","232,102","1,747,182",11.7,106,0
,Animal Disease Control,"59,071,161","25,644,436","33,426,726",43.4,106,0
,Livestock Sale Yards,"867,374","127,400","739,974",14.7,106,0
Agricultural Development,Sub Total,"27,022,769","1,847,564","25,175,205",6.8,106,0
,Crop Husbandry,"14,387,500","62,300","14,325,200",0.4,106,0
,Plant Disease Control,"1,959,419","29,400","1,930,019",1.5,106,0
,Agricultural Mechanization Services,"7,897,500","1,755,864","6,141,636",22.2,106,0
,Demonstration Farm,"1,108,200",-,"1,108,200",-,106,0
,Agricultural Training Centre,"1,670,150",0,"1,670,150",-,106,0
Environment Management,Sub Total,"138,432,189","20,476,023","117,956,166",14.8,106,0
,Environmental Protection,"126,848,231","18,433,868","108,414,363",14.5,106,0
,Noise Pollution Management,"2,600,000","143,600","2,456,400",5.5,106,0
,Control of Air Pollution,"1,533,958","348,005","1,185,953",22.7,106,0
,,"7,450,000","1,550,550","5,899,450",20.8,106,0
"General Administration,
Planning and Support Ser-
vices",Sub Total,"854,599,166","117,825,747","736,773,419",13.8,106,0
,Headquarters Administrative Services,"107,806,001","24,516,576","83,289,425",22.7,106,0
,Roads,"695,276,479","76,938,813","618,337,666",11.1,106,0
,Energy,"20,100,000","7,269,370","12,830,630",36.2,106,0
,Fire Fighting,"9,300,000","1,892,988","7,407,012",20.4,106,0
,Transport,"22,116,686","7,208,000","14,908,686",32.6,106,0
Energy and Infrastructure,Sub Total,"26,832,572","4,247,830","22,584,742",15.8,106,0
,Construction of Roads and Bridges,-,-,-,-,106,0
,Development of Energy,-,-,-,-,106,0
,Housing,"26,832,572","4,247,830","22,584,742",15.8,106,0
"Public Works, Transport and
Housing Development",Sub Total,"10,000,000",-,"10,000,000",-,106,0
,Housing Development,"10,000,000",-,"10,000,000",-,106,0
,Fire Fighting Services,-,-,-,-,106,0
,Transport Services,-,-,-,-,106,0
Roads and Public Works,Sub Total,"14,150,000","3,191,100","10,958,900",22.6,106,0
,Public Works,"14,150,000","3,191,100","10,958,900",22.6,106,0
"General Administration,
Planning and Support Ser-
vices",Sub Total,"72,984,939","14,158,024","58,826,915",19.4,107,0
,"General Administration, Planning and
Support Services","72,984,939","14,158,024","58,826,915",19.4,107,0
Trade Development,Sub Total,"164,381,198","9,220,796","155,160,402",5.6,107,0
,Trade Licensing,"2,774,000","705,500","2,068,500",25.4,107,0
,Trade Development,"137,478,470","1,703,609","135,774,861",1.2,107,0
,"Cooperative Services and Develop-
ment","17,161,592","6,054,787","11,106,805",35.3,107,0
,Enterprise Development,"6,967,136","756,900","6,210,236",10.9,107,0
"Culture And Local Tourism
Promotion",Sub Total,"8,366,156","2,338,170","6,027,986",27.9,107,0
,Local Tourism Promotion,"8,366,156","2,338,170","6,027,986",27.9,107,0
"General Administration,
Planning and Support Ser-
vices",Sub Total,"1,971,992,905","462,190,780","1,509,802,125",23.4,107,0
,"Health Policy, Planning & Financing",-,-,-,-,107,0
,"General Administration and Support
Services","1,971,992,905","462,190,780","1,509,802,125",23.4,107,0
Curative Health Services,Sub Total,"312,834,835","110,430,616","202,404,220",35.3,107,0
,Medical Services,"312,834,835","110,430,616","202,404,220",35.3,107,0
,Ambulance Services,-,-,-,-,107,0
Curative and Rehabilitative,Sub Total,"10,059,700","4,912,655","5,147,045",48.8,107,0
,Medical Supplies,-,-,-,-,107,0
,Ambulance services,"10,059,700","4,912,655","5,147,045",48.8,107,0
Public Health and Sanitation,Sub Total,"229,558,695","84,263,875","145,294,820",36.7,107,0
,Preventive and Promotive,"209,568,093","79,523,275","130,044,818",37.9,107,0
,Licensing and control of undertaking,"10,358,518","2,187,520","8,170,998",21.1,107,0
,Sanitation,"4,526,166","1,353,080","3,173,086",29.9,107,0
,Mobile Clinics,"5,105,918","1,200,000","3,905,918",23.5,107,0
"General Administration,
Planning and Support Ser-
vices",Sub Total,"394,142,388","99,450,033","294,692,355",25.2,107,0
,Headquarters Administrative Services,"394,142,388","99,450,033","294,692,355",25.2,107,0
"Social Protection, Culture
and Recreation",Sub Total,"1,100,000","235,200","864,800",21.4,107,0
,Home craft Centres Development,"1,100,000","235,200","864,800",21.4,107,0
,Control of Drugs and Pornography,-,-,-,-,107,0
,Betting and Casinos,-,-,-,-,107,0
,Museum Development,-,-,-,-,107,0
,Sports Training and Competitions,-,-,-,-,107,0
,County Parks Management,-,-,-,-,107,0
Education Support,Sub Total,"577,339,343","33,720,113","543,619,230",5.8,107,0
,Pre-Primary Education,"429,820,045","4,486,137","425,333,908",1.0,107,0
,Home Craft Centres,"147,519,298","29,233,976","118,285,322",19.8,107,0
,Village Polytechnics,-,-,-,-,107,0
"Social Protection and Recre-
ation",Sub Total,"11,189,554","2,190,230","8,999,324",19.6,107,0
,Control of Drugs and Pornography,"4,735,654","1,139,180","3,596,474",24.1,107,0
,Liquor Licensing,"6,048,700","960,050","5,088,650",15.9,107,0
,Betting and Casinos,"405,200","91,000","314,200",22.5,107,0
,Sports Training and Competitions,-,-,-,-,107,0
"General Administration and
Policy Coordination",Sub Total,"2,397,272,617","553,489,968","1,843,782,649",23.1,107,0
,Headquarters Administrative Services,"2,363,490,617","546,843,351","1,816,647,267",23.1,107,0
,County Executive Committee,"16,932,000","3,988,128","12,943,872",23.6,107,0
,ICT,-,-,-,-,107,0
,County Inspectorate,"16,850,000","2,658,490","14,191,510",15.8,107,0
Executive Committee Affairs,Sub Total,-,-,-,-,107,0
,"General Administrative and Executive
Affairs",-,-,-,-,107,0
"Public Services Coordination
and Management",Sub Total,"117,550,000","32,067,633","85,482,367",27.3,107,0
,Human Resource Management,"117,550,000","32,067,633","85,482,367",27.3,107,0
"Public Financial Manage-
ment",Sub Total,"278,949,832","56,704,852","222,244,980",20.3,108,0
,"Budget Formulation Coordination
and Management",-,-,-,-,108,0
,Audit Services,-,-,-,-,108,0
,Accounting services,-,-,-,-,108,0
,Supply Chain Management Services,"63,696,000","9,201,792","54,494,208",14.4,108,0
,Fiscal and Economic Planning,"24,756,000","9,041,798","15,714,202",36.5,108,0
,Budget,"18,518,000","6,997,342","11,520,658",37.8,108,0
,Accounting,"16,884,000","7,211,154","9,672,846",42.7,108,0
,Procurement,-,-,-,-,108,0
,Internal Audit,"11,147,531","1,563,200","9,584,331",14.0,108,0
,Revenue Collection,"143,948,301","22,689,566","121,258,735",15.8,108,0
"Economic Policy Coordina-
tion and Supervision",Sub Total,"16,341,000","7,729,000","8,612,000",47.3,108,0
,"Economic Planning Coordination Ser-
vices",-,-,-,-,108,0
,Statistical Information Services,-,-,-,-,108,0
,Monitoring and Evaluation Services,"16,341,000","7,729,000","8,612,000",47.3,108,0
Devolution Services,Sub Total,"64,268,000","27,308,930","36,959,070",42.5,108,0
,Coordination Of Devolution Services,"31,608,000","16,647,101","14,960,899",52.7,108,0
,Intergovernmental Relations,"17,620,000","7,698,757","9,921,243",43.7,108,0
,County Government Advisory Service,"15,040,000","2,963,072","12,076,928",19.7,108,0
