Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"EDUCATION, YOUTH & SPORTS",,,,,,177,2
"General Administration &
Planning services","Headquarter Administration Ser-
vices","15,000,000","4,213,921","10,786,079",28.1,177,2
Education Empowerment,"Education Empowerment Pro-
gramme","50,000,000",,"50,000,000",0.0,177,2
"Sports, Arts and Social
Services",Talent Development Services,"600,000","219,758","380,242",36.6,177,2
,Social and Cultural Development,"11,100,000","269,943","10,830,057",2.4,177,2
Education and Training,Vocational Education and Training,"3,777,793","3,650,340","127,453",96.6,178,0
,Education Empowerment,,"286,100","-286,100",,178,0
Financial Services,"County Treasury Administrative
Services","85,360,700","24,866,728","60,493,972",29.1,178,0
"Sports Improvement and
Support Programme",Sports Promotion Services,"21,775,883","1,265,700","20,510,183",5.8,178,0
ECDE Development,ECDE Infrastructure Improvement,"37,450,000","1,110,150","36,339,850",3.0,178,0
"Children Support Pro-
gramme","Children Institution Support Pro-
gramme","12,848,207","1,099,114","11,749,093",8.6,178,0
"Vocational Training
development",Infrastructure Improvement,"98,153,311","19,106,170","79,047,141",19.5,178,0
Sub-total,,"336,065,894","56,087,924","279,977,970",16.7,178,0
"Public Works Service
delivery Improvement","County Building Construction
Standards","900,602",0,"900,602",0.0,179,0
,"Public Building and Bridges In-
spectorate Services","3,400,000","1,015,600","2,384,400",29.9,179,0
,"Private Building Inspectorate Ser-
vices","700,000",0,"700,000",0.0,179,0
"Roads Network Im-
provement and Urban
Development","Roads Network Improvement and
Bridges","550,483,915","112,046,444","438,437,471",20.4,179,0
,Bridges infrastructural Services,"16,000,000",0,"16,000,000",0.0,179,0
,"Leased Equipment Operations Sup-
port","91,000,005","23,685,211","67,314,794",26.0,179,0
"Renewable Energy
Services","County Renewable/Green Energy
Services","1,200,000","997,750","202,250",83.1,179,0
Financial Services,"County Treasury administrative
services","31,486,317","1,975,413","29,510,904",6.3,179,0
Sub-total,,"892,984,187","190,340,727","702,643,460",21.3,179,0
