Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
HEALTH,,,,,,228,2
"Planning and administra-
tive support services","Health Management Informative
System","1,500,000","1,210,910","289,090",81,229,0
,"Administrative And Support Ser-
vices","1,340,729,812","1,113,664,150","227,065,662",83,229,0
,Sub total,"1,342,229,812","1,114,875,060","227,354,752",83,229,0
"Preventive And Promotive
Health Services",Community Health Services,"44,860,680","25,730,232","19,130,448",57,229,0
,"Sanitation And Environmental
Health Services","1,000,000",-,"1,000,000",-,229,0
,Human Nutrition And Dietetics,"2,000,000","1,115,500","884,500",56,229,0
,Communicable Disease Control,"1,000,000",-,"1,000,000",-,229,0
,Hiv And Aids Management,"2,000,000",-,"2,000,000",-,229,0
,Disease Surveillance/,"1,500,000","1,141,500","358,500",76,229,0
,"Emergency Preparedness And Re-
sponse","1,000,000","57,600","942,400",6,229,0
,Health Promotion,"1,500,000","1,014,200","485,800",68,229,0
,Family& Reproductive Health,"17,000,000","2,313,500","14,686,500",14,229,0
,Sub total,"71,860,680","31,372,532","40,488,148",44,229,0
"Curative , Rehabilitative
and Referral services","Pharmaceutical And Non –Phar-
maceutical Commodities","316,638,857","103,561,306","213,077,551",33,229,0
,Diagnostic Services,"2,500,000","1,404,450","1,095,550",56,229,0
,Sub total,"319,138,857","104,965,756","214,173,101",33,229,0
"Infrastructure Develop-
ment",Infrastructure Development,"343,348,878",-,"343,348,878",-,229,0
,Sub total,"343,348,878",-,"343,348,878",-,229,0
External Funding,Donor Funds,"96,862,500","36,590,548","60,271,952",38,229,0
,Conditional Grants,"153,570,778",,"153,570,778",-,229,0
,Sub total,"250,433,278","36,590,548",,15,229,0
AGRICULTURE,,,,,,229,0
"Agriculture (Policy, Plan-
ning, General Administra-
tion and Support Services)",General administration,"151,734,680","110,836,394","40,898,286",73,229,0
,Sub total,"151,734,680","110,836,394","40,898,286",73,229,0
,"Field Extension Services and sup-
port programme","10,885,660","2,100,111","9,486,873",19,229,0
,Sub total,"10,885,660","2,100,111","9,486,873",19,229,0
"Crop development and
management",Crop development,"20,460,001","3,958,105","31,000,000",19,229,0
,Sub total,"20,460,001","3,958,105","31,000,000",-,229,0
External Funding,Donor Funds,"443,246,222",-,"443,246,222",-,229,0
,Sub total,"443,246,222",-,"443,246,222",-,229,0
"Fisheries (Policy, Plan-
ning, General Administra-
tion and Support Services)",General administration,"7,184,160",-,"7,184,160",-,229,0
,"Field Extension Services and sup-
port programme","5,781,840",-,"5,781,840",-,229,0
,Sub total,"12,966,000",-,"12,966,000",-,229,0
,"Aquaculture development and ex-
tension","15,835,083","3,661,376","12,486,708",23,229,0
,Sub total,"15,835,083","3,661,376","12,486,708",23,229,0
"Livestock (Policy, Plan-
ning, General Administra-
tion and Support Services)",General administration,"7,290,000","5,369,000","1,921,000",74,229,0
,Sub total,"7,290,000","5,369,000","1,921,000",74,229,0
"Livestock production and
management","Enterprise Development And Val-
ue Addition","4,720,000","4,146,450","573,550",88,229,0
,Sub total,"4,720,000","4,146,450","573,550",88,229,0
"Veterinary Services
(Policy, Planning, General
Administration and Sup-
port Services)",General administration,"6,919,000","2,070,000","4,849,000",30,229,0
,"Field Extension Services and sup-
port programme","1,230,000","900,000","330,000",73,229,0
,Sub total,"8,149,000","2,970,000","5,179,000",36,229,0
Veterinary services,"Livestock disease control & man-
agement","9,489,786","8,985,281","504,505",95,230,0
,"Veterinary public health manage-
ment","2,920,000",-,"2,920,000",-,230,0
,Livestock breeding services,-,-,-,-,230,0
,Sub total,"12,409,786","8,985,281","3,424,505",72,230,0
COUNTY EXECUTIVE,,,,,,230,0
"Governance and Execu-
tive Management",Citizen delivery service,"270,000,000","15,311,423","270,000,000",-,230,0
,"Coordination of Devolved Minis-
tries and Departments","31,768,582","17,716,000","14,052,582",56,230,0
,Sub total,"301,768,582","33,027,423","268,741,159",11,230,0
"Strategy and service
delivery",Legal Services,"68,100,000","43,639,368","24,460,632",64,230,0
,Efficiency monitoring services,"7,636,000","4,997,644","2,638,356",65,230,0
,Sub total,"75,736,000","48,637,012","27,098,988",64,230,0
"Strategy and service
delivery","Conflict Management And Reso-
lution","1,101,000","1,191,500","(90,500)",108,230,0
,Sub total,"1,101,000","1,191,500","(90,500)",108,230,0
"Governor's Office (Gen-
eral Administration and
Support Services)",General Administration Services,"96,734,000","69,054,819","27,679,181",71,230,0
,Sub total,"96,734,000","69,054,819","27,679,181",71,230,0
"Cohesion And Peace
Building","Peace Building, Education, Advo-
cacy And Research","7,995,000","733,690","7,261,310",9,230,0
,Sub total,"7,995,000","733,690","7,261,310",9,230,0
"Deputy Governor's Of-
fice(General Administra-
tion and Support Services)",General Administration Services,"20,063,200","10,508,800","9,554,400",52,230,0
,Sub total,"20,063,200","10,508,800","9,554,400",52,230,0
"Governance and Execu-
tive Management",Citizen Delivery services,"3,374,000",-,"3,374,000",-,230,0
,Sub total,"3,374,000",-,"3,374,000",-,230,0
"County Secretary (Gen-
eral Administration and
Support Services)",General Administration Services,"20,632,000","16,915,162","3,716,838",82,230,0
,Sub total,"20,632,000","16,915,162","3,716,838",82,230,0
"Kenya Devolution Sup-
port Programme","Key Result Area1: Public Finance
Management","3,600,000",-,"3,600,000",-,230,0
,"Key Result Area2: Planning , Mon-
itoring And Evaluation","6,900,000","48,000","6,852,000",1,230,0
,"Key Result Area3: Performance
Contracting And Human Resourc-
es Management","10,800,000",-,"10,800,000",-,230,0
,"Key Result Area4: Civic Education
And Public Participation","5,100,000",-,"5,100,000",-,230,0
,"Key Result Area5: Environment
And Social Safeguard","3,600,000",-,"3,600,000",-,230,0
,Sub total,"30,000,000","48,000","29,952,000",0,230,0
"Information Communica-
tion Technology (General
Administration and Sup-
port Services)",General Administration Services,"27,433,252","7,934,607","19,498,645",29,230,0
,"Information communication and
technology","25,000,000",-,"25,000,000",-,230,0
,Sub total,"52,433,252","7,934,607","44,498,645",15,230,0
PUBLIC SERVICE MANAGEMENT,,,,,,230,0
"General Administration
and Support Services","General Administration and Sup-
port Services","712,266,600","331,768,968","380,497,632",47,230,0
,Sub total,"712,266,600","331,768,968","380,497,632",47,230,0
"Human Capital Manage-
ment And Development",Human Capital Strategy,"2,000,000",-,"2,000,000",-,230,0
,"Information And Records Man-
agement","570,000","407,160","162,840",71,230,0
