Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (%),"Absorption
(%)",page_number,table_index
THE EXECUTIVE OFFICE,,,,,,386,0
"0701003360 P1 County Execu-
tive Services","0701003360 P1 County Executive
Services","471,877,059","403,343,152","68,533,907",85.5,386,0
,Sub total,"471,877,059","403,343,152","68,533,907",85.5,386,0
THE COUNTY ASSEMBLY,,,,,,386,0
"General admin & support ser-
vices(0701003710)","0715003360 P15 County Legislative
Services","760,194,403","524,066,124","236,128,279",68.9,386,0
,Construction of Non-residential,"30,000,000",,,,386,0
,Sub total,"790,194,403","524,066,124","266,128,279",66.3,386,0
"FINANCE AND ECONOMIC
PLANNING",,,,,,386,0
"0701003360 P1Kenya Devolu-
tion Support programme","0701003360 P1Kenya Devolution
Support programme","142,000,000",-,"142,000,000",0.0,386,0
"0707003360 P7 Public Finance
Management","0707003360 P7 Public Finance
Management","26,428,123","9,099,000","17,329,123",34.4,386,0
"0708003360 P8 Economic Plan-
ning Services","0708003360 P8 Economic Planning
Services","14,455,600",-,"14,455,600",0.0,386,0
"0717003360 P17 General Ad-
ministration and Support Ser-
vices","0717003360 P17 General Adminis-
tration and Support Services","456,767,221","290,000,190","166,767,031",63.5,386,0
,Sub total,"639,650,944","299,099,190","340,551,754",46.8,386,0
"ROADS TRANSPORT AND
PUBLIC WORKS",,,,,,386,0
"0201003360 P1 Road Transport
Services","0201003360 P1 Road Transport Ser-
vices","1,016,469,688","294,191,048","722,278,640",28.9,386,0
"0202003360 P2 Public Works
and Transport Services","0202003360 P2 Public Works and
Transport Services","229,550,000","40,000,000","189,550,000",17.4,386,0
"0208003360 P8 General Admin-
istration and Support Services","0208003360 P8 General Adminis-
tration and Support Services","78,732,455","54,808,064","23,924,391",69.6,386,0
,Sub total,"1,324,752,143","388,999,112","935,753,031",29.4,386,0
"AGRICULTURE AND LIVE-
STOCK DEVELOPMENT",,,,,,386,0
1001003360 P1,"1001003360 P1 ,General Adminis-
tration","180,687,333","120,000,000","60,687,333",33.6,386,0
1001003361 P2,Livestock Resource management,"57,588,600",-,,0.0,386,0
1001003360 P3,Veterinary Support Services,"22,900,000",-,,0.0,386,0
1001003360 P4,"Crop Development and Manage-
ment","27,658,600",-,,0.0,386,0
1001003360 P5,"Fisheries Development and Man-
agement","12,128,027",-,,0.0,386,0
1001003360 P6,Irrigation Management Service,"236,734,115","141,395,274","95,338,841",40.3,386,0
1001003360 P7,Kenya Climate Smart Agriculture,"175,020,320","52,957,045","122,063,275",69.7,386,0
1001003360 P8,"Agriculture Sector Development
support prog","26,574,387",-,,0.0,386,0
1001003360 P9,"Agriculture Sector Development
support prog",,,,0.0,386,0
,Sub total,"739,291,382","314,352,319","424,939,063",57.5,386,0
"PUBLIC HEALTH , MEDICAL
SERVICE AND SANITATION",,,,,,386,0
"0401003360 P1 Curative, Reha-
bilitative and Referral Services","0401003360 P1 Curative, Rehabilita-
tive and Referral Services","392,142,699","57,104,896","335,037,804",14.6,386,0
"0402003360 P2 Preventive and
promotive services","0402003360 P2 Preventive and pro-
motive services","291,607,699",-,,0.0,386,0
0406003360 P6 RMNCH,0406003360 P6 RMNCH,"429,764,756","169,122,494","260,642,262",39.4,386,0
0407003360 P7 TB & HIV-AIDS,0407003360 P7 TB & HIV-AIDS,"11,168,000",-,,0.0,386,0
"0408003360 P8 Health Research
Services","0408003360 P8 Health Research
Services","9,596,000",-,,0.0,386,0
"0403003360 P3 General Admin-
istration and Support Services","0403003360 P3 General Adminis-
tration and Support Services","1,474,822,531","1,273,567,123","201,255,408",86.4,386,0
,Sub total,"2,609,101,685","1,499,794,513","1,109,307,173",57.5,386,0
WATER,,,,,,387,0
1001003360 P1 Water Services,1001003360 P1 Water Services,"1,145,050,885","452,301,208","692,749,677",39.5,387,0
,,,,,,387,0
,Sub total,"1,145,050,885","452,301,208","692,749,677",39.5,387,0
"ENERGY , ENVIRONMENT &
NATURAL RESOURCES",,,,,,387,0
