Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
(%)",page_number,table_index,"Approved Budget
(Ksh)","Actual Payments
(Ksh)"
,FISHERIES DEVELOPMENT,"25,985,678","6,360,867","19,624,811",24.5,373,0,,
,,"25,985,678","6,360,867","19,624,811",24.5,373,0,,
,"LIVESTOCK RESOURCE MANAGE-
MENT AND DEVELOPMENT","139,127,252","31,966,890","107,160,362",23.0,373,0,,
,,"139,127,252","31,966,890","107,160,362",23.0,373,0,,
,HOUSING DEVELOPMENT,"3,704,904","1,278,700","2,426,204",34.5,373,0,,
,,"3,704,904","1,278,700","2,426,204",34.5,373,0,,
,HOUSING DEVELOPMENT,"49,114,990","35,998,346","13,116,645",73.3,373,0,,
,,"49,114,990","35,998,346","13,116,645",73.3,373,0,,
,HOUSING DEVELOPMENT,"84,442,500","48,112,983","36,329,517",57.0,373,0,,
,,"84,442,500","48,112,983","36,329,517",57.0,373,0,,
,Grand Total,"10,170,754,635","5,871,858,935","4,298,895,700",57.7,373,0,,
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"528,527,301",35.4,378,0,"817,734,740","289,207,439"
,Personnel Services,,,,,378,0,,
,Administrative Service,,,"687,726,426",35.4,378,0,"817,534,740","289,207,439"
,Financial Services,,,,,378,0,,
,Research and Development,,,"200,000",-,378,0,"200,000",-
,"Formulation of Policies, Regulations and Legal
Framework",,,-,-,378,0,-,-
"Livestock Development
and Management",Livestock Development and Management,,,"14,719,357",18.1,378,0,"17,970,357","3,251,000"
,Veterinary Services and Extension,,,"9,339,357",23.3,378,0,"12,170,357","2,831,000"
,Livestock Extension,,,"5,380,000",7.2,378,0,"5,800,000","420,000"
,Value Chain Development,,,-,-,378,0,-,-
"Fisheries Development
and Management",Fisheries Development and Management,,,"7,919,200",1.0,378,0,"8,000,000","80,800"
,Promotion of Fish Farming,,,"7,919,200",1.0,378,0,"8,000,000","80,800"
"Crop Development and
Management",Crop Development and Management,,,"11,565,000",4.4,378,0,"12,100,000","535,000"
,Crop Extension,,,"11,565,000",4.4,378,0,"12,100,000","535,000"
,Farm Input Subsidy,,,-,-,378,0,-,-
,Cash Crop Production and Development,,,-,-,378,0,-,-
,Food Security Initiatives,,,-,-,378,0,-,-
"Cooperatives Develop-
ment",Cooperatives Development,,,"4,006,640",19.9,378,0,"5,000,000","993,360"
,Cooperative Development Services,,,"4,006,640",19.9,378,0,"5,000,000","993,360"
"Land Survey and Map-
ping Services",Land Survey and Mapping Services,,,,,378,0,,
,Land Survey and Mapping,,,-,-,378,0,-,-
"Urban and Physical Plan-
ning and Housing Ser-
vices","1 Urban and Physical Planning and Housing
Services",,,"498,361,024",-,378,0,"498,361,024",-
,Urban and Physical Planning,,,"488,361,024",-,378,0,"488,361,024",-
,Housing Development,,,"10,000,000",-,378,0,"10,000,000",-
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"525,067,196",8.6,378,0,"574,498,888","49,431,692"
,Personnel Services,,,,,378,0,,
,Administrative Service,,,"525,067,196",8.6,378,0,"574,498,888","49,431,692"
,Financial Services,,,,,378,0,,
"Public Finance Manage-
ment",Public Finance Management,,,"1,000,000",-,378,0,"1,000,000",-
,Purchase of a trailer,,,"1,000,000",-,378,0,"1,000,000",-
,Purchase of tipping lorries,,,,,378,0,,
,Renovation and Construction of Bus Park,,,-,-,378,0,-,-
,Purchase of Murrum site,,,-,-,378,0,-,-
,Street Lighting,,,-,-,378,0,-,-
Transport Management,Transport Management,,,"24,923,900",9.2,378,0,"27,434,400","2,510,500"
,Transport System Management,,,"8,400,000",22.9,378,0,"10,900,000","2,500,000"
,Mechanical Services,,,"16,523,900",0.1,378,0,"16,534,400","10,500"
"Infrastructure Develop-
ment",Infrastructure Development,,,"4,200,000",-,379,0,"4,200,000",-
,Street Lighting,,,,,379,0,,
,Construction of Low Seal Tarmac Road,,,,,379,0,,
,Roads Maintenance,,,"4,200,000",-,379,0,"4,200,000",-
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"122,880,927",10.9,379,0,"137,846,017","14,965,091"
