Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index
,"Formulation of community land policy and reg-
ulations","13,298,561","976,940",7.3,354,1
104074110,Urban Centre Mgt,"1,000,000",-,-,354,1
104084110,Municipality Upgrade,"12,298,561","976,940",7.9,354,1
,Compulsory land acquisition for public utilities,"14,400,000",-,-,354,1
105014110,Land acquisition for public utilities,"14,400,000",-,-,354,1
,"Establishment and rehabilitation of public util-
ities in Lodwar","24,000,000",-,-,354,1
109024110,completion of recreational park,"17,000,000",-,-,354,1
109034110,setting up of dumping site in Lodwar,"7,000,000",-,-,354,1
,Revival of Turkana Fishermen Co-op. society,"7,000,000",-,-,354,1
110094110,Soil & Water Conservation,"7,000,000",-,-,354,1
,Fish market infrastructure/ fish value addition,"30,080,497","3,196,135",10.6,354,1
111014110,Fish market infrastructure/ fish value addition,"1,200,000",-,-,354,1
111024110,Fisheries livelihood support,"20,293,623","715,655",3.5,354,1
111034110,Fisheries Extension Services,"2,500,000","514,700",20.6,354,1
111044110,Fisheries resource management,"3,960,524","1,952,490",49.3,354,1
111064110,Fisheries resource management,"800,000",-,-,355,0
111084110,Fish Farming & Aquaculture,"1,326,350","13,290",1.0,355,0
,Sustainable management of fisheries resources,"52,830,989","41,777,624",79.1,355,0
115014110,Frame survey,"46,109,700","39,280,067",85.2,355,0
115024110,Fish Stock assessment,"1,900,000",-,-,355,0
115034110,"Monitoring, Control and Surveillance","4,221,015","2,342,955",55.5,355,0
115044110,Resource monitoring facilities,"600,274","154,602",25.8,355,0
,Livestock breed improvement,"39,500,000","380,480",1.0,355,0
117014110,"Establish livestock Multiplication and breeding
Centre.","17,000,000",-,-,355,0
117034110,Provision of Livestock Extension services,"3,000,000","380,480",12.7,355,0
117054110,Livestock multiplication and breeding Centre,"4,500,000",-,-,355,0
117084110,Skills Devt,"15,000,000",-,-,355,0
,General Administration,"712,146,015","382,577,337",53.7,355,0
125014110,General Administration,"249,352,899","160,324,195",64.3,355,0
125024110,"General Administration and Support Services-
Pastoral Economy and","234,834,928","173,759,358",74.0,355,0
