Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","A
Variance (Kshs)
t","bsorp-
ion (%)",page_number,table_index,Variance (Kshs),"Absorp-
tion (%)"
COUNTY EXECUTIVE,Compensation to employees,"1,494,638,552","1,287,873,481","206,765,071",86%,39,1,,
County Executive,Use of Good and Services,"259,227,874","127,333,640","131,894,234",49%,39,1,,
PUBLIC SERVICE BOARD,,,,-,,39,1,,
Public service Board,Use of Good and Services,"20,034,200","5,457,290","14,576,910",27%,39,1,,
ADMINSTRATION,Use of Good and Services,"58,190,252","27,474,251",,,40,0,"30,716,001",47%
Administration-Governance,Training Services,"100,000","33,000",,,40,0,"67,000",33%
,Consultancy Services,"100,000",-,,,40,0,"100,000",0%
Infrastructure Development,"Purchase of Motor Vehicle( Fire En-
gine)","30,000,000",-,,,40,0,"30,000,000",0%
,Residential Buildings,"19,000,000","9,504,993",,,40,0,"9,495,007",50%
,Non Residential Buildings- Offices,"20,610,000",-,,,40,0,"20,610,000",0%
ICT DEPARTMENT,,,-,,,40,0,-,
Program 2-ICT Services,"Information Communication Tech-
nology (ICT) Services",,-,,,40,0,-,
,"S.P 1.1 Development of infrastructure
and connectivity","7,000,000",-,,,40,0,"7,000,000",0%
,S.P 1.2 ICT Connectivity enhancement,"4,000,000",-,,,40,0,"4,000,000",0%
,S.P 1.3 E-government services,"10,000,000",-,,,40,0,"10,000,000",0%
,,,-,,,40,0,-,
FINANCE,Use of Good and Services,105772392,"72,550,763",,,40,0,"33,221,629",69%
"P5 Financial management
Services",Preparation of County Valuation roll,0,-,,,40,0,-,
,Automation of Revenue,15427759,"13,905,595",,,40,0,"1,522,164",90%
,Pending Bills,84500000,"76,910,833",,,40,0,"7,589,167",91%
"2. ECONOMIC PLAN-
NING
Other Recurrent Expen-
diture",22 - Use of Goods and Services total,"62,170,585","13,673,156",,,40,0,"48,497,429",22%
,,,-,,,40,0,-,
,LREB,"3,000,000",-,,,40,0,"3,000,000",0%
,KDSP,"30,000,000",-,,,40,0,"30,000,000",0%
P 2- Bubget Preparation,,,-,,,40,0,-,
,Preparation of Budget Documents,"8,000,000","5,505,000",,,40,0,"2,495,000",69%
,Awareness and Publicity Campaigns,"6,000,000","4,610,400",,,40,0,"1,389,600",77%
"P3 Monitoring and Eval-
uation",,,-,,,40,0,-,
,"Monitoring services(Installation of
M&E dashboard)","11,000,000",-,,,40,0,"11,000,000",0%
,Awareness and Publicity Campaigns,"100,000",-,,,40,0,"100,000",0%
P4 Planning and Statistics,,,-,,,40,0,-,
,County Plans,"9,598,250",-,,,40,0,"9,598,250",0%
,County Statistics,"4,000,000","3,501,500",,,40,0,"498,500",88%
,,,-,,,40,0,-,
,,,-,,,40,0,-,
"LANDS HOUSING AND
URBAN PLANNING",Use of Goods and Services total,"26,491,187","16,136,987",,,40,0,"10,354,200",61%
"Infrastructure Develop-
ment",Contracted Technical Services,"20,500,000",-,,,40,0,"20,500,000",0%
,Purchase of land,"50,000,000",-,,,40,0,"50,000,000",0%
,Other Infrastructure and Civil Works,"14,943,613",-,,,40,0,"14,943,613",0%
,Engineering and Design Plans,"2,112,174","598,650",,,40,0,"1,513,524",28%
,"Non-Residential Buildings (offices,
schools, hospitals, etc..)","3,000,000",-,,,40,0,"3,000,000",0%
"KUSP RECURRENT
-
-",,,,,,40,0,,
,"Training and Capacity Building of
Bomet Municipal Board and Staff","1,500,000",-,,,41,0,"1,500,000",0%
,"Completion of Bomet Municipal Ur-
ban Integrated Development Plan","7,000,000",-,,,41,0,"7,000,000",0%
,Kembu IDEP,"3,000,000",-,,,41,0,"3,000,000",0%
,Sigor IDEP,"3,000,000",-,,,41,0,"3,000,000",0%
,Mulot Town Integrated Plan,"7,000,000",-,,,41,0,"7,000,000",0%
,County urban areas strategic plan,"9,000,000",-,,,41,0,"9,000,000",0%
,"County physical planning g/ Develop-
ment control","6,000,000",-,,,41,0,"6,000,000",0%
,Electricity,"50,000",-,,,41,0,"50,000",0%
,Water and sewerage charges,"30,000",-,,,41,0,"30,000",0%
,"Telephone, Telex, Facsimile and Mobile
Phone Services","10,000",-,,,41,0,"10,000",0%
,Courier and Postal Services,"10,000",-,,,41,0,"10,000",0%
,"Travel Costs (bus, railway, mileage al-
lowances, etc.)","400,000",-,,,41,0,"400,000",0%
,Domestic Travel and Subs.-Others,"1,225,000",-,,,41,0,"1,225,000",0%
,Publishing and Printing Services,"150,000",-,,,41,0,"150,000",0%
,"Subscriptions to Newspapers, Maga-
zines and Periodicals","20,000",-,,,41,0,"20,000",0%
,"Advertising, Awareness & Publicity
Campaigns","400,000",-,,,41,0,"400,000",0%
,Trade Shows and Exhibitions,"200,000",-,,,41,0,"200,000",0%
,"Other Operating expenses- Communi-
ty Participation","1,310,000","1,000,000",,,41,0,"310,000",76%
,"Catering Services (receptions), Accom-
modation, Gifts, Food and Drinks","165,000",-,,,41,0,"165,000",0%
,"Boards, Committees, Conferences and
Seminars","1,350,000",-,,,41,0,"1,350,000",0%
,Gas Expenses,"50,000",-,,,41,0,"50,000",0%
,"Purchase of Uniforms and Cloth-
ing-Staff","300,000",-,,,41,0,"300,000",0%
,Accommodation - Domestic Travel,"1,200,000",-,,,41,0,"1,200,000",0%
,Daily Subsistence Allowance,"1,120,000","372,000",,,41,0,"748,000",33%
,"Sanitary and Cleaning Materials, Sup-
plies and Services","250,000",-,,,41,0,"250,000",0%
,Bank Service Commission and Charges,"10,000",-,,,41,0,"10,000",0%
,"Purchase of household and institutional
appliances","150,000",-,,,41,0,"150,000",0%
,Sundry items,"100,000",-,,,41,0,"100,000",0%
"KUSP DEVELOPMENT
-
-",,,,,,41,0,,
,"Construction of Bomet Universi-
ty-Chebirir-Major Estate Road to Bitu-
men Standard","67,000,000",-,,,41,0,"67,000,000",0%
,"Improvement of Selected Silbwet Town
Access Roads to Bitumen Standards.","50,000,000",-,,,41,0,"50,000,000",0%
,"Construction of Additional Market
Stalls and Installation of Canro Blocks/
Works in Bomet Market.","56,600,000",-,,,41,0,"56,600,000",0%
,"Purchase of Farm Tractor with Skip
Loader","8,000,000",-,,,41,0,"8,000,000",0%
,"Preparation of Detailed Designs and
Environmental Impact Reports for
KUSP Projects","8,400,000",-,,,41,0,"8,400,000",0%
YOUTH SPORTS GENDER AND CULTURE,,,,,,41,0,,
,Use of Goods and Services total,"15,200,000","9,551,845",,,41,0,"5,648,155",63%
"PROGRAMME 1 Policy
Development and Admin-
istrative Services",Policy Development,"500,000",-,,,42,0,"500,000",0%
,Capacity Building,"1,000,000","254,800",,,42,0,"745,200",25%
"PROGRAMME 2 Gender,
Children Services and
Social Protection",,,,,,42,0,,
,"SP 2.1 Training and gender empow-
erment","6,400,000","5,418,900",,,42,0,"981,100",85%
,"SP 2.2 Social protection and children
services","12,300,000","9,569,440",,,42,0,"2,730,560",78%
"PROGRAMME 3 Culture
and library services","PROGRAMME 3 Culture and library
services",,,,,42,0,,
,SP 3.1 Cultural Development,"3,120,370","731,360",,,42,0,"2,389,010",23%
,"SP 3.2 Public Records and Archives
Management","1,000,000",-,,,42,0,"1,000,000",0%
"PROGRAMME 4 Youth
and Sports Development",,,,,,42,0,,
,SP 4.2 Sports Enhancement,"9,500,000","3,844,900",,,42,0,"5,655,100",40%
,"SP 4.3 Revitalization of youth pro-
grammes","9,000,000","3,397,970",,,42,0,"5,602,030",38%
,SP 4.4 Internship Programme,"27,000,000","14,334,000",,,42,0,"12,666,000",53%
,"SP 4.5 Establishment of Youth Empow-
erment facilities and equipment","3,000,000","2,868,500",,,42,0,"131,500",96%
DEVELOPMENT,,,,,,42,0,,
P.3,"SP 2.2 Social Protection and Children
Services","2,000,000",-,,,42,0,"2,000,000",0%
P 3,SP 3.1 Cultural Development,,,,,42,0,,
,"SP 3.2 Public Records and Archives
Management","4,000,000",-,,,42,0,"4,000,000",0%
P 4,"SP 4.5 Development of sporting facil-
ities","31,000,000",-,,,42,0,"31,000,000",0%
"MEDICAL SERVICES
AND PUBLIC HEALTH",,,,,,42,0,,
Salaries and Wages,Compensation to Employees,"665,000,000","324,731,153",,,42,0,"340,268,848",49%
