Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
Preventive and Promotive,,,,,,222,0
Health Care Services,Preventive health care,"25,652,122",-,"25,652,122",0.0%,222,0
Curative Health,Curative health care services,"722,700,419","243,093,446","479,606,973",33.6,222,0
General Administration and Planning,"General Administration and
Planning","2,659,875,164","1,865,720,620","794,154,544",70.1,222,0
"Efficiency, Monitoring and Evaluation",,,,,,222,0
,"Performance management
and Appraisal","1,000,000","254,000","746,000",25.4,222,0
Communication and Events,Communication and Events,"26,150,000","23,232,650","2,917,350",88.8,222,0
"Disaster Management, Rescue and Emer-
gency","Disaster Management, Res-
cue and Emergency","14,200,000","5,750,000","8,450,000",40.5,222,0
Human Resource Management,"Human Resource Manage-
ment","136,800,629","116,770,197","20,030,432",85.4,222,0
"General Administration, Planning and
Support Services","Administration, Planning
and Support Services","123,024,251","80,075,022","42,949,229",65.1,222,0
"Partnership Development and External
Linkages","Partnership Development
and External Linkages","10,100,728","7,482,141","2,618,587",74.1,222,0
"Finance, Economic Planning and ICT",,,,,,222,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","736,840,744","444,706,309","292,134,435",60.4,222,0
Public Finance Management,"Budget Coordination &
Management","26,400,000","13,389,150","13,010,850",50.7,222,0
,Internal Audit,"7,550,000","5,860,604","1,689,396",77.6,222,0
,Procurement Service,"7,300,000","7,300,000",-,100,222,0
ICT Development,ICT Development,"12,339,132","2,975,600","9,363,532",24.1,222,0
Economic Planning & Coordination Services,,,,,,222,0
Fleet Management,Fleet Management,"18,925,000","612,600","18,312,400",3.2,222,0
"Agriculture, Livestock and Fisheries",,,,,,222,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","815,757,184","270,206,997","545,550,187",33.1,222,0
Agriculture Development,Agriculture Development,"22,008,000","23,407,545","(1,399,545)",106.4,222,0
Aquaculture Development,Aquaculture Development,"7,628,000","1,105,192","6,522,808",14.5,222,0
Livestock Development,Livestock Development,"7,981,000","478,020","7,502,980",6.0,222,0
Animal Disease Management,,,,,,222,0
County Owned Enterprise,"Agricultural Training Cen-
tre","15,226,400","497,261","14,729,139",3.3,222,0
,"Agricultural Mechanization
Services","525,600",,"525,600",-,222,0
"Education, Technology, Gender and Social Development",,,,,,222,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","807,041,929","705,181,611","101,860,318",87.4,222,0
Basic Education,Basic Education,"194,501,646","117,120,885","77,380,761",60.2,222,0
Technical & Vocational Education & Training,,,,,,222,0
"Gender, Social Development & Children
Services","Gender, Social Develop-
ment & Children Services","36,000,000","10,547,651","25,452,349",29.3,222,0
Water and Irrigation,,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","115,120,000","87,556,460","27,563,540",76.1,223,0
"Lands, Physical Planning, Urban Development and Public Works",,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","108,702,987","70,999,197","37,703,790",65.3,223,0
Meru Town Municipality,Meru Town Municipality,"310,430,649","1,411,350","309,019,299",0.5,223,0
Public Works,Public Works,"127,067,366","26,528,807","100,538,559",20.9,223,0
Public Service Administration and Legal Affairs,,,,,,223,0
