Vote,Sub Program,Budget (Kshs.),Expenditure (Kshs.),Variance (Kshs.),Absorption (%),page_number,table_index
DEVELOPMENT VOTE,,,,,,329,0
Agriculture,Agricultural Development project,"178,000,000",-,"178,000,000",-,329,0
,Minor/Village irrigation schemes,"178,000,000",-,"178,000,000",-,329,0
,,"178,000,000",-,"178,000,000",-,329,0
Veterinary,Veterinary Services,"38,300,000",-,"38,300,000",-,329,0
,"Build a modern slaughter house in
Garsen","38,300,000",-,"38,300,000",-,329,0
,,"38,300,000",-,"38,300,000",-,329,0
Livestock,"Animal Husbandry, Livestock Re-
source Management and Devt","20,000,000",-,"20,000,000",-,329,0
,Animal Husbandry,"7,000,000",-,"7,000,000",-,329,0
,Livestock Sale Yard,"13,000,000",-,"13,000,000",-,329,0
,,"20,000,000",-,"20,000,000",-,329,0
Fisheries,Fisheries,"25,431,865",-,"25,431,865",-,329,0
,Fish Pond rehabilitation,"10,000,000",-,"10,000,000",-,329,0
,"Construction of Ice Plant and Cold
Storage","15,431,865",-,"15,431,865",-,329,0
,,"25,431,865",-,"25,431,865",-,329,0
"Land and Physical
Planning",Land Policy and Planning,"112,000,000",-,"112,000,000",-,329,0
,Physical Planning,"112,000,000",-,"112,000,000",-,329,0
,,"112,000,000",-,"112,000,000",-,329,0
"Roads, Public Works
and Housing",Public Works,"346,000,000",-,"346,000,000",-,329,0
,County Headquarters,"346,000,000",-,"346,000,000",-,329,0
,County Roads Development,"488,537,191","264,577,555","223,959,636",54.2,329,0
,Routine Maintenance,"312,237,191","264,577,555","47,659,636",84.7,329,0
,Opening of New Roads,"84,700,000",-,"84,700,000",-,329,0
,"Grading and Murruming of County
Roads","91,600,000",-,"91,600,000",-,329,0
,County Housing Development,"81,400,000","10,041,620","71,358,380",12.3,329,0
,Housing Development,"59,200,000","10,041,620","49,158,380",17.0,329,0
,Urbanization,"22,200,000",-,"22,200,000",-,329,0
,Urban Development,"100,000,000",-,"100,000,000",-,329,0
,Hola Municipality,"100,000,000",-,"100,000,000",-,329,0
,TOTAL,"1,015,937,191","274,619,175","741,318,016",27.0,329,0
"Trade, Tourism And
Cooperative Devel-
opment","Promotion of Trade, Tourism and
Cooperative Development","85,100,000",-,"85,100,000",-,329,0
,"Trade, Weights and Measures","75,100,000",-,"75,100,000",-,329,0
,Trade Development,"10,000,000",-,"10,000,000",-,329,0
,TOTAL,"85,100,000",-,"85,100,000",-,329,0
"Health and Sanita-
tion","Construction and rehabilitation of
Health Facilities","148,200,000",-,"148,200,000",-,329,0
,TOTAL,"148,200,000",-,"148,200,000",-,329,0
"Education and Vo-
cational Training","Quality and Standard Assurance in
EYE Center","116,300,000",-,"116,300,000",-,329,0
,ECDE Infrastructure,"116,300,000",-,"116,300,000",-,329,0
,"Vocational Training Centers and
Adult Education","80,647,684","10,614,149","70,033,535",13.2,330,0
,"Subsidized Youth Polytechnic Tuition
Fund (SYPT)","80,647,684","10,614,149","70,033,535",13.2,330,0
,TOTAL,"196,947,684","10,614,149","186,333,535",5.4,330,0
"Public Service, Ad-
ministration and
Citizen Participation",County Administration,"50,000,000",-,"50,000,000",-,330,0
,TOTAL,"50,000,000",-,"50,000,000",-,330,0
"Finance and Eco-
nomic Planning",Financial Management,"805,774,496","325,390,424","480,384,072",40.4,330,0
,Own Source Revenue Collection,"30,000,000",-,"30,000,000",-,330,0
,Accounting & Finance,"775,774,496","325,390,424","450,384,072",41.9,330,0
