Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
(%)",page_number,table_index
"General Administration, planning
and Support Services","General Administration, plan-
ning and Support Services","37,285,851","29,168,844","8,117,007",78.2,52,0
"Human Resource Management
and Development","Human Resource Management
and Development","6,185,300",-,"6,185,300",-,52,0
Governance and National Values,Governance and National Values,"2,400,000",-,"2,400,000",-,52,0
Sub Total,,"45,871,151","29,168,844","16,702,307",63.6,52,0
Public Administration,,,,,,52,0
"General Administration, Planning
and Support Services","Administration & support ser-
vices","389,432,956","252,697,842","136,735,114",64.9,52,0
"Public participation ,Civic Educa-
tion and Outreach services",Civic education,"6,000,000",-,"6,000,000",-,52,0
"Service Delivery and Organiza-
tional Transformation","Institutional development and
support services","14,438,517","814,048","13,624,469",5.6,52,0
Sub Total,,"409,871,473","253,511,890","156,359,583",61.9,52,0
Housing,,,,,,52,0
"General Administration, Planning
and Support Services","General Administration, Plan-
ning and support services","21,884,190","12,992,339","8,891,851",59.4,52,0
"Housing Development and Man-
agement","Housing development and man-
agement","6,443,919",,"6,443,919",0.0,52,0
Sub Total,,"28,328,109","12,992,339","15,335,770",45.9,52,0
Finance and Economic Planning,,,,,,52,0
"General Administration ,Planning
and Support Services","Administrative services(Admin-
istrative Services, Quality man-
agement system, office facilities)","362,300,254","163,923,451","198,376,803",45.2,52,0
,"Human resource management
services","438,270,885","534,453,981","(96,183,096)",121.9,52,0
,"Financial services(pension, in-
surance & tax)","137,176,039","64,040,868","73,135,171",46.7,52,0
"Economic Development Planning
and Coordination","Economic development plan-
ning and coordination","86,026,515","64,756,270","21,270,245",75.3,52,0
Monitoring & Evaluation services,"Monitoring & Evaluation ser-
vices","8,272,960","6,622,800","1,650,160",80.1,52,0
"County Public Financial Manage-
ment","County Public Financial Man-
agement","154,131,610",-,"154,131,610",0.0,52,0
Audit Services,Audit Services,"30,047,900","17,112,024","12,935,877",56.9,52,0
Sub Total,,"1,216,226,163","850,909,394","365,316,769",70.0,52,0
Governor/ Deputy Governor's Office,,,,,,52,0
"General Administration, Planning
and Support Services","General Administration, Plan-
ning and support services","391,951,497","352,707,692","39,243,805",90.0,52,0
"County Executive Committee Af-
fairs","County Executive Committee
Affairs","22,956,484",-,"22,956,484",-,52,0
"County Strategic and Service De-
livery","County Strategic and Service
Delivery","6,627,827",-,"6,627,827",-,52,0
"Governance and strategic leader-
ship","Governance and strategic lead-
ership","47,151,184",-,"47,151,184",-,52,0
"County Government Advisory
Services","County government advisory
services","10,000,000",-,"10,000,000",-,52,0
Sub Total,,"478,686,992","352,707,692","125,979,300",73.7,52,0
"General Administration, Plan-
ning, Policy Coordination and
Support Services","General Administration, Plan-
ning, Policy Coordination and
Support Services","2,848,729,902","1,605,207,021","1,243,522,881",56.3,53,0
"Preventive and Promotive Health
Services","Preventive and Promotive
Health Services","332,889,500","105,238,923","227,650,577",31.6,53,0
"Curative and Rehabilitative Health
Services","Curative and Rehabilitative
Health Services","315,001,345",-,"315,001,345",-,53,0
"Reproductive, Maternal, New
Born and Child Health","Reproductive, Maternal, New
Born and Child Health","190,613,112",-,"190,613,112",-,53,0
Sanitation Management,Sanitation Management,"25,491,544","877,800","24,613,744",3.4,53,0
Public Health Department,Public health Department,"8,008,550",,"8,008,550",0.0,53,0
Sub Total,,"3,720,733,953","1,711,323,745","2,009,410,208",46.0,53,0
County Secretary,,,,,,53,0
"General Administration ,Planning
and Support Services","General administration, plan-
ning and support services","289,413,747","96,916,976","192,496,771",33.5,53,0
"ICT and Information Manage-
ment Services","ICT and information manage-
ment services","11,912,559","10,895,073","1,017,486",91.5,53,0
Kenya Devolution Development,Kenya devolution development,"212,537,789",-,"212,537,789",-,53,0
Sub Total,,"513,864,095","107,812,049","406,052,045",21.0,53,0
Roads and Public Works,,,,,,53,0
"General Administration, Planning
and Support Services","General administration, plan-
ning and support services","495,493,739","279,260,102","216,233,637",56.4,53,0
"Public Safety and Transport Op-
erations","public safety and transport op-
erations","5,316,000",,"5,316,000",-,53,0
Building Standard and Civil Works,"building standard and civil
works","2,936,000",,"2,936,000",-,53,0
"Transport And Infrastructure De-
velopment and Management","Transport and infrastructure de-
velopment and management","1,009,563,895","559,737,131","449,826,765",55.4,53,0
Sub Total,,"1,513,309,634","838,997,233","674,312,401",55.4,53,0
"Agriculture, Livestock, Fisheries, Irrigation and Co-operatives",,,,,,53,0
"General Administration, Planning
and Support Services","General administration, plan-
ning and support services","471,626,017","252,251,667","219,374,350",53.5,53,0
"Other Capital grants and Trans-
fers-ASDSP and NARGIP","Other Capital grants and trans-
fers-ASDSP and NARGIP","514,827,731","91,634,790","423,192,941",17.8,53,0
Infrastructure and Civil Works,infrastructure and civil works,"96,009,694","65,254,459","30,755,235",68.0,53,0
"Crop Development and Manage-
ment","Crop development and manage-
ment","98,155,938","94,102,738","4,053,200",95.9,53,0
"Agricultural Institutions and De-
velopment","Agricultural Institutions and
Development","4,275,308",-,"4,275,308",-,53,0
Ward Fund Projects,Ward Fund projects,"8,681,882",-,"8,681,882",-,53,0
Sub Total,,"1,193,576,570","503,243,655","690,332,916",42.2,53,0
"Gender, Youth Culture and Sports",,,,,,53,0
"General Administration, Planning
and Support Services",Administrative services,"81,386,890","75,058,579","6,328,311",92.2,53,0
"Cultural Development and Man-
agement","Development of historical &
cultural sites","24,000,000",-,"24,000,000",-,53,0
"Gender Equality and Empower-
ment of Vulnerable Groups","Establish gender Technical
working groups","5,000,000",-,"5,000,000",-,53,0
"Sports and Talent Development &
Management","Sports and talent development &
management","13,000,000",-,"13,000,000",-,53,0
Infrastructure and Civil Works,Infrastructure and civil works,"25,626,928",-,"25,626,928",-,53,0
"Sports Facility Development and
Management","Sports Facility development and
management","103,826,616","93,870,663","9,955,953",90.4,53,0
Sub total,,"252,840,434","168,929,242","83,911,192",66.8,53,0
County Assembly,,,,,,53,0
"General Administration Planning
and Support Services",Administrative services,"578,391,156","333,235,341","245,155,815",57.6,53,0
Legislation,Legislation,"26,848,646","16,284,976","10,563,670",60.7,53,0
"Representation and Outreach Ser-
vices",Representation,"81,303,743","45,503,923","35,799,820",56.0,53,0
Oversight,Oversight activities,"181,118,138","147,691,714","33,426,424",81.5,53,0
