Program,Sub Program,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)",Variance(Kshs.),"Absorption
Rate (%)",page_number,table_index
Non Programatic,Default - Non Programmatic,-,"1,998,494","-1,998,494",,263,0
"Promotion of Dairy Production,
Breeding and
Disease Control","Promotion of Dairy Production,
Breeding and
Disease Control","165,460,985","122,224,763","43,236,223",73.9,264,0
Aquaculture development,Aquaculture development,"32,317,531","7,248,246","25,069,285",22.4,264,0
"Fish quality assurance, value
addition and
marketing","Fish quality assurance, value
addition and
marketing","6,544,400",-,"6,544,400",-,264,0
"Crop Production and Food
Security","Crop Production and Food
Security","714,896,639","206,569,685","508,326,954",28.9,264,0
Administration Services,Administration Services,"580,794,349","238,355,426","342,438,923",41,264,0
Infrastructure for Land,Infrastructure for Land,"1,394,169,522","1,164,686,831","229,482,691",83.5,264,0
Develop County Spatial Plan,Develop County Spatial Plan,"7,950,000","3,120,176","4,829,824",39.3,264,0
Survey and Mapping,Survey and Mapping,"72,741,060","1,883,523","70,857,538",2.6,264,0
"Rehabilitation of Roads, Drain-
age and Bridges","Rehabilitation of Roads, Drain-
age and Bridges","2,249,881,909","535,851,807","1,714,030,103",23.8,264,0
"Rehabilitation and construction
of Transport
terminals","Rehabilitation and construction
of Transport
terminals","22,463,200","447,585.45","22,015,614",1.99,264,0
"Design, Supervision and Reha-
bilitation of
County Buildings","Design, Supervision and Reha-
bilitation of
County Buildings","3,791,400","2,505,600","1,285,800",66.1,264,0
"Firefighting and Emergency
Services","Firefighting and Emergency
Services","9,590,200","6,246,794","3,343,406",65.1,264,0
"Installation, Maintenance and
Rehabilitation of
lighting","Installation, Maintenance and
Rehabilitation of
lighting","102,330,000","66,707,478","35,622,523",65.2,264,0
Administration & Personnel,Administration & Personnel,"343,792,160","171,698,648","172,093,512",49.9,264,0
"Functional & Technical Support
Centre-Help
Desk","Functional & Technical Support
Centre-Help
Desk","22,269,000","5,692,845","16,576,154",25.6,264,0
Networking Infrastructure,Networking Infrastructure,"55,066,066",-,"55,066,066",-,264,0
"Construction & Maintenance
of Non
Residential County Buildings","Construction & Maintenance
of Non
Residential County Buildings","4,761,482",-,"4,761,482",-,264,0
"Installation, Rehabilitation &
Maintenance of
Lighting Facilities","Installation, Rehabilitation &
Maintenance of
Lighting Facilities","6,000,000",-,"6,000,000",-,264,0
Fire Fighting,Fire Fighting,"15,000,000",-,"15,000,000",-,264,0
Education Developments,Education Developments,"33,466,339",-,"33,466,339",-,264,0
"Revitalization of Youth Pro-
gramme","Revitalization of Youth Pro-
gramme","115,035,198","59,502,750","55,532,448",51.7,264,0
Administration Services,Administration Services,"93,553,912","40,552,179.50","53,001,732.50",43.4,264,0
"Enhance Marketing Co-oper-
atives","Enhance Marketing Co-oper-
atives","28,940,000","1,302,600","27,637,400",4.5,264,0
"Business Development Services
for MSE's","Business Development Services
for MSE's","14,202,313","6,035,676","8,166,637",42.5,264,0
Consumer protection,Consumer protection,"1,920,000","63,000","1,857,000",3.3,264,0
"Rehabilitation of existing
markets","Rehabilitation of existing
markets","494,817,032","161,433,189","333,383,843",32.6,264,0
"Development of Retail and
Wholesale Market
in Nakuru","Development of Retail and
Wholesale Market
in Nakuru",-,"2,494,928","-2,494,928",,264,0
"Establish & Management of
County Tourism
Information Centre","Establish & Management of
County Tourism
Information Centre","3,820,000","616,827","3,203,173",16.2,264,0
Health Promotive Services,Health Promotive Services,"658,704,271","214,270,777","444,433,494",32.5,264,0
"Provision of Essential Health
Services in all
the Levels.","Provision of Essential Health
Services in all
the Levels.","2,221,962,276","633,801,029","1,588,161,247",28.5,264,0
"Health Infrastructure Develop-
ment","Health Infrastructure Develop-
ment","41,308,823","6,442,542","34,866,281",15.6,264,0
Human Resources for health,Human Resources for health,"3,671,481,897","1,572,013,380","2,099,468,517.30",42.8,265,0
Research and Development,Research and Development,"500,000",-,"500,000",-,265,0
Administration,Administration,"1,400,908,231","425,671,980","975,236,251",30.5,265,0
"Promotion of Early Childhood
Education","Promotion of Early Childhood
Education",-,"557,380","-557,380",,265,0
"Promotion of Quality Youth
Empowerment","Promotion of Quality Youth
Empowerment","11,950,637","8,024,235","3,926,402",67.1,265,0
"ICT Infrastructure and Connec-
tivity","ICT Infrastructure and Connec-
tivity","46,954,000","2,096,385","44,857,615",4.5,265,0
"Budget Formulation Coordina-
tion and
management","Budget Formulation Coordina-
tion and
management","53,622,516","36,579,118","17,043,398",68.2,265,0
Resource Mobilization,Resource Mobilization,"79,527,999","38,276,039","41,251,960",48.1,265,0
Internal Audit,Internal Audit,"77,470,797","26,851,155","50,619,642",34.7,265,0
Procurement,Procurement,"14,165,475","5,419,220","8,746,255",38.3,265,0
Public finance and Accounting,Public finance and Accounting,"23,023,646","9,924,860","13,098,786",43.1,265,0
Debt Management,Debt Management,"214,061,083","149,435,681","64,625,403",69.8,265,0
Fiscal Planning,Fiscal Planning,"157,781,182.80","17,690,881","140,090,302",11.2,265,0
Administration Services,Administration Services,"867,157,153","365,604,585","501,552,568",42.2,265,0
"Procedures and Committee
Services","Procedures and Committee
Services","609,223,466","310,998,846","298,224,620",51.1,265,0
Finance and Budget,Finance and Budget,"662,908,377","336,532,203","326,376,174",50.8,265,0
"Administration and Coordina-
tion of County
Affairs","Administration and Coordina-
tion of County
Affairs","286,964,469","139,207,035","147,757,434",48.5,265,0
"Organization of County Busi-
ness","Organization of County Busi-
ness","42,022,400","28,596,751","13,425,649",68.1,265,0
"Economic, Social and Political
Advisory
Services","Economic, Social and Political
Advisory
Services","74,976,716","64,010,293","10,966,423",85.4,265,0
Administration,Administration,"205,579,758","88,538,611","117,041,147",43.1,265,0
Pollution Control & Monitoring,Pollution Control & Monitoring,"130,291,371","52,968,580","77,322,792",40.7,265,0
"Forest Resources Management
& Climate
Change","Forest Resources Management
& Climate
Change","6,700,000","1,723,771","4,976,229",25.7,265,0
"Water Provision & Drilling of
Boreholes","Water Provision & Drilling of
Boreholes","1,368,169,762","222,505,665","1,145,664,097",16.3,265,0
"Rehabilitation of Council
Houses","Rehabilitation of Council
Houses","33,207,442","5,122,377","28,085,065",15.4,265,0
Housing Technology Transfer,Housing Technology Transfer,"6,000,000","2,500,000","3,500,000",41.7,265,0
"Promotion of Culture, Arts and
Talents","Promotion of Culture, Arts and
Talents","48,585,925","3,719,652","44,866,274",7.7,265,0
Social Development Programs,Social Development Programs,"48,000,000","20,273,070","27,726,930",42.2,265,0
"Rehabilitation of Social Halls,
Libraries, Parks
and Academies","Rehabilitation of Social Halls,
Libraries, Parks
and Academies","108,796,551","29,748,925","79,047,626",27.3,265,0
"Strategic Project Monitoring and
intervention (Ending Drought
Emergency)","Strategic Project Monitoring and
intervention(Ending Drought
Emergency)","39,500,000",-,"39,500,000",-,265,0
"Electric Fence Installation
Initiative","Electric Fence Installation
Initiative","4,000,000",-,"4,000,000",-,265,0
Total,,"21,750,107,075","7,972,671,889","14,123,763,008",35.1,265,0
