Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Imple-
mentation
Status (%)",page_number,table_index
County Executive,,,,,,393,0
County Executive,"SP 1 - (General Administration ,planning and Support Ser-
vices)","415,321,296","313,099,264","102,222,032",75.4,393,0
,SP 2 -(County Executive affairs),"33,507,399","26,015,805","7,491,595",77.6,393,0
,SP 3 -(County Public service Board,"5,591,520","3,654,936","1,936,584",65.4,393,0
,SP 4 -(Field Administration service),"10,855,680","9,634,130","1,221,550",88.7,393,0
,SP 5-(Liaison and Intergovernmental service),"11,933,850","11,070,028","863,822",92.8,393,0
,Sub total,"477,209,746","363,474,163","113,735,583",76.2,393,0
Finance and Economic Planning,,,,,,393,0
"Finance and Econom-
ic Planning","SP 1(General Administration ,planning and Support Services","204,735,706","146,715,578","58,020,129",71.7,393,0
,SP 2-(Treasury Accounting Services),"2,273,440","2,702,594","(429,154)",118.9,393,0
,SP 3-(Supply Chain Management services),"3,142,816","2,667,428","475,388",84.9,393,0
,SP 4-(Resource Mobilization),"8,492,000","5,454,397","3,037,603",64.2,393,0
,SP 5-(Internal Audit services),"4,033,600","3,183,300","850,300",78.9,393,0
,SP 6-(Budget Formulation services),"15,969,480","13,627,925","2,341,555",85.3,393,0
,SP 7-(Economic Planning),"65,001,728","26,516,930","38,484,798",40.8,393,0
,SP 8-(Monitoring and Evaluation ),"2,798,000","2,747,900","50,100",98.2,393,0
,Sub total,"306,446,770","203,616,052","102,830,718",66.4,393,0
"Public Works , Transport and Infrastructure",,,,,,393,0
"Public Works , Trans-
port and Infrastruc-
ture","SP 1(General Administration ,planning and Support Services","68,491,380","44,829,358","23,662,023",65.5,393,0
,SP 2(Road Transport),"190,207,588","25,855,033","164,352,555",13.6,393,0
,SP 3(Public Works),"15,906,546","9,304,701","6,601,845",58.5,393,0
,SP 4-(Ward Specific Projects),"143,323,537","69,188,300","74,135,237",48.3,393,0
,Sub total,"417,929,051","149,177,392","268,751,659",35.7,393,0
"Health, Sanitation and Emergencies",,,,,,393,0
"Health, Sanitation
and Emergencies","SP 1(General Administration ,planning and Support Services","1,271,360,134","942,858,990","328,501,143",74.2,393,0
,SP 2-(Preventive Health Services),"103,194,287","67,211,674","35,982,612",65.1,393,0
