Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)",Variance (Kshs.),"Absorption
(%)"
1013024110,Extractive Regulations & Strategies,"2,900,000","247,200",8.5,364,0,,,
Grand Total,,"14,772,601,660","5,896,161,163",39.9,364,0,,,
County Assembly,Default Value ( Non- Departmental),,"167,274,122",,369,0,-,"(167,274,122)",-
,,,"167,274,122",,369,0,-,"(167,274,122)",-
"Administration –
Governor’s Office","ADMINISTRATION AND SUPPORT
SERVICES",,"71,370,681",,369,0,"79,836,612","8,465,931",89.4
,,,"71,370,681",,369,0,"79,836,612","8,465,931",89.4
"Inter-Governmental
Committee","ADMINISTRATION AND SUPPORT
SERVICES",,"6,143,940",,369,0,"6,000,000","(143,940)",102.4
,,,"6,143,940",,369,0,"6,000,000","(143,940)",102.4
,"ADMINISTRATION AND SUPPORT
SERVICES",,"4,724,065",,369,0,"5,100,000","375,935",92.6
,,,"4,724,065",,369,0,"5,100,000","375,935",92.6
"Administration - Fi-
nance and Economic
Planning",PUBLIC FINANCE MANAGEMENT,,"152,762,758",,369,0,"242,948,475","90,185,717",62.9
,,,"152,762,758",,369,0,"242,948,475","90,185,717",62.9
Revenue Section,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"2,154,727",,369,0,"4,455,635","2,300,908",48.4
,PUBLIC FINANCE MANAGEMENT,,"29,995,837",,369,0,"32,335,632","2,339,795",92.8
,,,"32,150,564",,369,0,"36,791,267","4,640,703",87.4
Accounts Section,PUBLIC FINANCE MANAGEMENT,,"3,456,660",,369,0,"3,602,215","145,555",96.0
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"532,800",,369,0,"950,596","417,796",56.0
,,,"3,989,460",,369,0,"4,552,811","563,351",87.6
"Procurement and
Supplies Section",PUBLIC FINANCE MANAGEMENT,,"7,579,587",,369,0,"8,388,736","809,149",90.4
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"150,000",,369,0,"270,000","120,000",55.6
,,,"7,729,587",,369,0,"8,658,736","929,149",89.3
"Internal Audit Sec-
tion","KENYA DEVOLUTION SUPPORT
PROGRAMME",,"2,482,541",,369,0,"2,879,800","397,259",86.2
,PUBLIC FINANCE MANAGEMENT,,"3,098,520",,369,0,"6,873,734","3,775,214",45.1
,,,"5,581,061",,369,0,"9,753,534","4,172,473",57.2
"Administration-
Public Service Man-
agement","HUMAN RESOURCE MANAGEMENT
AND DEVELOPMENT",,"1,069,236",,369,0,"11,229,476","10,160,240",9.5
,"COUNTY GOVERNANCE SUPPORT
SERVICES",,"3,355,226",,369,0,"19,612,141","16,256,915",17.1
,SERVICE DELIVERY,,"3,999,560",,369,0,"5,044,978","1,045,418",79.3
,"ADMINISTRATION AND SUPPORT
SERVICES",,"454,707,398",,369,0,"519,540,564","64,833,166",87.5
,,,"463,131,420",,369,0,"555,427,159","92,295,739",83.4
"Communication
Section","ADMINISTRATION AND SUPPORT
SERVICES",,"1,510,350",,369,0,"2,702,204","1,191,854",55.9
,,,"1,510,350",,369,0,"2,702,204","1,191,854",55.9
Legal Section,"ADMINISTRATION AND SUPPORT
SERVICES",,"20,183,530",,369,0,"20,868,397","684,867",96.7
,,,"20,183,530",,369,0,"20,868,397","684,867",96.7
Registry Section,"ADMINISTRATION AND SUPPORT
SERVICES",,"460,485",,369,0,"1,300,000","839,515",35.4
,,,"460,485",,369,0,"1,300,000","839,515",35.4
"Human Resource
Section","KENYA DEVOLUTION SUPPORT
PROGRAMME",,"3,580,700",,369,0,"5,496,687","1,915,987",65.1
,"ADMINISTRATION AND SUPPORT
SERVICES",,"2,368,150",,369,0,"8,426,000","6,057,850",28.1
,,,"5,948,850",,369,0,"13,922,687","7,973,837",42.7
"Administration- ICT
and E-Government","ADMINISTRATIVE SUPPORT SER-
VICES",,"12,979,877",,370,0,"54,528,679","41,548,802",23.8
,"LIVESTOCK RESOURCE MANAGE-
MENT AND DEVELOPMENT",,"69,300",,370,0,"467,380","398,080",14.8
,"DISASTER RESPONSE MANAGE-
MENT",,"559,996",,370,0,"765,714","205,718",73.1
,"ICT INFRASTRUCTURE DEVELOP-
MENT",,"9,418,416",,370,0,"47,833,313","38,414,897",19.7
,,,"23,027,589",,370,0,"103,595,086","80,567,497",22.2
"Administration -
Roads, Transport
and Infrastructure","ROADS INFRASTRUCTURE DEVEL-
OPMENT",,"192,320,846",,370,0,"192,323,248","2,402",100.0
,,,"192,320,846",,370,0,"192,323,248","2,402",100.0
Roads Department,"ROADS INFRASTRUCTURE DEVEL-
OPMENT",,"409,324,688",,370,0,"1,053,484,372","644,159,685",38.9
,,,"409,324,688",,370,0,"1,053,484,372","644,159,685",38.9
"Fire and Emergency
Respond Depart-
ment","ROADS INFRASTRUCTURE DEVEL-
OPMENT",,"24,000",,370,0,"60,000","36,000",40.0
,DISASTER MANAGEMENT,,"480,100",,370,0,"5,870,048","5,389,948",8.2
,,,"504,100",,370,0,"5,930,048","5,425,948",8.5
"Public Works De-
partment","ROADS INFRASTRUCTURE DEVEL-
OPMENT",,"873,865",,370,0,"1,000,000","126,135",87.4
,,,"873,865",,370,0,"1,000,000","126,135",87.4
