Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index,"Absorption
(%)"
,Human resource development,"4,151,936","54,000","4,097,936",1.3,288,0,
,Sub Total,"576,801,478","425,832,933","150,968,545",73.8,288,0,
Municipality,"General administration and sup-
port services","291,149,600","8,410,900","282,738,700",2.9,288,0,
,Sub Total,"291,149,600","8,410,900","282,738,700",2.9,288,0,
County Assembly,"'Policy planning, general admin-
istration and support services","270,657,583","172,421,220","98,236,363",63.7,288,0,
,"General administration and sup-
port services","78,199,598","70,269,111","7,930,487",89.9,288,0,
,"Monitoring and evaluation ser-
vices(Oversight)","334,961,329","150,649,642","184,311,687",45.0,288,0,
,Sub Total,"683,818,510","393,339,973","290,478,537",57.5,288,0,
Grand Total,,"7,266,835,430","4,008,407,728","3,258,427,702",55.2,288,0,
"General administration,
planning and support
services",Service Delivery Unit,"14,980,000","7,320,249","7,659,751",,293,1,48.9
,Governor's Office & Investment Promotion,"92,108,088","57,966,118","34,141,970",,293,1,62.9
,Liaison and Intergovernmental Relations,"22,103,558","5,469,700","16,633,858",,293,1,24.7
,Civic Education and Public Participation,"13,761,544","5,686,913","8,074,631",,293,1,41.3
Sub Total,,"142,953,190","76,442,980","66,510,210",,293,1,53.5
County Secretary,County Secretary-Administration,"14,088,205","10,387,815","3,700,390",,293,1,73.7
,Communication and Public Relations,"26,388,144","2,993,201","23,394,943",,293,1,11.3
,Cabinet Affairs,"724,000","439,440","284,560",,293,1,60.7
"Human Resource Man-
agement",Payroll (Including Compensation to employees),"1,854,310,000","1,395,249,284","459,060,716",,293,1,75.2
,"Human Resource Management (Including employ-
ee gratuity, pension and medical insurance)","85,160,100","17,220,471","67,939,629",,293,1,20.2
Sub Total,,"1,980,670,449","1,426,290,211","554,380,238",,293,1,72.0
"County Attorney Ser-
vices",legal and public affairs,"44,757,896","12,060,304","32,697,592",,293,1,26.9
Sub Total,,"44,757,896","12,060,304","32,697,592",,293,1,26.9
Public administration,Public Administration,"7,254,450","4,610,814","2,643,636",,293,1,63.6
,sub-county and ward administration,"36,614,394","16,263,514","20,350,880",,293,1,44.4
,Enforcement and Compliance,"5,349,000","3,384,233","1,964,767",,293,1,63.3
"ICT and E-government
Services",ICT and E-government Services,"11,700,000","1,689,615","10,010,385",,293,1,14.4
Sub Total,,"60,917,844","25,948,176","34,969,668",,293,1,42.6
"County Public Service
Board",County Public Service Board,"13,350,000","10,391,098","2,958,902",,293,1,77.8
Sub Total,,"13,350,000","10,391,098","2,958,902",,293,1,77.8
"Public Finance Manage-
ment",County Funds,"217,900,000","137,550,000","80,350,000",,293,1,63.1
,County Pending Bills,,-,-,,293,1,0.0
,treasury services,"617,032,254","37,962,306","579,069,948",,293,1,6.2
,Financial reporting,"4,025,000","2,910,482","1,114,518",,293,1,72.3
,"Revenue Collection and Administration (Including
automation)","35,050,000","24,025,769","11,024,231",,293,1,68.5
,Revenue Enhancement and Monitoring,"17,552,425","11,372,088","6,180,337",,293,1,64.8
,Supply Chain Management,"7,250,000","6,298,123","951,877",,293,1,86.9
,Internal Audit and Risk Management,"15,120,000","10,393,240","4,726,760",,293,1,68.7
"Economic planning and
development",County Budgeting,"10,800,000","7,819,518","2,980,482",,294,0,72.4
,County Statistics and Data Bank,"5,900,000","4,701,737","1,198,263",,294,0,79.7
,Monitoring and Evaluation,"9,693,589","3,463,628","6,229,961",,294,0,35.7
,Economic Modelling and Research,"9,950,000","5,610,704","4,339,296",,294,0,56.4
,"Economic Development Planning (Including CE-
KEB)","14,897,812","11,363,884","3,533,928",,294,0,76.3
Sub Total,,"965,171,080","263,471,479","701,699,601",,294,0,27.3
"Preventive and Promo-
tive Services",Preventive and Promotive Services,"9,650,000","5,669,715","3,980,285",,294,0,58.8
Curative Services,"Curative Services (including universal health care
and grants)","471,567,365","198,709,207","272,858,158",,294,0,42.1
"General administration,
planning and support
services",Solid Waste and Cemeteries,"7,603,000","4,668,230","2,934,770",,294,0,61.4
,Infrastructure and Equipment,"229,193,757","14,268,803","214,924,954",,294,0,6.2
Sub total,,"718,014,122","223,315,955","494,698,168",,294,0,31.1
Primary education,ECDE,"169,165,850","26,133,948","143,031,902",,294,0,15.4
"Youth training and de-
velopment",Privatization of Youth Polytechnics,"63,246,786","2,984,565","60,262,221",,294,0,4.7
"Gender Affairs and So-
cial Services & youth
empowerment",Gender Affairs and Social Services,"41,149,613","7,983,710","33,165,903",,294,0,19.4
"General administration,
planning and support
services",Alcohol Drinks Control and Civic Education,"3,436,306","1,685,680","1,750,626",,294,0,49.1
Culture,development and promotion of culture,"5,570,000","1,454,118","4,115,882",,294,0,26.1
Sub Total,,"282,568,555","40,242,021","242,326,534",,294,0,14.2
"Trade development and
promotion","Financial and Trade Services (excluding CEKEB,
county corporation &Micro-Finance fund)","81,599,863","4,785,536","76,814,327",,294,0,5.9
"Industrial development
and investment","Industrial and Enterprise Development (Inclusive
of KDSP )","3,930,000","1,349,045","2,580,955",,294,0,34.3
,Weights & Measures,"1,820,000","1,014,801","805,199",,294,0,55.8
"Cooperative develop-
ment and management",Cooperative advisory services,"28,020,000","12,798,041","15,221,959",,294,0,45.7
Sub Total,,"115,369,863","19,947,423","95,422,440",,294,0,17.3
Sports,Sports Development,"107,477,807","52,320,532","55,157,275",,294,0,48.7
Youth Affairs,Youth Affairs,"19,295,268","6,873,480","12,421,788",,294,0,35.6
Arts & Theater,Arts & Theater,"10,671,892","3,591,180","7,080,712",,294,0,33.7
Sub Total,,"137,444,967","62,785,192","74,659,775",,294,0,45.7
"Water Resource Devel-
opment.","Water resource conservation and protection, infra-
structure and flood control","421,899,816","15,889,110","406,010,706",,294,0,3.8
Environment,Environmental support and management,"48,148,449","5,576,697","42,571,752",,294,0,11.6
"Tourism development
and promotion",Tourism infrastructure development,"15,934,577","3,807,755","12,126,822",,294,0,23.9
"Irrigation and Drainage
infrastructure","Promotion of irrigation and drainage development
and management","26,918,807","1,121,123","25,797,684",,294,0,4.2
Sub Total,,"512,901,649","26,394,685","486,506,964",,294,0,5.1
Road transport,"Transport (Including fuel level, General Adminis-
tration & Support Services)","1,191,927,952","30,835,894","1,161,092,058",,294,0,2.6
,Public Works,"152,185,400","6,956,348","145,229,052",,294,0,4.6
"Alternative energy tech-
nologies",Alternative energy technologies,"59,086,773","10,151,187","48,935,586",,294,0,17.2
"General administration,
planning and support
services",Emergency Response & Preparedness,"5,000,000","874,905","4,125,095",,294,0,17.5
