Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
,Default - Non Programmatic,-,"-1,389,014","1,389,014",-,323,1
101003260,"Administration Planning and Support Ser-
vices","72,100,507","40,061,114","32,039,394",56,323,1
,Administration Planning and Support Services,"72,100,507","40,061,114","32,039,394",56,323,1
102003260,Development programme,-,-,-,-,323,1
,Development programme,-,-,-,-,323,1
103003260,Infrastructure Development programme,"259,535,925","52,038,087","207,497,838",20,323,1
,Infrastructure Development programme,"259,535,925","52,038,087","207,497,838",20,323,1
104003260,Agricultural Development Programme,"208,900,108","60,774,031","148,126,077",29,323,1
,Agricultural Development Programme,"208,900,108","60,774,031","148,126,077",29,323,1
105003260,Livestock and Fisheries Development,-,-,-,-,323,1
,Livestock and Fisheries Development,-,-,-,-,323,1
301003260,"General Administration and support ser-
vices programme","86,478,091","22,125,390.65","64,352,700.35",26,323,1
,"General Administration and support services
programme","86,478,091","22,125,390.65","64,352,700.35",26,323,1
302003260,Trade Development programme.,-,"17,116,000","-17,116,000",-,323,1
,Trade Development programme.,-,"17,116,000","-17,116,000",-,323,1
401003260,Administration and Support Services,"239,354,398","88,115,051","151,239,348",37,323,1
,Administration and Support Services,"239,354,398","88,115,051","151,239,348",37,323,1
402003260,Health Development Programme,"301,036,653","38,865,550","262,171,103",13,323,1
,Health Development Programme,"301,036,653","38,865,550","262,171,103",13,323,1
501003260,"General Administration, Planning and Sup-
port services","179,760,149","15,861,491","163,898,658",9,323,1
,"General Administration, Planning and Sup-
port services","179,760,149","15,861,491","163,898,658",9,323,1
502003260,"Early childhood Education and Youth Train-
ing Development Programme",-,"95,691,000","-95,691,000",-,323,1
,"Early childhood Education & Youth Training
Development Programme",-,"95,691,000","-95,691,000",-,323,1
701003260,General Administration support services,"2,719,380,575","1,878,753,130","840,627,445",69,323,1
,General Administration support services,"2,719,380,575","1,878,753,130","840,627,445",69,323,1
702003260,"County Assembly Infrastructure improve-
ment","67,000,000","36,530,020","30,469,980",55,323,1
,County Assembly Infrastructure improvement,"67,000,000","36,530,020","30,469,980",55,323,1
