Department,Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Implementation
status (%)",page_number,table_index
"Agriculture, Livestock
and Fisheries","Agricultural Manage-
ment","Administration and
planning services","480,429,091","271,604,980","208,824,111",56.5,300,1
,,"County Agriculture
Extension Program","14,892,751","3,405,243","11,487,508",22.9,300,1
,Wambugu ATC,Farm Development,"9,746,988","9,603,498","143,490",98.5,300,1
,AMS Naromoru,"Development Of
Agricultural Land
For Crop Produc-
tion","8,903,922","10,010,522","-1,106,600",112.4,300,1
,"Livestock Production
Management","Provision of Ex-
tension Services to
Livestock farmers","9,007,680","1,353,948","7,653,732",15.0,300,1
,"Co-operative develop-
ment","Cooperative Devel-
opment And Man-
agement","5,195,077","661,879","4,533,198",12.7,300,1
,Fisheries development,"Administrative
Support Services","12,669,680","1,199,422","11,470,258",9.5,300,1
,Veterinary services,"Administrative
Support Services","28,971,680","12,251,766","16,719,914",42.3,300,1
,Sub-total,,"569,816,869","310,091,258","259,725,611",54.4,300,1
"Lands, Physical Planning,
Housing and Urbaniza-
tion","Physical planning ser-
vices","Administration and
personnel services","37,714,671","32,525,188","5,189,483",86.2,300,1
,,"Formulation of
county spatial plan-
ning laws","150,000","193,250","-43,250",128.8,300,1
,"Land Policy and Plan-
ning","Land Policy For-
mulation","682,938,277","114,389,266","568,549,011",16.7,300,1
,"Housing Development
and Human Settle-
ment","Government Build-
ing","4,920,290","1,954,238","2,966,052",39.7,300,1
,Sub-total,,"725,723,238","149,061,942","576,661,296",20.5,300,1
"Transport, Public Works
Infrastructure and Energy","General administra-
tion and policy De-
velopment and imple-
mentation","Administration,
planning and sup-
port services","87,818,245","70,597,684","17,220,561",80.4,300,1
,"Energy Sector devel-
opment","Street lighting pro-
gramme","164,930,794","44,770,166","120,160,628",27.1,300,1
,"Roads development,
maintenance and man-
agement","County access and
feeder roads im-
provement","931,384,662","55,253,164","876,131,498",5.9,300,1
,Sub-total,,"1,184,133,701","170,621,013","1,013,512,688",14.4,300,1
"Trade, Culture, Tourism
and Co-Operative Devel-
opment",Tourism Development,"Promotion of Tour-
ism","20,772,834","6,059,257","14,713,577",29.2,301,0
,"Trade and Cooperative
Development",Trade Promotion,"97,480,440","41,084,779","56,395,661",42.1,301,0
,Sub-total,,"118,253,274","47,144,036","71,109,238",39.9,301,0
Health Services,"Administration, Plan-
ning and General Sup-
port Services","Administration,
Planning and Gen-
eral Support Ser-
vices","2,357,056,512","52,506,130","2,304,550,382",2.2,301,0
,,Health Services,"519,098,172","1,699,143,711","-1,180,045,539",327.3,301,0
,Sub-total,,"2,876,154,684","1,751,649,841","1,124,504,843",60.9,301,0
"Education, Sports, Sci-
ence and Technology","General administra-
tion and policy De-
velopment and imple-
mentation","Administrative
Support Services","438,500,580","315,792,246","122,708,334",72.0,301,0
,"County Sports Devel-
opment","Search and nurture
talents","56,456,510","325,711,207","-269,254,697",576.9,301,0
,ECDE Management,"ECDE Manage-
ment","3,349,000","5,073,441","-1,724,441",151.5,301,0
,ICT Development,"ICT Infrastructure
Development","24,034,000","3,037,180","20,996,820",12.6,301,0
,Sub-total,,"522,340,090","649,614,074","-127,273,984",124.4,301,0
"Office of the Governor
and Deputy Governor","Management and
Co-ordination of
county affairs","Administration,
planning and sup-
port services","147,020,638","1,160,640","145,859,998",0.8,301,0
,,"Management of
county affairs","2,900,000","106,490,555","-103,590,555",3672.1,301,0
,Sub-total,,"149,920,638","107,651,195","42,269,443",71.8,301,0
"Office of the County
Secretary","Coordination of
County Functions and
Public Service Man-
agement","Administration,
planning and sup-
port services","289,930,477","7,805,559","282,124,918",2.7,301,0
,,"Coordination of
functions of the
County Executive
Committee","24,968,468","243,615,393","-218,646,925",975.7,301,0
,Sub-total,,"314,898,945","251,420,952","63,477,993",79.8,301,0
"Finance and Economic
Planning",Executive services,"Administration and
personnel services","994,188,265","120,133,561","874,054,704",12.1,301,0
,Economic Planning,"Monitoring and
Evaluation","6,000,000","456,451,355","-450,451,355",7607.5,301,0
,Revenue Mobilization,"Revenue Mobiliza-
tion","45,995,000","2,002,970","43,992,030",4.4,301,0
,"Public Finance Man-
agement","Financial Account-
ing","13,350,000","518,692,569","-505,342,569",3885.3,301,0
,,"Procurement Com-
pliance and Report-
ing","10,500,000","369,730","10,130,270",3.5,301,0
,,Internal Audit,"10,980,000","46,112,367","-35,132,367",420.0,301,0
,"Economic Planning
and Policy Formula-
tion","Economic Planning
and Policy Formu-
lation","13,820,000","25,411,992","-11,591,992",183.9,301,0
,Sub-total,,"1,094,833,265","1,169,174,543","-74,341,278",106.8,301,0
County Assembly,"General administra-
tion, Policy Develop-
ment and implemen-
tation","Administration and
planning services","726,085,232","9,925,891","716,159,341",1.4,301,0
,,,,,,,301,0
"County Public Service
Management","Community sensiti-
zation, education and
public participation","County publicity
campaign","1,000,000","5,698,517","-4,698,517",569.9,301,0
,"Human resources
Management","Administration
Planning and Sup-
port Services","61,391,918","6,135,682","55,256,236",10.0,301,0
,Sub-total,,"62,391,918","11,834,199","50,557,719",19.0,301,0
County Public Service Board,,"Administration and
Personnel Services","36,966,959","6,200,082","30,766,877",16.8,301,0
,,,,,,,301,0
