Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,"Baringo North Sub County Administration
Services","17,684,745","7,860,330","9,824,415",44.4,34,0
,"Baringo South Sub County Administration
Services","19,510,904","8,487,935","11,022,969",43.5,34,0
,Tiaty Sub County Administration Services,"18,841,842","3,632,709","15,209,133",19.3,34,0
,County Public Services Board Services,"48,230,907","11,030,554","37,200,353",22.9,34,0
,"Eldama Ravine Sub County Administration
Services","17,224,229","9,508,967","7,715,262",55.2,34,0
,Sub -total,"470,856,907","189,487,391","281,369,516",40.2,34,0
,"Legislative Representation and Oversight ser-
vices","339,037,766",-,"339,037,766",0.0,34,0
,General administrative services,-,-,-,-,34,0
,ICT Development,"24,000,000",-,"24,000,000",-,34,0
,Infrastructure development,"34,558,240",-,"34,558,240",-,34,0
,Sub -total,"58,558,240",-,"58,558,240",-,34,0
,"General Administration, planning & Support
Services","26,432,472",-,"26,432,472",-,34,0
,"General Administration, planning & Support
Services","10,700,000",-,"10,700,000",-,34,0
,Support service,"7,300,000",-,"7,300,000",-,34,0
,Gender mainstreaming,"1,000,000",-,"1,000,000",-,34,0
,Sub -total,"19,000,000",-,"19,000,000",-,34,0
Sport Development,"General Administration, planning & Support
Services","84,292,570",-,"84,292,570",-,34,0
,Support service,"1,500,000",-,"1,500,000",-,34,0
,Sub -total,"85,792,570",-,"85,792,570",-,34,0
,Conservation of Cultural Heritage,"1,000,000","210,450","789,550",21.0,34,0
,"General Administration, planning & Support
Services","121,251,196","71,027,531","50,223,665",58.6,34,0
,"General Administration, planning & Support
Services",-,"9,341,058","(9,341,058)",-,34,0
,Support service,"370,321,000","5,147,650","365,173,350",1.4,34,0
,Water Harvesting Storage and Flood Control,"680,408,787","102,584,342","577,824,445",15.1,34,0
,Sub -total,"1,050,729,787","117,073,050","933,656,737",11.1,34,0
,"General Administration, planning & Support
Services","33,627,305","7,117,500","26,509,805",21.2,34,0
,"General Administration, planning & Support
Services",-,"2,095,100","(2,095,100)",-,34,0
,Support service,"6,000,000",-,"6,000,000",0.0,34,0
,Sub -Total,"6,000,000","2,095,100","3,904,900",34.9,35,0
,"General Administration, planning & Support
Services","37,048,339","16,783,814","20,264,525",45.3,35,0
,Protection of rivers and streams,"1,000,000","496,200","503,800",49.6,35,0
,County Forest conservation and management,"6,000,000","2,495,110","3,504,890",41.6,35,0
Grand Total,,"8,681,521,001","3,646,649,540","5,034,871,461",42.0,35,0
