Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
Legislation and Oversight,Legislation and Oversight,"690,254,050","434,943,432","255,310,618",63.0,142,2
Sub Total,,"690,254,050","434,943,432","255,310,618",63.0,142,2
"Office of the Governor and
Deputy Governor",070601 County Executive Services,"307,762,053","186,310,984","121,451,069",60.5,143,0
"County Executive Adminis-
tration",County Executive Services,"285,308,732","34,486,772","250,821,960",12.1,143,0
"Management of County Af-
fairs",070801 Coordination of County Functions,"187,608,830","86,750,854","100,857,976",46.2,143,0
"County Executive Commit-
tee Affairs",070901 Organization of County Business,"5,600,000","3,929,855","1,670,145",70.2,143,0
County Public Service Board,071001 Human Resource Management,"17,311,040","10,689,871","6,621,169",61.8,143,0
"Administrative Support Ser-
vices",020202 Administrative Support Services,"10,280,000","4,890,132","5,389,868",47.6,143,0
,070411 Audit Committee,"2,600,000","2,344,172","255,828",90.2,143,0
,070412 County Enforcement Activities,"3,950,000","2,462,310","1,487,690",62.3,143,0
,"070413 ICT Infrastructure Development Man-
agement","4,184,000","3,685,979","498,022",88.1,143,0
,"070414 ICT Systems Development Manage-
ment","1,940,000","1,475,808","464,192",76.1,143,0
Sub Total,,"826,544,655","337,026,737","489,517,918",40.8,143,0
Public Finance Management,070401 Finance Services,"368,851,532","170,074,111","198,777,421",46.1,143,0
,070402 Revenue Services,"46,390,000","28,889,477","17,500,523",62.3,143,0
,070404 Procurement and Supply Services,"8,126,500","6,753,121","1,373,379",83.1,143,0
,070405 Internal Audit Services,"2,363,200","1,774,840","588,360",75.1,143,0
,"070408 Budget Formulation, Coordination and
Management","8,060,000","4,444,480","3,615,520",55.1,143,0
,070409 Accounting Services,"6,255,000","3,886,487","2,368,513",62.1,143,0
"County Planning and Eco-
nomic Policy Management",070501 Economic Planning Services,"7,428,000","2,920,790","4,507,210",39.3,143,0
Sub Total,,"447,474,232.00","218,743,306.11","228,730,925.89",48.9,143,0
"Curative and Rehabilitative
Services",040301 Curative and Rehabilitative Services,"2,423,221,282","1,378,633,600","1,044,587,682",56.9,143,0
Sub Total,,"2,423,221,282","1,378,633,600","1,044,587,682",56.9,143,0
Basic Education,050101 General Administration,"164,174,229","70,394,682","93,779,547",42.9,143,0
,050102 Free Pre- Primary Education,"7,980,000","2,716,450","5,263,550",34.0,143,0
"State Education Function
Support",050203 Tertiary Education,"47,294,748","17,251,649","30,043,099",36.5,143,0
"Technical and Vocational
Training",050301 Village Polytechnique,"815,000","400,260","414,740",49.1,143,0
Sub Total,,"220,263,977","90,763,041","129,500,936",41.2,143,0
"Livestock Resource Manage-
ment and Development","010102 Livestock Extension and Capacity
Building Services","305,000","55,000","250,000",18.0,143,0
,010105 Livestock Production Management,"2,780,000","1,023,330","1,756,670",36.8,143,0
,"010106 Livestock Disease Management & Con-
trol","1,300,000","412,070","887,930",31.7,143,0
"Crop Development and
Management",010202 Agricultural Extension Services,"2,000,000","1,488,976","511,024",74.4,143,0
,010203 Agribusiness and Market Development,"335,000","218,294","116,706",65.2,143,0
,010206 Land and Crop Development,"1,331,000","1,123,181","207,820",84.4,143,0
,010207 Food Security Initiatives,"400,000","399,720",280,99.9,143,0
"Kamweti Agricultural Train-
ing Centre",Extension and Training,-,-,-,-,143,0
Fisheries Development,010402 Aquaculture Development,"200,000","200,000",-,100.0,143,0
"Policy Strategy and Manage-
ment of Agriculture",010801 Development of Agricultural Policy,"5,910,000","4,254,535","1,655,465",72.0,143,0
,010601 General Administration and Planning,"697,920,024","215,132,783","482,787,241",30.8,143,0
Sub Total,,"712,481,024","224,307,889","488,173,136",31.5,143,0
Culture,091201 Gender Administration Services,"32,671,210","21,646,727","11,024,483",66.3,143,0
,091301 Gender and Social Development,"32,484,000","7,321,002","25,162,998",22.5,143,0
Youth,"090901 Youth Development and Empower-
ment Services","1,700,000","1,036,410","663,590",61.0,143,0
Sub Total,,"66,855,210","30,004,139","36,851,071",44.9,143,0
Sports,"090801 Development of Sports and Sports Fa-
cilities","12,500,000",-,"12,500,000",-,143,0
,"091401 Management & Development of Sports
and Sports Facilities","16,288,000","10,350,000","5,938,000",63.5,143,0
